genus	pangenome_pct_phaC	pangenome_n_species	nmdc_mean_abundance	phb_group
rhodospirillum	1.0	2	1.4847161642748363e-16	PHB-high (>=50%)
thiobacillus	0.05263157894736842	19	9.823685898961323e-17	PHB-low (<50%)
paraburkholderia	1.0	51	1.9424106209309887e-16	PHB-high (>=50%)
nocardia	1.0	58	2.5898808279079853e-16	PHB-high (>=50%)
sinomonas	0.0	1	3.572249417804117e-17	PHB-low (<50%)
erythrobacter	1.0	15	8.037561190059263e-17	PHB-high (>=50%)
afipia	1.0	9	3.1257182405786025e-16	PHB-high (>=50%)
stenotrophomonas	1.0	63	9.042256338816671e-17	PHB-high (>=50%)
azoarcus_c	1.0	3	1.6075122380118527e-16	PHB-high (>=50%)
actinosynnema	0.2	5	3.572249417804117e-17	PHB-low (<50%)
kutzneria	0.0	1	1.250287296231441e-16	PHB-low (<50%)
sphingobium	1.0	31	5.581639715318933e-17	PHB-high (>=50%)
intrasporangium	0.0	1	6.251436481157205e-17	PHB-low (<50%)
pseudomonas_f	1.0	7	1.7861247089020585e-17	PHB-high (>=50%)
nocardiopsis	0.0	11	3.572249417804117e-17	PHB-low (<50%)
nakamurella	0.0	1	4.130413389336011e-17	PHB-low (<50%)
janthinobacterium	1.0	18	1.406573208260371e-16	PHB-high (>=50%)
microvirgula	1.0	1	6.251436481157205e-17	PHB-high (>=50%)
ompr01	1.0	1	7.144498835608234e-17	PHB-high (>=50%)
paenibacillus_g	0.0	7	7.144498835608234e-17	PHB-low (<50%)
caulobacter	1.0	14	2.232655886127573e-16	PHB-high (>=50%)
thermaerobacter	0.0	1	1.3842466493990954e-16	PHB-low (<50%)
maricaulis	1.0	4	8.930623544510293e-18	PHB-high (>=50%)
castellaniella	1.0	2	9.823685898961323e-17	PHB-high (>=50%)
asticcacaulis	1.0	2	1.7861247089020585e-17	PHB-high (>=50%)
herbaspirillum	1.0	12	3.572249417804117e-17	PHB-high (>=50%)
hyphomonas	1.0	15	4.0187805950296316e-17	PHB-high (>=50%)
cupriavidus	1.0	28	7.189151953330786e-16	PHB-high (>=50%)
aminobacter	1.0	6	6.363069275463584e-17	PHB-high (>=50%)
achromobacter	1.0	30	1.6075122380118527e-16	PHB-high (>=50%)
ruegeria_b	1.0	2	5.358374126706176e-17	PHB-high (>=50%)
pandoraea	1.0	14	1.428899767121647e-16	PHB-high (>=50%)
bordetella	1.0	8	4.643924243145353e-16	PHB-high (>=50%)
methylibium	1.0	1	1.7861247089020585e-17	PHB-high (>=50%)
thioalkalivibrio	0.0	11	2.9024526519658453e-16	PHB-low (<50%)
bradyrhizobium	1.0	84	1.5182060025667496e-16	PHB-high (>=50%)
actinopolymorpha	0.0	1	8.037561190059263e-17	PHB-low (<50%)
pannonibacter	1.0	3	1.7861247089020585e-17	PHB-high (>=50%)
caldilinea	0.14285714285714285	7	4.0187805950296316e-17	PHB-low (<50%)
azospira	1.0	2	2.679187063353088e-17	PHB-high (>=50%)
kozakia	0.0	1	8.930623544510293e-18	PHB-low (<50%)
collimonas	0.75	4	3.7955150064168747e-17	PHB-high (>=50%)
laribacter	1.0	2	8.930623544510293e-18	PHB-high (>=50%)
caenibius	1.0	1	5.358374126706176e-17	PHB-high (>=50%)
methylocystis	1.0	14	6.363069275463584e-17	PHB-high (>=50%)
gemmatimonas	0.0	7	8.930623544510293e-18	PHB-low (<50%)
alicycliphilus	1.0	4	5.358374126706176e-17	PHB-high (>=50%)
kribbella	0.0	4	5.358374126706176e-17	PHB-low (<50%)
ralstonia	1.0	13	2.344288680433952e-17	PHB-high (>=50%)
azoarcus	1.0	2	2.589880827907985e-16	PHB-high (>=50%)
methylocella	1.0	2	1.9647371797922645e-16	PHB-high (>=50%)
allokutzneria	0.0	1	2.679187063353088e-17	PHB-low (<50%)
dinoroseobacter	1.0	2	1.7861247089020585e-17	PHB-high (>=50%)
pseudomonas_b	0.0	7	8.930623544510293e-18	PHB-low (<50%)
pseudonocardia	1.0	11	1.004695148757408e-16	PHB-high (>=50%)
hoeflea	1.0	2	8.930623544510293e-18	PHB-high (>=50%)
nocardiopsis_c	0.0	1	3.572249417804117e-17	PHB-low (<50%)
phenylobacterium	1.0	18	3.7955150064168747e-17	PHB-high (>=50%)
catenulispora	0.0	2	8.930623544510293e-18	PHB-low (<50%)
salipiger	1.0	8	4.465311772255147e-17	PHB-high (>=50%)
pseudolabrys	1.0	9	1.339593531676544e-16	PHB-high (>=50%)
ak92	1.0	1	3.572249417804117e-17	PHB-high (>=50%)
granulibacter	1.0	2	7.591030012833749e-17	PHB-high (>=50%)
kocuria	0.0	16	8.930623544510294e-17	PHB-low (<50%)
sphingomonas	1.0	73	2.768493298798191e-16	PHB-high (>=50%)
alicyclobacillus	0.0	5	4.9118429494806614e-17	PHB-low (<50%)
mucilaginibacter	0.0	24	5.02347574378704e-17	PHB-low (<50%)
geobacter	0.0	4	2.9024526519658455e-17	PHB-low (<50%)
pedococcus	0.0	3	9.823685898961323e-17	PHB-low (<50%)
chelatococcus_a	1.0	3	1.1163279430637866e-16	PHB-high (>=50%)
dyella	1.0	5	1.5405325614280254e-16	PHB-high (>=50%)
singulisphaera	0.0	1	8.930623544510293e-18	PHB-low (<50%)
phycisphaera	0.0	1	1.585185679150577e-16	PHB-low (<50%)
acidovorax	1.0	19	1.7861247089020585e-17	PHB-high (>=50%)
agromyces	0.0	9	7.144498835608234e-17	PHB-low (<50%)
sulfurimicrobium	0.0	2	8.930623544510293e-18	PHB-low (<50%)
specibacter	0.0	6	5.358374126706176e-17	PHB-low (<50%)
qiaj01	0.0	1	1.4065732082603713e-16	PHB-low (<50%)
rhodoplanes	1.0	2	7.144498835608234e-17	PHB-high (>=50%)
martelella	0.0	3	2.500574592462882e-16	PHB-low (<50%)
tsuneonella	1.0	3	1.339593531676544e-16	PHB-high (>=50%)
hyphomicrobium_b	1.0	6	2.679187063353088e-17	PHB-high (>=50%)
sphingomonas_e	1.0	1	8.037561190059263e-17	PHB-high (>=50%)
hydrogenophaga	0.9166666666666666	12	1.0716748253412352e-16	PHB-high (>=50%)
kibdelosporangium	1.0	1	8.930623544510294e-17	PHB-high (>=50%)
shinella	1.0	7	1.0493482664799595e-16	PHB-high (>=50%)
piscinibacter	1.0	2	3.572249417804117e-17	PHB-high (>=50%)
comamonas	1.0	18	1.1163279430637866e-16	PHB-high (>=50%)
chromobacterium	1.0	14	1.562859120289301e-16	PHB-high (>=50%)
thauera	1.0	10	1.1609810607863382e-16	PHB-high (>=50%)
thiodictyon	1.0	2	9.377154721735808e-17	PHB-high (>=50%)
agrobacterium	0.9615384615384616	26	8.930623544510293e-18	PHB-high (>=50%)
vogesella	1.0	2	4.465311772255147e-17	PHB-high (>=50%)
celeribacter	1.0	6	8.037561190059263e-17	PHB-high (>=50%)
brevirhabdus	1.0	1	3.572249417804117e-17	PHB-high (>=50%)
paludisphaera	0.0	1	1.6075122380118527e-16	PHB-low (<50%)
pacificitalea	1.0	1	5.358374126706176e-17	PHB-high (>=50%)
woeseia	0.0	1	1.5628591202893013e-17	PHB-low (<50%)
limnochorda	0.0	1	4.465311772255147e-17	PHB-low (<50%)
wenzhouxiangella	0.6153846153846154	13	1.339593531676544e-17	PHB-high (>=50%)
lentzea	0.0	7	2.679187063353088e-17	PHB-low (<50%)
pseudoduganella	1.0	10	5.358374126706176e-17	PHB-high (>=50%)
desulfuromonas	0.0	2	1.1163279430637867e-17	PHB-low (<50%)
actibacterium_a	1.0	1	5.358374126706176e-17	PHB-high (>=50%)
sulfuricaulis	0.0	1	8.930623544510293e-18	PHB-low (<50%)
arsenicicoccus	0.0	1	5.358374126706176e-17	PHB-low (<50%)
magnetospirillum	1.0	5	8.260826778672021e-17	PHB-high (>=50%)
nitratireductor	1.0	4	1.5628591202893013e-16	PHB-high (>=50%)
serinicoccus	0.0	3	1.7861247089020585e-17	PHB-low (<50%)
roseateles	1.0	2	5.358374126706176e-17	PHB-high (>=50%)
salinicola	0.0	8	6.69796765838272e-17	PHB-low (<50%)
caballeronia	0.9333333333333333	15	8.260826778672021e-17	PHB-high (>=50%)
variovorax	1.0	24	7.144498835608234e-17	PHB-high (>=50%)
cohaesibacter	1.0	2	1.7861247089020585e-17	PHB-high (>=50%)
leifsonia	0.0	8	1.0716748253412352e-16	PHB-low (<50%)
jiangella	0.0	2	5.358374126706176e-17	PHB-low (<50%)
allorhizobium	1.0	28	1.339593531676544e-17	PHB-high (>=50%)
bosea	1.0	17	1.0716748253412352e-16	PHB-high (>=50%)
phreatobacter	1.0	1	1.3172669728152682e-16	PHB-high (>=50%)
halomonas	1.0	63	1.0158584281880459e-16	PHB-high (>=50%)
luteimonas_d	1.0	18	4.465311772255146e-18	PHB-high (>=50%)
nonomuraea	0.0	11	8.930623544510293e-18	PHB-low (<50%)
sulfitobacter	1.0	18	8.037561190059263e-17	PHB-high (>=50%)
alcanivorax	1.0	16	7.702662807140128e-17	PHB-high (>=50%)
plantactinospora	0.0	1	5.358374126706176e-17	PHB-low (<50%)
cereibacter_a	1.0	4	5.358374126706176e-17	PHB-high (>=50%)
microvirga	1.0	6	1.2056341785088896e-16	PHB-high (>=50%)
devosia	0.0	14	4.465311772255146e-18	PHB-low (<50%)
pseudaminobacter	1.0	2	1.4065732082603713e-16	PHB-high (>=50%)
melaminivora_a	1.0	2	5.358374126706176e-17	PHB-high (>=50%)
methyloceanibacter	1.0	4	9.823685898961323e-17	PHB-high (>=50%)
streptosporangium	0.0	3	7.144498835608234e-17	PHB-low (<50%)
arthrobacter	0.0	31	1.0270217076186838e-16	PHB-low (<50%)
ornithinimicrobium	0.0	3	8.037561190059263e-17	PHB-low (<50%)
pseudomonas	1.0	14	6.921233246995476e-17	PHB-high (>=50%)
gryllotalpicola	0.0	1	1.0716748253412352e-16	PHB-low (<50%)
georgenia_a	0.0	1	3.572249417804117e-17	PHB-low (<50%)
xanthomonas	1.0	34	1.010276788472727e-16	PHB-high (>=50%)
desulfomicrobium	0.0	4	3.1257182405786025e-17	PHB-low (<50%)
roseiflexus	1.0	4	4.688577360867904e-17	PHB-high (>=50%)
nitrospira_a	0.0	11	6.69796765838272e-18	PHB-low (<50%)
zobellella	1.0	1	1.7861247089020585e-17	PHB-high (>=50%)
spiribacter	1.0	3	4.465311772255147e-17	PHB-high (>=50%)
methylomonas	0.0	11	3.1257182405786025e-17	PHB-low (<50%)
halothiobacillus	0.0	3	4.465311772255146e-18	PHB-low (<50%)
dermacoccus	0.5	2	8.930623544510294e-17	PHB-high (>=50%)
acidipropionibacterium	0.0	3	9.823685898961323e-17	PHB-low (<50%)
vitreoscilla	1.0	2	3.1257182405786025e-17	PHB-high (>=50%)
rubrobacter	1.0	1	2.2326558861275734e-17	PHB-high (>=50%)
oceanithermus	0.0	2	2.679187063353088e-17	PHB-low (<50%)
anaeromyxobacter	0.0	2	1.4512263259829225e-17	PHB-low (<50%)
rhodoferax_c	1.0	19	1.7861247089020585e-17	PHB-high (>=50%)
pseudodesulfovibrio	0.0	4	6.474702069769962e-17	PHB-low (<50%)
pulveribacter	1.0	1	8.930623544510294e-17	PHB-high (>=50%)
thermus	0.0	13	3.237351034884981e-17	PHB-low (<50%)
meiothermus	0.0	6	2.679187063353088e-17	PHB-low (<50%)
faecalibacterium	0.0	44	1.339593531676544e-17	PHB-low (<50%)
desulfovibrio	0.0	24	2.9024526519658455e-17	PHB-low (<50%)
bdellovibrio	0.0	1	4.465311772255146e-18	PHB-low (<50%)
kytococcus	0.0	2	8.930623544510293e-18	PHB-low (<50%)
corynebacterium	0.016	125	4.906261309765342e-16	PHB-low (<50%)
halorubrum	0.07692307692307693	13	8.930623544510293e-18	PHB-low (<50%)
bifidobacterium	0.0	80	4.772301956597688e-17	PHB-low (<50%)
halomicrobium	1.0	3	2.679187063353088e-17	PHB-high (>=50%)
haloterrigena	1.0	2	3.572249417804117e-17	PHB-high (>=50%)
selenomonas	0.0	2	2.4559214747403307e-17	PHB-low (<50%)
antarctobacter	1.0	1	7.144498835608234e-17	PHB-high (>=50%)
collinsella	0.0	202	3.34898382919136e-18	PHB-low (<50%)
stutzerimonas	0.21951219512195122	41	3.572249417804117e-17	PHB-low (<50%)
eggerthella	0.0	3	8.930623544510293e-18	PHB-low (<50%)
austwickia	0.5	2	1.7861247089020585e-17	PHB-high (>=50%)
dietzia	0.5	12	9.823685898961323e-17	PHB-high (>=50%)
plantibacter	0.0	4	3.572249417804117e-17	PHB-low (<50%)
chloroflexus	1.0	3	1.339593531676544e-17	PHB-high (>=50%)
microbacterium	0.0	105	8.205010381518831e-17	PHB-low (<50%)
olb14	0.0	19	2.902452651965845e-17	PHB-low (<50%)
desulfatibacillum	0.0	1	4.465311772255146e-18	PHB-low (<50%)
rhodopirellula	0.0	4	3.237351034884981e-17	PHB-low (<50%)
brevibacterium	0.0	27	6.251436481157205e-17	PHB-low (<50%)
tateyamaria	1.0	1	1.7861247089020585e-17	PHB-high (>=50%)
desulfurivibrio	0.0	1	8.930623544510293e-18	PHB-low (<50%)
deinococcus	0.17647058823529413	17	1.3619200905378196e-16	PHB-low (<50%)
desulforudis	0.0	1	2.679187063353088e-17	PHB-low (<50%)
pelagerythrobacter	1.0	1	5.358374126706176e-17	PHB-high (>=50%)
actinomyces	0.0	40	8.149193984365642e-17	PHB-low (<50%)
propionibacterium	0.0	4	2.679187063353088e-17	PHB-low (<50%)
parafannyhessea	0.0	5	7.814295601446506e-18	PHB-low (<50%)
fibrella	0.0	1	4.465311772255146e-18	PHB-low (<50%)
halobacterium	0.0	4	2.679187063353088e-17	PHB-low (<50%)
salinigranum	1.0	1	8.930623544510293e-18	PHB-high (>=50%)
nitrososphaera	1.0	2	4.0187805950296316e-17	PHB-high (>=50%)
halopenitus	0.0	1	2.679187063353088e-17	PHB-low (<50%)
pseudomonas_k	1.0	2	1.7861247089020585e-17	PHB-high (>=50%)
brachybacterium	0.0	12	1.2056341785088896e-16	PHB-low (<50%)
gordonibacter	0.0	4	2.9024526519658455e-17	PHB-low (<50%)
hymenobacter	0.0	15	5.581639715318933e-17	PHB-low (<50%)
curtobacterium	0.0	25	5.358374126706176e-17	PHB-low (<50%)
arachnia	0.0	7	8.037561190059263e-17	PHB-low (<50%)
cnuibacter	0.0	1	3.572249417804117e-17	PHB-low (<50%)
glutamicibacter	0.0	10	6.028170892544448e-17	PHB-low (<50%)
ottowia	1.0	10	5.358374126706176e-17	PHB-high (>=50%)
thermophilibacter	0.0	10	8.930623544510293e-18	PHB-low (<50%)
marinobacterium	1.0	7	3.1257182405786025e-17	PHB-high (>=50%)
parolsenella	0.0	8	5.5816397153189335e-18	PHB-low (<50%)
fuerstiella	0.0	2	3.1257182405786025e-17	PHB-low (<50%)
nitrosopumilus	0.875	24	2.0093902975148158e-17	PHB-high (>=50%)
halorientalis	1.0	1	1.7861247089020585e-17	PHB-high (>=50%)
cryobacterium	0.0	18	7.144498835608235e-17	PHB-low (<50%)
desulfobulbus	0.0	1	2.679187063353088e-17	PHB-low (<50%)
rubrivirga	0.0	1	1.339593531676544e-17	PHB-low (<50%)
bipolaricaulis	0.0	4	1.339593531676544e-17	PHB-low (<50%)
zhihengliuella	0.0	1	2.0093902975148158e-17	PHB-low (<50%)
haloferax	0.3333333333333333	9	1.7861247089020585e-17	PHB-low (<50%)
bjgn01	0.0	2	3.572249417804117e-17	PHB-low (<50%)
pluralibacter	0.0	1	1.339593531676544e-17	PHB-low (<50%)
rhodoferax	0.9705882352941176	34	1.7861247089020585e-17	PHB-high (>=50%)
natrinema	1.0	8	1.1163279430637866e-18	PHB-high (>=50%)
halalkalicoccus	1.0	1	1.339593531676544e-17	PHB-high (>=50%)
novosphingobium	1.0	36	1.7861247089020585e-17	PHB-high (>=50%)
natrarchaeobaculum	1.0	1	1.339593531676544e-17	PHB-high (>=50%)
o-77	0.0	2	8.930623544510293e-18	PHB-low (<50%)
mycetocola_a	0.0	3	3.572249417804117e-17	PHB-low (<50%)
cutibacterium	0.0	5	5.358374126706176e-17	PHB-low (<50%)
paenibacillus	0.0	68	1.7386807713218478e-16	PHB-low (<50%)
berryella	0.0	2	1.1163279430637866e-18	PHB-low (<50%)
pasteurella	0.0	4	1.0046951487574079e-17	PHB-low (<50%)
croceicoccus	1.0	6	1.7861247089020585e-17	PHB-high (>=50%)
methylobacillus	0.0	1	3.7955150064168747e-17	PHB-low (<50%)
aeromonas	0.6538461538461539	26	7.144498835608235e-17	PHB-high (>=50%)
nitrosospira	0.0	8	3.014085446272224e-17	PHB-low (<50%)
flavobacterium	0.008	125	2.176839488974384e-16	PHB-low (<50%)
allocoleopsis	0.0	1	2.679187063353088e-17	PHB-low (<50%)
alteraurantiacibacter	1.0	3	4.465311772255146e-17	PHB-high (>=50%)
runella	0.0	4	8.930623544510293e-18	PHB-low (<50%)
halopseudomonas	0.8461538461538461	13	5.581639715318933e-17	PHB-high (>=50%)
thalassospira	1.0	8	5.358374126706176e-17	PHB-high (>=50%)
spirosoma	0.0	5	8.930623544510293e-18	PHB-low (<50%)
limnohabitans_a	1.0	17	2.232655886127573e-18	PHB-high (>=50%)
alistipes	0.0	84	4.465311772255146e-18	PHB-low (<50%)
acidithiobacillus	0.0	12	1.1163279430637867e-17	PHB-low (<50%)
priestia	1.0	5	1.67449191459568e-17	PHB-high (>=50%)
peribacillus	0.9166666666666666	12	2.344288680433952e-17	PHB-high (>=50%)
pelosinus	0.0	2	8.930623544510293e-18	PHB-low (<50%)
orientia	0.0	1	1.339593531676544e-17	PHB-low (<50%)
planktothrix	0.4	5	1.2279607373701653e-17	PHB-low (<50%)
trichodesmium	0.0	2	8.930623544510293e-18	PHB-low (<50%)
synechococcus_d	0.0	4	5.358374126706176e-17	PHB-low (<50%)
clostridium_aq	0.0	4	1.1163279430637866e-18	PHB-low (<50%)
lactobacillus	0.0	44	2.790819857659467e-17	PHB-low (<50%)
limosilactobacillus	0.0	36	1.2279607373701652e-17	PHB-low (<50%)
rothia	0.0	22	3.907147800723253e-18	PHB-low (<50%)
streptococcus	0.009345794392523364	214	2.084742433671622e-16	PHB-low (<50%)
malacoplasma	0.0	2	8.930623544510293e-18	PHB-low (<50%)
photobacterium	1.0	29	4.465311772255146e-18	PHB-high (>=50%)
chlamydia	0.0	3	4.465311772255146e-18	PHB-low (<50%)
acetomicrobium	0.0	3	4.465311772255146e-18	PHB-low (<50%)
bartonella	0.0	26	2.4559214747403304e-17	PHB-low (<50%)
polynucleobacter	0.9761904761904762	42	6.69796765838272e-17	PHB-high (>=50%)
pantoea_a	0.0	1	1.339593531676544e-17	PHB-low (<50%)
microcystis	1.0	12	9.488787516042187e-18	PHB-high (>=50%)
pedobacter	0.0	21	3.2931674320381705e-17	PHB-low (<50%)
herminiimonas	1.0	2	2.679187063353088e-17	PHB-high (>=50%)
phytoplasma	0.0	12	6.69796765838272e-18	PHB-low (<50%)
methylotenera	0.15384615384615385	13	2.232655886127573e-17	PHB-low (<50%)
buttiauxella	0.0	6	8.930623544510293e-18	PHB-low (<50%)
acinetobacter	0.9469026548672567	113	8.205010381518833e-17	PHB-high (>=50%)
chryseobacterium	0.0	67	5.749088906778501e-17	PHB-low (<50%)
komagataeibacter	0.0	11	2.7908198576594664e-17	PHB-low (<50%)
asaia	0.0	1	1.1163279430637867e-17	PHB-low (<50%)
nostoc	0.15384615384615385	13	1.0716748253412352e-16	PHB-low (<50%)
gluconobacter	0.0	10	6.139803686850827e-18	PHB-low (<50%)
fimbriimonas	0.0	5	6.69796765838272e-18	PHB-low (<50%)
paenarthrobacter	0.0	15	6.69796765838272e-18	PHB-low (<50%)
calothrix	0.0	3	2.679187063353088e-17	PHB-low (<50%)
klebsiella	0.1875	16	2.9024526519658455e-17	PHB-low (<50%)
rahnella	0.0	9	2.0652066946680054e-17	PHB-low (<50%)
citrobacter_b	0.0	1	2.232655886127573e-18	PHB-low (<50%)
enterobacter	0.0625	32	3.34898382919136e-17	PHB-low (<50%)
clostridium	0.0	51	3.2931674320381705e-17	PHB-low (<50%)
bartonella_a	0.0	4	1.7861247089020585e-17	PHB-low (<50%)
pseudoalteromonas	0.36923076923076925	65	3.795515006416876e-17	PHB-low (<50%)
chlorobium_a	0.0	2	5.5816397153189335e-18	PHB-low (<50%)
legionella	1.0	30	2.5675542690467095e-17	PHB-high (>=50%)
chlorobaculum	0.0	4	4.465311772255146e-18	PHB-low (<50%)
pusillimonas	1.0	1	8.930623544510293e-18	PHB-high (>=50%)
anabaena	0.0	2	2.2326558861275734e-17	PHB-low (<50%)
aulosira	0.0	3	1.7861247089020585e-17	PHB-low (<50%)
anabaenopsis	0.0	1	8.930623544510293e-18	PHB-low (<50%)
trichormus	0.0	4	5.470006921012555e-17	PHB-low (<50%)
shewanella	0.06666666666666667	60	4.297862580795578e-17	PHB-low (<50%)
bacteroides	0.01694915254237288	59	1.5628591202893013e-17	PHB-low (<50%)
methanosarcina	0.06666666666666667	15	2.148931290397789e-17	PHB-low (<50%)
clostridium_ad	0.0	5	1.8977575032084373e-17	PHB-low (<50%)
jaadge01	0.0	2	2.0093902975148158e-17	PHB-low (<50%)
acidaminococcus	0.0	12	4.465311772255146e-18	PHB-low (<50%)
sxtu01	0.0	5	3.34898382919136e-18	PHB-low (<50%)
ruminococcus_d	0.0	23	1.9256657017850318e-17	PHB-low (<50%)
intestinimonas	0.0	7	5.0234757437870395e-18	PHB-low (<50%)
serratia_j	0.0	8	2.232655886127573e-18	PHB-low (<50%)
haemophilus_d	0.047619047619047616	21	1.1163279430637866e-18	PHB-low (<50%)
enterococcus_b	0.0	14	1.67449191459568e-17	PHB-low (<50%)
gemella	0.0	7	1.339593531676544e-17	PHB-low (<50%)
brevibacillus	0.0	17	6.69796765838272e-18	PHB-low (<50%)
pelagibacter	0.0	183	1.7861247089020585e-17	PHB-low (<50%)
kosakonia	0.0	9	2.0093902975148158e-17	PHB-low (<50%)
fusobacterium	0.0	11	1.0046951487574079e-17	PHB-low (<50%)
thermoclostridium	0.0	2	1.5628591202893013e-17	PHB-low (<50%)
photorhabdus	0.0	11	7.814295601446506e-18	PHB-low (<50%)
parasynechococcus	0.0	17	4.130413389336011e-17	PHB-low (<50%)
phaeobacter	1.0	4	8.930623544510293e-18	PHB-high (>=50%)
chitinophaga	0.0	11	2.902452651965845e-17	PHB-low (<50%)
pantoea	0.0	38	8.930623544510294e-18	PHB-low (<50%)
akkermansia	0.0	21	2.679187063353088e-17	PHB-low (<50%)
methylacidiphilum	0.0	5	8.930623544510293e-18	PHB-low (<50%)
erwinia	0.0	18	2.1210230918211943e-17	PHB-low (<50%)
moraxella_a	0.75	4	4.465311772255146e-18	PHB-high (>=50%)
saccharolobus	0.0	5	5.5816397153189335e-18	PHB-low (<50%)
nitrosocaldus	1.0	3	1.7861247089020585e-17	PHB-high (>=50%)
ochrobactrum_a	0.3333333333333333	3	3.7955150064168747e-17	PHB-low (<50%)
octadecabacter	1.0	4	6.251436481157205e-17	PHB-high (>=50%)
staphylococcus	0.0	62	3.711790410687091e-17	PHB-low (<50%)
chlorobium	0.0	42	2.6791870633530876e-17	PHB-low (<50%)
dehalococcoides	0.0	3	5.5816397153189335e-18	PHB-low (<50%)
methanoregula	0.0	6	5.5816397153189335e-18	PHB-low (<50%)
gibbsiella	0.0	1	3.34898382919136e-18	PHB-low (<50%)
marinobacter	0.9210526315789473	38	6.809600452689098e-17	PHB-high (>=50%)
neisseria	0.03773584905660377	53	7.702662807140128e-17	PHB-low (<50%)
selenomonas_b	0.0	2	1.67449191459568e-18	PHB-low (<50%)
renibacterium	0.0	2	2.902452651965845e-17	PHB-low (<50%)
desulfobacula	0.2222222222222222	9	4.465311772255146e-18	PHB-low (<50%)
thermodesulfovibrio	0.0	4	8.930623544510293e-18	PHB-low (<50%)
oleidesulfovibrio	0.0	1	4.465311772255146e-18	PHB-low (<50%)
rickettsia	0.9285714285714286	14	3.3489838291913595e-17	PHB-high (>=50%)
pontibacter	0.0	5	1.5628591202893013e-17	PHB-low (<50%)
nitrosococcus	0.0	1	2.232655886127573e-18	PHB-low (<50%)
dehalogenimonas	0.0	2	4.465311772255146e-18	PHB-low (<50%)
saccharospirillum	0.0	1	4.465311772255146e-18	PHB-low (<50%)
dykf01	0.0	1	1.7861247089020585e-17	PHB-low (<50%)
musicola	0.0	1	1.7861247089020585e-17	PHB-low (<50%)
