gtdb_species_clade_id	GTDB_taxonomy	gtdb_phylum	gtdb_class	gtdb_order	gtdb_family	gtdb_genus	no_genomes	no_core	no_aux_genome	no_gene_clusters	phb_status	phb_genes_str	phaC_is_core	phaC_is_aux	has_phaC	has_complete_pathway
s__Haemophilus_influenzae--RS_GCF_001457655.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Pasteurellaceae;g__Haemophilus	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Pasteurellaceae	Haemophilus	567	1401	13072	14473	precursors_only	phaA			0	0
s__Bifidobacterium_longum--RS_GCF_000196555.1	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	540	1357	33561	34918	absent				0	0
s__Proteus_mirabilis--RS_GCF_000160755.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Proteus	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Proteus	521	2917	42745	45662	precursors_only	phaA			0	0
s__Staphylococcus_haemolyticus--RS_GCF_006094395.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	513	1956	27853	29809	precursors_only	phaA,phaP			0	0
s__Bacillus_A_anthracis--RS_GCF_000742895.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A	Bacillota	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	455	4530	45003	49533	complete	phaA,phaB,phaC,phaP	True	False	1	1
s__Phocaeicola_vulgatus--RS_GCF_000012825.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	449	2635	71920	74555	precursors_only	phaB			0	0
s__Cronobacter_sakazakii--RS_GCF_000982825.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cronobacter	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	449	3468	38955	42423	precursors_only	phaA			0	0
s__Streptococcus_equi--GB_GCA_900637675.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	472	1830	15913	17743	precursors_only	phaA			0	0
s__Corynebacterium_diphtheriae--RS_GCF_001457455.1	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	389	1788	13444	15232	precursors_only	phaB			0	0
s__Serratia_marcescens_K--RS_GCF_002220655.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Serratia	425	4110	31431	35541	precursors_only	phaA			0	0
s__Staphylococcus_pseudintermedius--RS_GCF_001792775.2	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	426	2040	24203	26243	precursors_only	phaA,phaB,phaP			0	0
s__Bacteroides_uniformis--GB_GCA_025147485.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	401	2427	74048	76475	precursors_only	phaA,phaB			0	0
s__Cutibacterium_acnes--RS_GCF_003030305.1	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium	Actinomycetota	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Cutibacterium	361	1860	12321	14181	absent				0	0
s__Xanthomonas_oryzae--RS_GCF_004136375.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	396	3355	27021	30376	complete	phaA,phaB,phaC,phaP,phaZ	True	False	1	1
s__Klebsiella_michiganensis--RS_GCF_002925905.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	399	4597	57138	61735	complete	phaA,phaB,phaC	False	True	1	1
s__Helicobacter_pylori_BU--RS_GCF_900120335.1	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	370	1192	20961	22153	precursors_only	phaA			0	0
s__Sarcina_perfringens--RS_GCF_000013285.1	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Sarcina	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Sarcina	403	2325	31313	33638	precursors_only	phaA,phaB,phaP,phaZ			0	0
s__Burkholderia_multivorans--RS_GCF_000959525.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	404	4609	48640	53249	complete	phaA,phaB,phaC,phaP,phaZ	True	True	1	1
s__Klebsiella_aerogenes--RS_GCF_000215745.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	395	4152	56952	61104	complete	phaA,phaB,phaC	False	True	1	1
s__Lactobacillus_crispatus--RS_GCF_018987235.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	328	1310	24739	26049	precursors_only	phaA			0	0
s__Enterococcus_B_lactis--RS_GCF_015751045.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_B	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus_B	371	1973	25333	27306	precursors_only	phaA,phaP			0	0
s__Leptospira_interrogans--RS_GCF_900156205.1	d__Bacteria;p__Spirochaetota;c__Leptospirae;o__Leptospirales;f__Leptospiraceae;g__Leptospira	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	Leptospira	363	3099	27868	30967	precursors_only	phaA			0	0
s__Acinetobacter_pittii--RS_GCF_000369045.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	360	2938	36532	39470	complete	phaA,phaC	True	True	1	1
s__Pasteurella_multocida--RS_GCF_900187275.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Pasteurellaceae;g__Pasteurella	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Pasteurellaceae	Pasteurella	349	1813	13180	14993	absent				0	0
s__Pseudomonas_E_avellanae--RS_GCF_000444135.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_E	319	4006	59148	63154	complete	phaA,phaB,phaC,phaP	True	True	1	1
s__Enterobacter_roggenkampii--RS_GCF_001729805.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	327	3745	45945	49690	precursors_only	phaA			0	0
s__Burkholderia_cenocepacia--RS_GCF_900446215.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	338	5984	37430	43414	complete	phaA,phaB,phaC,phaP,phaZ	True	True	1	1
s__Xanthomonas_euvesicatoria--RS_GCF_020880415.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	332	3598	37948	41546	complete	phaA,phaB,phaC,phaP,phaZ	True	True	1	1
s__Bacteroides_thetaiotaomicron--RS_GCF_000011065.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	287	3225	62409	65634	precursors_only	phaA,phaB			0	0
s__Helicobacter_pylori_CI--RS_GCF_000448485.1	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	310	1158	19595	20753	precursors_only	phaA			0	0
s__Bacteroides_fragilis--RS_GCF_000025985.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	310	3144	44881	48025	precursors_only	phaB			0	0
s__Mammaliicoccus_sciuri--RS_GCF_002901825.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Mammaliicoccus	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Mammaliicoccus	307	2146	23318	25464	precursors_only	phaA,phaP			0	0
s__Parabacteroides_distasonis--RS_GCF_000012845.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	287	2696	52312	55008	precursors_only	phaB			0	0
s__Clostridium_F_botulinum--RS_GCF_001276985.1	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_F	Bacillota_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium_F	265	2812	24380	27192	precursors_only	phaA			0	0
s__Bacillus_A_cereus--RS_GCF_000007825.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A	Bacillota	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	249	4344	55132	59476	complete	phaA,phaB,phaC,phaP	True	False	1	1
s__Lacticaseibacillus_paracasei--RS_GCF_000829035.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lacticaseibacillus	271	2056	26617	28673	precursors_only	phaA,phaP			0	0
s__Stenotrophomonas_maltophilia--RS_GCF_900186865.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	303	3572	42410	45982	complete	phaA,phaB,phaC,phaP,phaZ	True	True	1	1
s__Burkholderia_ubonensis--RS_GCF_902833085.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	305	5046	50824	55870	complete	phaA,phaB,phaC,phaP,phaZ	True	True	1	1
s__Lactococcus_lactis--RS_GCF_900099625.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	291	1702	33101	34803	precursors_only	phaA,phaB,phaP			0	0
s__Vibrio_alginolyticus--RS_GCF_000354175.2	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Vibrionaceae;g__Vibrio	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Vibrionaceae	Vibrio	290	4008	39671	43679	complete	phaA,phaB,phaC	True	True	1	1
s__Micrococcus_luteus--RS_GCF_000023205.1	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus	Actinomycetota	Actinomycetia	Actinomycetales	Micrococcaceae	Micrococcus	295	1713	21956	23669	precursors_only	phaA			0	0
s__Bacillus_A_paranthracis--RS_GCF_001883995.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A	Bacillota	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	137	3903	33424	37327	complete	phaA,phaB,phaC,phaP	True	True	1	1
s__Bacillus_A_toyonensis--RS_GCF_000496285.1	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A	Bacillota	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	274	4598	43780	48378	complete	phaA,phaB,phaC,phaP	True	False	1	1
s__Vibrio_vulnificus--RS_GCF_002224265.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Vibrionaceae;g__Vibrio	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Vibrionaceae	Vibrio	272	3565	48848	52413	complete	phaA,phaB,phaC	True	True	1	1
