gtdb_species_clade_id	phb_genes_present	phb_status	phb_genes_str	n_phaC_clusters	phaC_is_core	phaC_is_aux
s__14-2_sp910588965--GB_GCA_910588965.1	{'phaA'}	precursors_only	phaA			
s__1XD42-69_sp003612565--RS_GCF_003612565.1	{'phaA'}	precursors_only	phaA			
s__1XD42-69_sp009911505--GB_GCA_009911505.1	{'phaA'}	precursors_only	phaA			
s__1XD42-69_sp011959925--GB_GCA_011959925.1	{'phaA'}	precursors_only	phaA			
s__1XD42-69_sp014287635--RS_GCF_014287635.1	{'phaA'}	precursors_only	phaA			
s__1XD42-69_sp910586725--GB_GCA_910586725.1	{'phaA'}	precursors_only	phaA			
s__1XD42-69_sp910588565--GB_GCA_910588565.1	{'phaA'}	precursors_only	phaA			
s__1XD42-69_sp910589105--GB_GCA_910589105.1	{'phaA'}	precursors_only	phaA			
s__1XD8-76_sp910573755--GB_GCA_910573755.1	{'phaA'}	precursors_only	phaA			
s__1XD8-76_sp910578085--GB_GCA_910578085.1	{'phaA'}	precursors_only	phaA			
s__2-01-FULL-38-21_sp001782085--GB_GCA_001782085.1	{'phaA'}	precursors_only	phaA			
s__2-01-FULL-39-28_sp001794635--GB_GCA_001794635.1	{'phaA'}	precursors_only	phaA			
s__2-01-FULL-39-28_sp001795735--GB_GCA_001795735.1	{'phaA'}	precursors_only	phaA			
s__2-01-FULL-40-13_sp001788015--GB_GCA_001788015.1	{'phaA'}	precursors_only	phaA			
s__2-01-FULL-40-13_sp001789635--GB_GCA_001789635.1	{'phaA'}	precursors_only	phaA			
s__2-01-FULL-40-13_sp001789645--GB_GCA_001789645.1	{'phaA'}	precursors_only	phaA			
s__2-01-FULL-40-13_sp001789745--GB_GCA_001789745.1	{'phaA'}	precursors_only	phaA			
s__2-01-FULL-41-14_sp001767855--GB_GCA_001767855.1	{'phaA'}	precursors_only	phaA			
s__2-01-FULL-41-22_sp001789805--GB_GCA_001789805.1	{'phaA'}	precursors_only	phaA			
s__2-01-FULL-43-22_sp001795615--GB_GCA_001795615.1	{'phaA'}	precursors_only	phaA			
s__2-01-FULL-45-10_sp001804065--GB_GCA_001804065.1	{'phaA'}	precursors_only	phaA			
s__2-01-FULL-45-33_sp001778595--GB_GCA_001778595.1	{'phaA'}	precursors_only	phaA			
s__2-01-FULL-45-33_sp001778875--GB_GCA_001778875.1	{'phaA'}	precursors_only	phaA			
s__2-01-FULL-46-13_sp001780775--GB_GCA_001780775.1	{'phaB'}	precursors_only	phaB			
s__2-01-FULL-50-28_sp001816585--GB_GCA_001816585.1	{'phaA'}	precursors_only	phaA			
s__2-01-FULL-51-34_sp001820785--GB_GCA_001820785.1	{'phaA'}	precursors_only	phaA			
s__2-01-FULL-64-13_sp001800095--GB_GCA_001800095.1	{'phaA'}	precursors_only	phaA			
s__2-02-FULL-35-15_sp001784585--GB_GCA_001784585.1	{'phaC', 'phaA'}	complete	phaA,phaC	1.0	True	False
s__2-02-FULL-37-13_sp001782195--GB_GCA_001782195.1	{'phaA'}	precursors_only	phaA			
s__2-02-FULL-38-14-A_sp001790855--GB_GCA_001790855.1	{'phaA'}	precursors_only	phaA			
s__2-02-FULL-38-15-A_sp001797335--GB_GCA_001797335.1	{'phaA'}	precursors_only	phaA			
s__2-02-FULL-38-15_sp001777055--GB_GCA_001777055.1	{'phaA'}	precursors_only	phaA			
s__2-02-FULL-40-10_sp001779115--GB_GCA_001779115.1	{'phaA'}	precursors_only	phaA			
s__2-02-FULL-42-43_sp001801425--GB_GCA_001801425.1	{'phaA'}	precursors_only	phaA			
s__2-02-FULL-42-43_sp001802455--GB_GCA_001802455.1	{'phaA'}	precursors_only	phaA			
s__2-02-FULL-42-43_sp002793195--GB_GCA_002793195.1	{'phaA'}	precursors_only	phaA			
s__2-02-FULL-44-16_sp001798185--GB_GCA_001798185.1	{'phaA'}	precursors_only	phaA			
s__2-02-FULL-45-18_sp001774075--GB_GCA_001774075.1	{'phaA'}	precursors_only	phaA			
s__2-02-FULL-45-21_sp001805845--GB_GCA_001805845.1	{'phaA'}	precursors_only	phaA			
s__2-02-FULL-47-50_sp001801885--GB_GCA_001801885.1	{'phaB', 'phaC', 'phaA'}	complete	phaA,phaB,phaC	2.0	True	True
s__2-02-FULL-48-11_sp001805615--GB_GCA_001805615.1	{'phaB', 'phaA'}	precursors_only	phaA,phaB			
s__2-02-FULL-49-16_sp002772605--GB_GCA_002772605.1	{'phaA'}	precursors_only	phaA			
s__2-02-FULL-50-16-A_sp001828605--GB_GCA_001828605.1	{'phaA'}	precursors_only	phaA			
s__2-02-FULL-50-16_sp001798715--GB_GCA_001798715.1	{'phaA'}	precursors_only	phaA			
s__2-02-FULL-51-10_sp001788965--GB_GCA_001788965.1	{'phaP', 'phaA'}	precursors_only	phaA,phaP			
s__2-02-FULL-52-16_sp001787535--GB_GCA_001787535.1	{'phaA'}	precursors_only	phaA			
s__2-02-FULL-55-14_sp001802945--GB_GCA_001802945.1	{'phaA'}	precursors_only	phaA			
s__2-02-FULL-62-14_sp020028595--GB_GCA_020028595.1	{'phaB', 'phaC'}	complete	phaB,phaC	1.0	False	True
s__2-02-FULL-63-19_sp001770415--GB_GCA_001770415.1	{'phaB', 'phaC', 'phaA'}	complete	phaA,phaB,phaC	3.0	True	True
s__2-02-FULL-63-19_sp001770425--GB_GCA_001770425.1	{'phaB', 'phaC', 'phaA'}	complete	phaA,phaB,phaC	4.0	True	True
s__2-02-FULL-66-14_sp001771975--GB_GCA_001771975.1	{'phaB', 'phaC', 'phaA'}	complete	phaA,phaB,phaC	3.0	True	False
s__2-02-FULL-66-14_sp004298295--GB_GCA_004298295.1	{'phaB', 'phaC', 'phaA'}	complete	phaA,phaB,phaC	4.0	True	True
s__2-02-FULL-66-22_sp001771285--GB_GCA_001771285.1	{'phaC', 'phaA'}	complete	phaA,phaC	1.0	False	True
s__2-02-FULL-66-22_sp016180655--GB_GCA_016180655.1	{'phaB', 'phaC', 'phaA'}	complete	phaA,phaB,phaC	1.0	False	True
s__2-02-FULL-66-22_sp016208645--GB_GCA_016208645.1	{'phaB', 'phaA'}	precursors_only	phaA,phaB			
s__2-02-FULL-67-57_sp001766965--GB_GCA_001766965.1	{'phaB', 'phaA'}	precursors_only	phaA,phaB			
s__2-12-FULL-35-15_sp005772895--GB_GCA_005772895.1	{'phaB', 'phaA'}	precursors_only	phaA,phaB			
s__2-12-FULL-35-15_sp903847205--GB_GCA_903847205.1	{'phaB', 'phaC', 'phaA'}	complete	phaA,phaB,phaC	1.0	True	False
s__2-12-FULL-35-15_sp903870175--GB_GCA_903870175.1	{'phaA'}	precursors_only	phaA			
s__2-12-FULL-35-15_sp903889605--GB_GCA_903889605.1	{'phaB', 'phaC', 'phaA'}	complete	phaA,phaB,phaC	2.0	True	True
s__2-12-FULL-35-15_sp903911435--GB_GCA_903911435.1	{'phaB', 'phaA'}	precursors_only	phaA,phaB			
s__2-12-FULL-35-15_sp903919535--GB_GCA_903919535.1	{'phaB', 'phaC', 'phaA'}	complete	phaA,phaB,phaC	1.0	True	False
s__2-12-FULL-35-15_sp903926385--GB_GCA_903926385.1	{'phaB', 'phaA'}	precursors_only	phaA,phaB			
s__2-12-FULL-37-12_sp001769655--GB_GCA_001769655.1	{'phaB', 'phaC', 'phaA'}	complete	phaA,phaB,phaC	1.0	True	False
s__2-12-FULL-37-7b_sp001788095--GB_GCA_001788095.1	{'phaB', 'phaA'}	precursors_only	phaA,phaB			
s__2-12-FULL-40-28_sp001798135--GB_GCA_001798135.1	{'phaA'}	precursors_only	phaA			
s__2-12-FULL-41-16_sp001782805--GB_GCA_001782805.1	{'phaA'}	precursors_only	phaA			
s__2-12-FULL-52-36_sp001828545--GB_GCA_001828545.1	{'phaA'}	precursors_only	phaA			
s__2-12-FULL-53-21_sp020027805--GB_GCA_020027805.1	{'phaC', 'phaA'}	complete	phaA,phaC	2.0	True	False
s__2-12-FULL-55-11_sp001787585--GB_GCA_001787585.1	{'phaA'}	precursors_only	phaA			
s__2-12-FULL-55-11_sp001788925--GB_GCA_001788925.1	{'phaA'}	precursors_only	phaA			
s__2-12-FULL-57-22_sp001798455--GB_GCA_001798455.1	{'phaB', 'phaA'}	precursors_only	phaA,phaB			
s__2-12-FULL-62-27_sp001784175--GB_GCA_001784175.1	{'phaA'}	precursors_only	phaA			
s__2-12-FULL-65-11_sp001767495--GB_GCA_001767495.1	{'phaA'}	precursors_only	phaA			
s__2-12-FULL-66-21_sp001767455--GB_GCA_001767455.1	{'phaA'}	precursors_only	phaA			
s__2-12-FULL-67-15_sp009693905--GB_GCA_009693905.1	{'phaB', 'phaC', 'phaA'}	complete	phaA,phaB,phaC	2.0	True	False
s__2-12-FULL-67-15_sp016872535--GB_GCA_016872535.1	{'phaB', 'phaC', 'phaA'}	complete	phaA,phaB,phaC	5.0	True	True
s__2-12-FULL-68-20_sp001770655--GB_GCA_001770655.1	{'phaB', 'phaC', 'phaA', 'phaZ'}	complete	phaA,phaB,phaC,phaZ	2.0	True	True
s__2-12-FULL-69-37_sp001790955--GB_GCA_001790955.1	{'phaA'}	precursors_only	phaA			
s__2-12-FULL-69-37_sp016184445--GB_GCA_016184445.1	{'phaA'}	precursors_only	phaA			
s__2011-GWA2-47-8b_sp001003205--GB_GCA_001003205.1	{'phaA'}	precursors_only	phaA			
s__2011-GWC2-44-17_sp001029695--GB_GCA_001029695.1	{'phaP'}	accessory_only	phaP			
s__2011-GWC2-44-17_sp001790515--GB_GCA_001790515.1	{'phaP'}	accessory_only	phaP			
s__20CM-2-55-15_sp001920875--GB_GCA_001920875.1	{'phaA'}	precursors_only	phaA			
s__20CM-2-55-15_sp003223875--GB_GCA_003223875.1	{'phaA'}	precursors_only	phaA			
s__20CM-2-65-7_sp003222195--GB_GCA_003222195.1	{'phaB', 'phaA'}	precursors_only	phaA,phaB			
s__20CM-2-70-11_sp001914535--GB_GCA_001914535.1	{'phaB', 'phaC', 'phaA'}	complete	phaA,phaB,phaC	1.0	True	False
s__20CM-2-70-11_sp003220315--GB_GCA_003220315.1	{'phaB', 'phaC', 'phaA'}	complete	phaA,phaB,phaC	1.0	True	False
s__20CM-2-70-11_sp003221695--GB_GCA_003221695.1	{'phaC', 'phaA'}	complete	phaA,phaC	1.0	True	False
s__20CM-4-69-16_sp001919865--GB_GCA_001919865.1	{'phaB', 'phaA'}	precursors_only	phaA,phaB			
s__20CM-4-69-16_sp003220795--GB_GCA_003220795.1	{'phaB', 'phaA'}	precursors_only	phaA,phaB			
s__20CM-4-69-16_sp003220935--GB_GCA_003220935.1	{'phaA'}	precursors_only	phaA			
s__21-14-all-39-27_sp002786715--GB_GCA_002786715.1	{'phaA'}	precursors_only	phaA			
s__28-57-27_sp006212015--GB_GCA_006212015.1	{'phaP'}	accessory_only	phaP			
s__28-YEA-48_sp001898965--GB_GCA_001898965.1	{'phaP', 'phaB', 'phaA', 'phaZ', 'phaC'}	complete	phaA,phaB,phaC,phaP,phaZ	1.0	True	False
s__28-YEA-48_sp903825465--GB_GCA_903825465.1	{'phaP', 'phaB', 'phaA', 'phaZ', 'phaC'}	complete	phaA,phaB,phaC,phaP,phaZ	1.0	True	False
s__28-YEA-48_sp903851305--GB_GCA_903851305.1	{'phaP', 'phaB', 'phaA', 'phaZ', 'phaC'}	complete	phaA,phaB,phaC,phaP,phaZ	2.0	False	True
s__28-YEA-48_sp903861645--GB_GCA_903861645.1	{'phaP', 'phaB', 'phaA', 'phaZ', 'phaC'}	complete	phaA,phaB,phaC,phaP,phaZ	1.0	True	False
s__28-YEA-48_sp903889985--GB_GCA_903889985.1	{'phaP', 'phaB', 'phaA', 'phaZ', 'phaC'}	complete	phaA,phaB,phaC,phaP,phaZ	3.0	False	True
s__28-YEA-48_sp903902915--GB_GCA_903902915.1	{'phaP', 'phaB', 'phaA', 'phaZ', 'phaC'}	complete	phaA,phaB,phaC,phaP,phaZ	2.0	False	True
s__28-YEA-48_sp903916165--GB_GCA_903916165.1	{'phaP', 'phaB', 'phaA', 'phaZ', 'phaC'}	complete	phaA,phaB,phaC,phaP,phaZ	2.0	False	True
s__28-YEA-48_sp903931945--GB_GCA_903931945.1	{'phaP', 'phaB', 'phaA', 'phaZ', 'phaC'}	complete	phaA,phaB,phaC,phaP,phaZ	2.0	False	True
s__3-1-20CM-2-70-9_sp001919195--GB_GCA_005883625.1	{'phaA'}	precursors_only	phaA			
s__3-1-20CM-2-70-9_sp005882765--GB_GCA_005882765.1	{'phaA'}	precursors_only	phaA			
s__3-1-20CM-2-70-9_sp005883775--GB_GCA_005883775.1	{'phaB', 'phaA'}	precursors_only	phaA,phaB			
s__3-1-20CM-2-70-9_sp005889075--GB_GCA_005889075.1	{'phaA'}	precursors_only	phaA			
s__3-1-20CM-2-70-9_sp005889275--GB_GCA_005889275.1	{'phaA'}	precursors_only	phaA			
s__3-1-20CM-3-53-8_sp001920415--GB_GCA_001920415.1	{'phaA'}	precursors_only	phaA			
s__3-1-20CM-4-69-9_sp005883355--GB_GCA_005883355.1	{'phaP', 'phaA'}	precursors_only	phaA,phaP			
s__33-17_sp001897445--GB_GCA_001897445.1	{'phaB', 'phaC', 'phaA', 'phaZ'}	complete	phaA,phaB,phaC,phaZ	1.0	True	False
s__38-11_sp001509345--GB_GCA_001509345.1	{'phaA'}	precursors_only	phaA			
s__38-11_sp019084435--GB_GCA_019084435.1	{'phaC', 'phaA'}	complete	phaA,phaC	1.0	True	False
s__40-80_sp001899145--GB_GCA_001899145.1	{'phaB', 'phaA'}	precursors_only	phaA,phaB			
s__40CM-2-53-6_sp001915065--GB_GCA_001915065.1	{'phaA'}	precursors_only	phaA			
s__40CM-2-53-6_sp001918745--GB_GCA_001918745.1	{'phaA'}	precursors_only	phaA			
s__40CM-2-53-6_sp001919285--GB_GCA_001919285.1	{'phaP', 'phaA'}	precursors_only	phaA,phaP			
s__40CM-2-53-6_sp005882895--GB_GCA_005882895.1	{'phaA'}	precursors_only	phaA			
s__40CM-2-53-6_sp005882905--GB_GCA_005882905.1	{'phaA'}	precursors_only	phaA			
s__40CM-2-53-6_sp005883075--GB_GCA_005883075.1	{'phaA'}	precursors_only	phaA			
s__40CM-2-70-7_sp003222205--GB_GCA_003222205.1	{'phaB', 'phaP', 'phaA'}	precursors_only	phaA,phaB,phaP			
s__40CM-3-55-5_sp001918935--GB_GCA_001918935.1	{'phaA'}	precursors_only	phaA			
s__40CM-3-62-11_sp001914955--GB_GCA_001914955.1	{'phaC', 'phaA'}	complete	phaA,phaC	1.0	False	True
s__40CM-4-65-16_sp001917775--GB_GCA_005882115.1	{'phaA'}	precursors_only	phaA			
s__40CM-4-65-16_sp005880795--GB_GCA_005880795.1	{'phaP', 'phaA'}	precursors_only	phaA,phaP			
s__40CM-4-65-16_sp005881275--GB_GCA_005881275.1	{'phaB', 'phaP', 'phaA'}	precursors_only	phaA,phaB,phaP			
s__40CM-4-65-16_sp005881335--GB_GCA_005881335.1	{'phaB', 'phaP', 'phaA'}	precursors_only	phaA,phaB,phaP			
s__40CM-4-65-16_sp005882135--GB_GCA_005882135.1	{'phaP', 'phaA'}	precursors_only	phaA,phaP			
s__40CM-4-65-16_sp005883575--GB_GCA_005883575.1	{'phaB', 'phaA'}	precursors_only	phaA,phaB			
s__40CM-4-65-16_sp005887685--GB_GCA_005887685.1	{'phaB', 'phaA'}	precursors_only	phaA,phaB			
s__40CM-4-65-16_sp005889135--GB_GCA_005889135.1	{'phaB', 'phaA'}	precursors_only	phaA,phaB			
s__40CM-4-68-19_sp001918155--GB_GCA_001918155.1	{'phaB', 'phaA'}	precursors_only	phaA,phaB			
s__40CM-4-68-19_sp005879505--GB_GCA_005879505.1	{'phaB', 'phaA'}	precursors_only	phaA,phaB			
s__40CM-4-68-19_sp005879535--GB_GCA_005879535.1	{'phaB', 'phaC', 'phaA', 'phaZ'}	complete	phaA,phaB,phaC,phaZ	2.0	False	True
s__40CM-4-68-19_sp005879805--GB_GCA_005879805.1	{'phaB', 'phaC', 'phaA', 'phaZ'}	complete	phaA,phaB,phaC,phaZ	2.0	False	True
s__40CM-4-69-5_sp001917535--GB_GCA_001917535.1	{'phaC', 'phaA'}	complete	phaA,phaC	1.0	True	False
s__40CM-68-15_sp003220615--GB_GCA_003220615.1	{'phaB', 'phaC', 'phaA'}	complete	phaA,phaB,phaC	1.0	True	False
s__41-12-T18_sp002163085--GB_GCA_002163085.1	{'phaA'}	precursors_only	phaA			
s__41-12-T18_sp002163115--GB_GCA_002163115.1	{'phaB', 'phaA'}	precursors_only	phaA,phaB			
s__41T-STBD-0c-01a_sp020445205--GB_GCA_020445205.1	{'phaB', 'phaC', 'phaA'}	complete	phaA,phaB,phaC	1.0	True	False
s__41T-STBD-0c-01a_sp020445255--GB_GCA_020445255.1	{'phaB', 'phaC', 'phaA'}	complete	phaA,phaB,phaC	1.0	False	True
s__41T-STBD-0c-01a_sp024235395--GB_GCA_024235395.1	{'phaB', 'phaC', 'phaP', 'phaA'}	complete	phaA,phaB,phaC,phaP	1.0	True	False
s__41T-STBD-0c-01a_sp024235415--GB_GCA_024235415.1	{'phaB', 'phaC', 'phaA'}	complete	phaA,phaB,phaC	1.0	False	True
s__42-11_sp001508835--GB_GCA_001508835.1	{'phaA'}	precursors_only	phaA			
s__42-54-T18_sp002162955--GB_GCA_002162955.1	{'phaC', 'phaA'}	complete	phaA,phaC	2.0	True	False
s__42-54-T18_sp002163245--GB_GCA_002163245.1	{'phaC', 'phaA'}	complete	phaA,phaC	2.0	True	False
s__43-37_sp001897475--GB_GCA_001897475.1	{'phaB', 'phaC', 'phaA', 'phaZ'}	complete	phaA,phaB,phaC,phaZ	2.0	True	False
s__4484-219_sp002085035--GB_GCA_002085035.1	{'phaA'}	precursors_only	phaA			
s__4484-232_sp002084985--GB_GCA_002084985.1	{'phaA'}	precursors_only	phaA			
s__4572-104_sp016935815--GB_GCA_016935815.1	{'phaA'}	precursors_only	phaA			
s__4572-112_sp015493685--GB_GCA_015493685.1	{'phaB', 'phaA'}	precursors_only	phaA,phaB			
s__4572-112_sp022736595--GB_GCA_022736595.1	{'phaB', 'phaA'}	precursors_only	phaA,phaB			
s__46-32_sp001898405--GB_GCA_001898405.1	{'phaP', 'phaA'}	precursors_only	phaA,phaP			
s__46-32_sp001898485--GB_GCA_001898485.1	{'phaP', 'phaA'}	precursors_only	phaA,phaP			
s__46-80_sp002382755--GB_GCA_002382755.1	{'phaB', 'phaA'}	precursors_only	phaA,phaB			
s__46-80_sp002418775--GB_GCA_002418775.1	{'phaA'}	precursors_only	phaA			
s__46-80_sp003513005--GB_GCA_003513005.1	{'phaA'}	precursors_only	phaA			
s__49-20_sp002436085--GB_GCA_002436085.1	{'phaA'}	precursors_only	phaA			
s__49-20_sp003499715--GB_GCA_003499715.1	{'phaA'}	precursors_only	phaA			
s__49-20_sp012517865--GB_GCA_012517865.1	{'phaA'}	precursors_only	phaA			
s__49-20_sp012797215--GB_GCA_012797215.1	{'phaA'}	precursors_only	phaA			
s__50-218_sp001508855--GB_GCA_001508855.1	{'phaA'}	precursors_only	phaA			
s__50-400-T64_sp002162755--GB_GCA_002162755.1	{'phaB', 'phaC', 'phaA'}	complete	phaA,phaB,phaC	2.0	True	False
s__50-400-T64_sp002162815--GB_GCA_002162815.1	{'phaB', 'phaC', 'phaA'}	complete	phaA,phaB,phaC	2.0	True	True
s__50-400-T64_sp002162825--GB_GCA_002162825.1	{'phaB', 'phaC', 'phaA'}	complete	phaA,phaB,phaC	1.0	False	True
s__50-400-T64_sp018069465--GB_GCA_018069465.1	{'phaB', 'phaC', 'phaA'}	complete	phaA,phaB,phaC	2.0	True	False
s__54-19_sp001898225--GB_GCA_001898225.1	{'phaB', 'phaA'}	precursors_only	phaA,phaB			
s__55-13_sp001898035--GB_GCA_001898035.1	{'phaP', 'phaA'}	precursors_only	phaA,phaP			
s__58-81_sp001509095--GB_GCA_001509095.1	{'phaA'}	precursors_only	phaA			
s__58-81_sp002070395--GB_GCA_002070395.1	{'phaA'}	precursors_only	phaA			
s__58-81_sp012729145--GB_GCA_012729145.1	{'phaA'}	precursors_only	phaA			
s__62-47_sp001899255--GB_GCA_001899255.1	{'phaP', 'phaB', 'phaA', 'phaZ', 'phaC'}	complete	phaA,phaB,phaC,phaP,phaZ	3.0	True	False
s__63-22_sp001898995--GB_GCA_001898995.1	{'phaA'}	precursors_only	phaA			
s__63-22_sp900465915--GB_GCA_900465915.1	{'phaP', 'phaA'}	precursors_only	phaA,phaP			
s__64-32_sp001508155--GB_GCA_001508155.1	{'phaA'}	precursors_only	phaA			
s__65-79_sp001896885--GB_GCA_001896885.1	{'phaB', 'phaC', 'phaA', 'phaZ'}	complete	phaA,phaB,phaC,phaZ	1.0	True	False
s__65-9_sp001899525--GB_GCA_001899525.1	{'phaB', 'phaC', 'phaA', 'phaZ'}	complete	phaA,phaB,phaC,phaZ	1.0	True	False
s__66-26_sp001897745--GB_GCA_001897745.1	{'phaB', 'phaC', 'phaA'}	complete	phaA,phaB,phaC	3.0	True	False
s__66-474_sp001899805--GB_GCA_001899805.1	{'phaB', 'phaC', 'phaA'}	complete	phaA,phaB,phaC	1.0	True	False
s__67-14_sp001897355--GB_GCA_001897355.1	{'phaA'}	precursors_only	phaA			
s__67-14_sp020636955--GB_GCA_020636955.1	{'phaA'}	precursors_only	phaA			
s__67-14_sp903891285--GB_GCA_903891285.1	{'phaA'}	precursors_only	phaA			
s__67-14_sp903933815--GB_GCA_903933815.1	{'phaA'}	precursors_only	phaA			
s__67-14_sp903939845--GB_GCA_903939845.1	{'phaA'}	precursors_only	phaA			
s__69-11_sp001898425--GB_GCA_001898425.1	{'phaB', 'phaC', 'phaA', 'phaZ'}	complete	phaA,phaB,phaC,phaZ	5.0	True	True
s__6H3-1_sp019058015--GB_GCA_019058015.1	{'phaA'}	precursors_only	phaA			
s__70-18_sp001899585--GB_GCA_001899585.1	{'phaP', 'phaB', 'phaA', 'phaZ', 'phaC'}	complete	phaA,phaB,phaC,phaP,phaZ	3.0	True	True
s__79-D21_sp000402835--GB_GCA_000402835.1	{'phaA'}	precursors_only	phaA			
s__AA32_sp003223555--GB_GCA_003223555.1	{'phaB', 'phaA'}	precursors_only	phaA,phaB			
s__AAA044-D11_sp002367715--GB_GCA_002367715.1	{'phaA'}	precursors_only	phaA			
s__AAA044-D11_sp009698045--GB_GCA_009698045.1	{'phaA'}	precursors_only	phaA			
s__AAA044-D11_sp009705075--GB_GCA_009705075.1	{'phaA'}	precursors_only	phaA			
s__AAA044-D11_sp009726125--GB_GCA_009726125.1	{'phaA'}	precursors_only	phaA			
s__AAA044-D11_sp903836945--GB_GCA_903836945.1	{'phaP', 'phaA'}	precursors_only	phaA,phaP			
s__AAA044-D11_sp903838035--GB_GCA_903838035.1	{'phaB', 'phaP', 'phaA'}	precursors_only	phaA,phaB,phaP			
s__AAA044-D11_sp903842675--GB_GCA_903842675.1	{'phaP', 'phaA'}	precursors_only	phaA,phaP			
