gtdb_phylum	gtdb_family	n_species	pct_phaC	phylum_pct_phaC	odds_ratio	p_value	enrichment	p_corrected	enrichment_corrected
Actinomycetota	Nanopelagicaceae	106	0.9	18.832711231761113	0.03931579852157469	6.8534751986141874e-09	depleted	1.6996618492563185e-06	depleted
Actinomycetota	S36-B12	25	0.0	18.832711231761113	0.0	0.008584754571859464	depleted	1.0	ns
Actinomycetota	Nitriliruptoraceae	15	6.7	18.832711231761113	0.3066013408973698	0.3301016352950161	ns	1.0	ns
Actinomycetota	Nocardioidaceae	70	74.3	18.832711231761113	13.634636624696267	2.096829658884137e-24	enriched	5.200137554032659e-22	enriched
Actinomycetota	Propionibacteriaceae	37	8.1	18.832711231761113	0.37691815856777494	0.13490391919503963	ns	1.0	ns
Actinomycetota	Streptomycetaceae	390	1.8	18.832711231761113	0.0670036782222561	3.7034150684728954e-28	depleted	9.184469369812781e-26	depleted
Actinomycetota	Streptosporangiaceae	75	30.7	18.832711231761113	1.9454887218045114	0.010866100463077526	enriched	1.0	ns
Actinomycetota	Atopobiaceae	83	1.2	18.832711231761113	0.05084969622259399	1.0207977148152383e-06	depleted	0.0002531578332741791	depleted
Actinomycetota	Coriobacteriaceae	211	0.0	18.832711231761113	0.0	1.6929405566934092e-20	depleted	4.1984925805996546e-18	depleted
Actinomycetota	Eggerthellaceae	85	2.4	18.832711231761113	0.10061221377372057	6.773551145998427e-06	depleted	0.00167984068420761	depleted
Actinomycetota	Gaiellaceae	10	20.0	18.832711231761113	1.077757685352622	1.0	ns	1.0	ns
Actinomycetota	Solirubrobacteraceae	20	55.0	18.832711231761113	5.353962418300654	0.000309298740136303	enriched	0.07670608755380315	ns
Bacillota	Acholeplasmataceae	23	0.0	7.4166251866600295	0.0	0.4087320924552023	ns	1.0	ns
Bacillota	Anaeroplasmataceae	15	0.0	7.4166251866600295	0.0	0.6204985097343322	ns	1.0	ns
Bacillota	Alicyclobacillaceae	11	0.0	7.4166251866600295	0.0	1.0	ns	1.0	ns
Bacillota	Anoxybacillaceae	28	3.6	7.4166251866600295	0.4587087087087087	0.71771129886441	ns	1.0	ns
Bacillota	Bacillaceae	42	28.6	7.4166251866600295	5.343065693430657	2.8205788777468958e-05	enriched	0.006995035616812302	enriched
Bacillota	Bacillaceae_C	16	25.0	7.4166251866600295	4.248275862068965	0.026181100277777952	enriched	1.0	ns
Bacillota	Bacillaceae_G	52	100.0	7.4166251866600295	inf	1.3546641415154405e-63	enriched	3.3595670709582925e-61	enriched
Bacillota	DSM-1321	14	78.6	7.4166251866600295	49.34057971014493	7.867772612375843e-11	enriched	1.951207607869209e-08	enriched
Bacillota	DSM-18226	53	58.5	7.4166251866600295	21.94838212634823	5.15834842600612e-23	enriched	1.2792704096495178e-20	enriched
Bacillota	Planococcaceae	78	12.8	7.4166251866600295	1.8958950486669488	0.07489880146301735	ns	1.0	ns
Bacillota	Amphibacillaceae	39	0.0	7.4166251866600295	0.0	0.11201186732892532	ns	1.0	ns
Bacillota	Halobacillaceae	13	0.0	7.4166251866600295	0.0	0.6162926188273008	ns	1.0	ns
Bacillota	Bacillaceae_D	12	25.0	7.4166251866600295	4.226027397260274	0.053546422857082894	ns	1.0	ns
Bacillota	Brevibacillaceae	20	0.0	7.4166251866600295	0.0	0.3934921325778029	ns	1.0	ns
Bacillota	Coprobacillaceae	33	0.0	7.4166251866600295	0.0	0.16932209281008068	ns	1.0	ns
Bacillota	Erysipelotrichaceae	124	6.5	7.4166251866600295	0.8530202983614575	0.8592044534197948	ns	1.0	ns
Bacillota	Exiguobacteraceae	22	0.0	7.4166251866600295	0.0	0.4021156405306288	ns	1.0	ns
Bacillota	Izemoplasmataceae	10	0.0	7.4166251866600295	0.0	1.0	ns	1.0	ns
Bacillota	Aerococcaceae	47	21.3	7.4166251866600295	3.5446237604510986	0.0017633116247690395	enriched	0.4373012829427218	ns
Bacillota	Carnobacteriaceae	22	0.0	7.4166251866600295	0.0	0.4021156405306288	ns	1.0	ns
Bacillota	Enterococcaceae	65	4.6	7.4166251866600295	0.5958904109589042	0.6266342171190278	ns	1.0	ns
Bacillota	Lactobacillaceae	292	0.7	7.4166251866600295	0.07365704902650716	1.9231303352014494e-08	depleted	4.7693632312995944e-06	depleted
Bacillota	Listeriaceae	25	0.0	7.4166251866600295	0.0	0.2526720303936796	ns	1.0	ns
Bacillota	Streptococcaceae	236	0.8	7.4166251866600295	0.09454038025466596	1.904225852254719e-06	depleted	0.0004722480113591703	depleted
Bacillota	Vagococcaceae	10	0.0	7.4166251866600295	0.0	1.0	ns	1.0	ns
Bacillota	CAG-313	10	0.0	7.4166251866600295	0.0	1.0	ns	1.0	ns
Bacillota	CAG-698	12	0.0	7.4166251866600295	0.0	1.0	ns	1.0	ns
Bacillota	Metamycoplasmataceae	52	0.0	7.4166251866600295	0.0	0.029607447959234548	depleted	1.0	ns
Bacillota	Mycoplasmataceae	29	0.0	7.4166251866600295	0.0	0.26848805556559635	ns	1.0	ns
Bacillota	Mycoplasmoidaceae	23	0.0	7.4166251866600295	0.0	0.4087320924552023	ns	1.0	ns
Bacillota	NBRC-103111	23	0.0	7.4166251866600295	0.0	0.4087320924552023	ns	1.0	ns
Bacillota	Paenibacillaceae	126	0.0	7.4166251866600295	0.0	6.8907112185422e-05	depleted	0.017088963821984656	depleted
Bacillota	UBA660	251	0.0	7.4166251866600295	0.0	1.47638300931384e-09	depleted	3.661429863098323e-07	depleted
Bacillota	CAG-288	21	0.0	7.4166251866600295	0.0	0.39697761282308186	ns	1.0	ns
Bacillota	CAG-826	67	0.0	7.4166251866600295	0.0	0.008219688675597046	depleted	1.0	ns
Bacillota	Salinicoccaceae	15	0.0	7.4166251866600295	0.0	0.6204985097343322	ns	1.0	ns
Bacillota	Staphylococcaceae	78	0.0	7.4166251866600295	0.0	0.00348622728950007	depleted	0.8645843677960173	ns
Bacteroidota	OLB10	10	10.0	1.9272614236866645	5.730418943533698	0.1770690293369934	ns	1.0	ns
Bacteroidota	Bacteroidaceae	694	0.4	1.9272614236866645	0.18131423385415388	0.0004599847420536363	depleted	0.1140762160293018	ns
Bacteroidota	Barnesiellaceae	12	0.0	1.9272614236866645	0.0	1.0	ns	1.0	ns
Bacteroidota	Dysgonomonadaceae	38	0.0	1.9272614236866645	0.0	1.0	ns	1.0	ns
Bacteroidota	F082	53	0.0	1.9272614236866645	0.0	0.6256744920540884	ns	1.0	ns
Bacteroidota	FEN-979	13	0.0	1.9272614236866645	0.0	1.0	ns	1.0	ns
Bacteroidota	Marinifilaceae	22	0.0	1.9272614236866645	0.0	1.0	ns	1.0	ns
Bacteroidota	Muribaculaceae	208	1.4	1.9272614236866645	0.7317073170731707	0.7960603316597672	ns	1.0	ns
Bacteroidota	P3	65	0.0	1.9272614236866645	0.0	0.6367112145308887	ns	1.0	ns
Bacteroidota	Paludibacteraceae	124	0.0	1.9272614236866645	0.0	0.1740018676132475	ns	1.0	ns
Bacteroidota	Porphyromonadaceae	31	0.0	1.9272614236866645	0.0	1.0	ns	1.0	ns
Bacteroidota	Prolixibacteraceae	30	0.0	1.9272614236866645	0.0	1.0	ns	1.0	ns
Bacteroidota	Rikenellaceae	111	0.0	1.9272614236866645	0.0	0.2751832330696501	ns	1.0	ns
Bacteroidota	Tannerellaceae	43	0.0	1.9272614236866645	0.0	1.0	ns	1.0	ns
Bacteroidota	UBA7960	26	0.0	1.9272614236866645	0.0	1.0	ns	1.0	ns
Bacteroidota	UBA932	236	0.0	1.9272614236866645	0.0	0.013138853869423933	depleted	1.0	ns
Bacteroidota	VadinHA17	26	0.0	1.9272614236866645	0.0	1.0	ns	1.0	ns
Bacteroidota	WCHB1-69	29	0.0	1.9272614236866645	0.0	1.0	ns	1.0	ns
Bacteroidota	Chitinophagaceae	177	12.4	1.9272614236866645	10.64516129032258	2.742954833912916e-13	enriched	6.802527988104031e-11	enriched
Bacteroidota	Saprospiraceae	75	32.0	1.9272614236866645	38.43962848297214	6.206275076405643e-25	enriched	1.5391562189485994e-22	enriched
Bacteroidota	Cyclobacteriaceae	62	0.0	1.9272614236866645	0.0	0.6325691366908621	ns	1.0	ns
Bacteroidota	Hymenobacteraceae	26	0.0	1.9272614236866645	0.0	1.0	ns	1.0	ns
Bacteroidota	Spirosomaceae	37	0.0	1.9272614236866645	0.0	1.0	ns	1.0	ns
Bacteroidota	BACL11	15	0.0	1.9272614236866645	0.0	1.0	ns	1.0	ns
Bacteroidota	Crocinitomicaceae	39	0.0	1.9272614236866645	0.0	1.0	ns	1.0	ns
Bacteroidota	Flavobacteriaceae	532	0.6	1.9272614236866645	0.2524110089391561	0.008826497947854433	depleted	1.0	ns
Bacteroidota	PHOS-HE28	23	0.0	1.9272614236866645	0.0	1.0	ns	1.0	ns
Bacteroidota	Schleiferiaceae	26	0.0	1.9272614236866645	0.0	1.0	ns	1.0	ns
Bacteroidota	UA16	25	0.0	1.9272614236866645	0.0	1.0	ns	1.0	ns
Bacteroidota	Vicingaceae	14	0.0	1.9272614236866645	0.0	1.0	ns	1.0	ns
Bacteroidota	Weeksellaceae	136	0.0	1.9272614236866645	0.0	0.11199737442845978	ns	1.0	ns
Bacteroidota	UBA955	14	0.0	1.9272614236866645	0.0	1.0	ns	1.0	ns
Bacteroidota	UKL13-3	13	46.2	1.9272614236866645	48.183673469387756	6.195599190908709e-08	enriched	1.53650859934536e-05	enriched
Bacteroidota	Sphingobacteriaceae	85	0.0	1.9272614236866645	0.0	0.41130503483764824	ns	1.0	ns
Bacteroidota	Chlorobiaceae	52	0.0	1.9272614236866645	0.0	0.6255197669608407	ns	1.0	ns
Bacteroidota	Ignavibacteriaceae	30	0.0	1.9272614236866645	0.0	1.0	ns	1.0	ns
Bacteroidota	Melioribacteraceae	21	0.0	1.9272614236866645	0.0	1.0	ns	1.0	ns
Bacteroidota	B-1AR	10	0.0	1.9272614236866645	0.0	1.0	ns	1.0	ns
Bacteroidota	Balneolaceae	24	0.0	1.9272614236866645	0.0	1.0	ns	1.0	ns
Bacteroidota	Natronogracilivirgulaceae	10	0.0	1.9272614236866645	0.0	1.0	ns	1.0	ns
Chloroflexota	Phototrophicaceae	17	5.9	11.637931034482758	0.4543269230769231	0.7008751653932734	ns	1.0	ns
Chloroflexota	Anaerolineaceae	35	0.0	11.637931034482758	0.0	0.018356525564736267	depleted	1.0	ns
Chloroflexota	EnvOPS12	45	2.2	11.637931034482758	0.14073426573426573	0.03493275211735798	depleted	1.0	ns
Chloroflexota	Caldilineaceae	17	11.8	11.637931034482758	1.0133333333333334	1.0	ns	1.0	ns
Chloroflexota	Promineofilaceae	17	29.4	11.637931034482758	3.6553030303030303	0.033717600218727974	enriched	1.0	ns
Chloroflexota	Chloroflexaceae	10	100.0	11.637931034482758	inf	8.249857553133671e-11	enriched	2.0459646731771505e-08	enriched
Chloroflexota	AB-539-J10	10	0.0	11.637931034482758	0.0	0.6106520252945314	ns	1.0	ns
Chloroflexota	UBA826	12	0.0	11.637931034482758	0.0	0.3691201020352727	ns	1.0	ns
Chloroflexota	Tepidiformaceae	10	70.0	11.637931034482758	23.566666666666666	1.2750601595040267e-05	enriched	0.003162149195569986	enriched
Chloroflexota	UBA1328	10	0.0	11.637931034482758	0.0	0.6106520252945314	ns	1.0	ns
Chloroflexota	UBA3495	22	4.5	11.637931034482758	0.336996336996337	0.48399410401783793	ns	1.0	ns
Chloroflexota	CSP1-4	16	0.0	11.637931034482758	0.0	0.22779468750121154	ns	1.0	ns
Chloroflexota	P2-11E	11	0.0	11.637931034482758	0.0	0.3710802534712568	ns	1.0	ns
Cyanobacteriota	Coleofasciculaceae	10	10.0	7.552083333333333	1.373015873015873	0.5484134660390282	ns	1.0	ns
Cyanobacteriota	Microcoleaceae	25	16.0	7.552083333333333	2.544761904761905	0.10880935183823852	ns	1.0	ns
Cyanobacteriota	Microcystaceae	14	100.0	7.552083333333333	inf	5.669549081747731e-18	enriched	1.4060481722734373e-15	enriched
Cyanobacteriota	Nostocaceae	65	10.8	7.552083333333333	1.6293103448275863	0.302005658948416	ns	1.0	ns
Cyanobacteriota	Elainellaceae	10	20.0	7.552083333333333	3.212962962962963	0.16991608208330042	ns	1.0	ns
Cyanobacteriota	Cyanobiaceae	167	0.0	7.552083333333333	0.0	3.450533658049938e-08	depleted	8.557323471963846e-06	depleted
Cyanobacteriota	Phormidesmiaceae	10	10.0	7.552083333333333	1.373015873015873	0.5484134660390282	ns	1.0	ns
Cyanobacteriota	Gastranaerophilaceae	71	0.0	7.552083333333333	0.0	0.004487929623639666	depleted	1.0	ns
Cyanobacteriota	Obscuribacteraceae	12	0.0	7.552083333333333	0.0	0.611349806688404	ns	1.0	ns
Desulfobacterota	Desulfatiglandaceae	11	18.2	15.789473684210526	1.202020202020202	0.6854327281724039	ns	1.0	ns
Desulfobacterota	Desulfobacteraceae	18	33.3	15.789473684210526	3.2222222222222223	0.04116336034572764	enriched	1.0	ns
Desulfobacterota	Desulfocapsaceae	19	21.1	15.789473684210526	1.5066666666666666	0.5051770807077831	ns	1.0	ns
Desulfobacterota	Desulfurivibrionaceae	17	0.0	15.789473684210526	0.0	0.07568384784538973	ns	1.0	ns
Desulfobacterota	Desulfovibrionaceae	71	0.0	15.789473684210526	0.0	8.21963906915292e-08	depleted	2.0384704891499242e-05	depleted
Desulfobacterota	Smithellaceae	16	75.0	15.789473684210526	31.0	1.7348661250540937e-08	enriched	4.302467990134152e-06	enriched
Halobacteriota	Archaeoglobaceae	10	60.0	34.12322274881517	3.0681818181818183	0.0935605798258443	ns	1.0	ns
Halobacteriota	Haloarculaceae	30	90.0	34.12322274881517	27.2	9.21422059439299e-12	enriched	2.2851267074094614e-09	enriched
Halobacteriota	Halobacteriaceae	10	0.0	34.12322274881517	0.0	0.016999050136207648	depleted	1.0	ns
Halobacteriota	Haloferacaceae	41	34.1	34.12322274881517	1.0012771392081736	1.0	ns	1.0	ns
Halobacteriota	Natrialbaceae	26	88.5	34.12322274881517	21.27891156462585	1.3282942053210391e-09	enriched	3.2941696291961773e-07	enriched
Halobacteriota	Methanocorpusculaceae	11	9.1	34.12322274881517	0.18169014084507043	0.10245994902206365	ns	1.0	ns
Halobacteriota	Methanoculleaceae	22	0.0	34.12322274881517	0.0	7.097276568888955e-05	depleted	0.017601245890844608	depleted
Halobacteriota	Methanoregulaceae	17	0.0	34.12322274881517	0.0	0.0008334001009353588	depleted	0.20668322503196898	ns
Halobacteriota	Methanosarcinaceae	29	3.4	34.12322274881517	0.05583501006036217	7.56580921437458e-05	depleted	0.018763206851648957	depleted
Halobacteriota	Methanotrichaceae	15	0.0	34.12322274881517	0.0	0.0030132474930025886	depleted	0.7472853782646419	ns
Pseudomonadota	Acetobacteraceae	152	46.1	62.000596302921885	0.5150343873211293	6.274416349996202e-05	depleted	0.01556055254799058	depleted
Pseudomonadota	Azospirillaceae	25	100.0	62.000596302921885	inf	9.293478754635532e-06	enriched	0.002304782731149612	enriched
Pseudomonadota	Caulobacteraceae	83	100.0	62.000596302921885	inf	7.150113626792207e-18	enriched	1.7732281794444673e-15	enriched
Pseudomonadota	Hyphomonadaceae	25	100.0	62.000596302921885	inf	9.293478754635532e-06	enriched	0.002304782731149612	enriched
Pseudomonadota	Maricaulaceae	16	93.8	62.000596302921885	9.222972972972974	0.008045354431138744	enriched	1.0	ns
Pseudomonadota	TH1-2	11	100.0	62.000596302921885	inf	0.009096764307095568	enriched	1.0	ns
Pseudomonadota	GCA-002718135	25	4.0	62.000596302921885	0.025302629469296137	1.2237035449646186e-09	depleted	3.034784791512254e-07	depleted
Pseudomonadota	HIMB59	32	0.0	62.000596302921885	0.0	3.16345641162892e-14	depleted	7.84537190083972e-12	depleted
Pseudomonadota	Micavibrionaceae	32	93.8	62.000596302921885	9.25284572535723	6.785810645475361e-05	enriched	0.016828810400778896	enriched
Pseudomonadota	Micropepsaceae	14	100.0	62.000596302921885	inf	0.0015738270488812164	enriched	0.39030910812254166	ns
Pseudomonadota	RS24	10	0.0	62.000596302921885	0.0	6.208776785736931e-05	depleted	0.01539776642862759	depleted
Pseudomonadota	AG-422-B15	18	0.0	62.000596302921885	0.0	2.62886680993517e-08	depleted	6.519589688639221e-06	depleted
Pseudomonadota	Pelagibacteraceae	247	5.3	62.000596302921885	0.03102052848796698	2.2065710098585295e-83	depleted	5.472296104449153e-81	depleted
Pseudomonadota	Puniceispirillaceae	24	4.2	62.000596302921885	0.026413200326243804	3.11159887086255e-09	depleted	7.716765199739125e-07	depleted
Pseudomonadota	CAG-239	43	0.0	62.000596302921885	0.0	6.827697078685012e-19	depleted	1.693268875513883e-16	depleted
Pseudomonadota	CAG-977	13	0.0	62.000596302921885	0.0	3.3794026893820183e-06	depleted	0.0008380918669667406	depleted
Pseudomonadota	Reyranellaceae	11	100.0	62.000596302921885	inf	0.009096764307095568	enriched	1.0	ns
Pseudomonadota	Beijerinckiaceae	128	99.2	62.000596302921885	80.25694444444444	1.9504565656145058e-25	enriched	4.837132282723974e-23	enriched
Pseudomonadota	Devosiaceae	31	6.5	62.000596302921885	0.041807337851401456	1.1064112488175495e-10	depleted	2.7438998970675228e-08	depleted
Pseudomonadota	Hyphomicrobiaceae	24	100.0	62.000596302921885	inf	1.6878623405313177e-05	enriched	0.004185898604517668	enriched
Pseudomonadota	Rhizobiaceae	413	86.4	62.000596302921885	4.180135455023672	1.1881612278649069e-29	enriched	2.946639845104969e-27	enriched
Pseudomonadota	Stappiaceae	23	100.0	62.000596302921885	inf	3.131122484271487e-05	enriched	0.0077651837609932885	enriched
Pseudomonadota	Xanthobacteraceae	150	100.0	62.000596302921885	inf	3.773477162804392e-32	enriched	9.358223363754892e-30	enriched
Pseudomonadota	Rhodobacteraceae	415	94.5	62.000596302921885	11.428676954328783	1.3424380715171273e-56	enriched	3.329246417362476e-54	enriched
Pseudomonadota	Magnetospirillaceae	10	100.0	62.000596302921885	inf	0.016924096881849867	enriched	1.0	ns
Pseudomonadota	Casp-alpha2	13	76.9	62.000596302921885	2.0454728046918937	0.39310434756509405	ns	1.0	ns
Pseudomonadota	UBA2165	11	45.5	62.000596302921885	0.510150858610175	0.3516779815020409	ns	1.0	ns
Pseudomonadota	Anaplasmataceae	27	0.0	62.000596302921885	0.0	4.137296649600711e-12	depleted	1.0260495691009762e-09	depleted
Pseudomonadota	Rickettsiaceae	24	70.8	62.000596302921885	1.4904462992343244	0.4088000699419926	ns	1.0	ns
Pseudomonadota	UBA1997	11	0.0	62.000596302921885	0.0	2.3535509493857972e-05	depleted	0.005836806354476777	depleted
Pseudomonadota	Rs-D84	31	0.0	62.000596302921885	0.0	8.388561739653016e-14	depleted	2.080363311433948e-11	depleted
Pseudomonadota	Emcibacteraceae	10	50.0	62.000596302921885	0.6124217621569571	0.5190967805365908	ns	1.0	ns
Pseudomonadota	Sphingomonadaceae	274	98.2	62.000596302921885	35.18437017994859	9.757786285260231e-50	enriched	2.419930998744537e-47	enriched
Pseudomonadota	TMED127	10	10.0	62.000596302921885	0.06787451231895676	0.0010787138565140576	depleted	0.2675210364154863	ns
Pseudomonadota	Thalassobaculaceae	11	27.3	62.000596302921885	0.2292769489894129	0.026132460867970157	depleted	1.0	ns
Pseudomonadota	Acidithiobacillaceae	18	0.0	62.000596302921885	0.0	2.62886680993517e-08	depleted	6.519589688639221e-06	depleted
Pseudomonadota	UBA868	21	66.7	62.000596302921885	1.2265379975874549	0.8227505044151056	ns	1.0	ns
Pseudomonadota	Burkholderiaceae	333	95.5	62.000596302921885	13.986149440249935	4.267356870441011e-49	enriched	1.0583045038693707e-46	enriched
Pseudomonadota	Burkholderiaceae_A	79	31.6	62.000596302921885	0.2794128187209948	5.904649723634669e-08	depleted	1.4643531314613979e-05	depleted
Pseudomonadota	Burkholderiaceae_B	360	98.9	62.000596302921885	59.55955824349198	9.225161749005596e-70	enriched	2.287840113753388e-67	enriched
Pseudomonadota	Burkholderiaceae_C	93	93.5	62.000596302921885	9.05537819253438	2.7093091203942315e-12	enriched	6.719086618577694e-10	enriched
Pseudomonadota	Casimicrobiaceae	15	86.7	62.000596302921885	3.9931259044862517	0.06110436996215571	ns	1.0	ns
Pseudomonadota	Chromobacteriaceae	28	100.0	62.000596302921885	inf	1.746214647334808e-06	enriched	0.0004330612325390324	enriched
Pseudomonadota	Ferrovaceae	11	54.5	62.000596302921885	0.735083072477727	0.757485292558909	ns	1.0	ns
Pseudomonadota	Gallionellaceae	29	17.2	62.000596302921885	0.1266349703097416	9.635609854271805e-07	depleted	0.00023896312438594078	depleted
Pseudomonadota	Methylophilaceae	49	8.2	62.000596302921885	0.0535686589116192	3.270988864392646e-15	depleted	8.112052383693761e-13	depleted
Pseudomonadota	Neisseriaceae	79	8.9	62.000596302921885	0.05800082958681225	3.441035977113764e-23	depleted	8.533769223242134e-21	depleted
Pseudomonadota	Nitrosomonadaceae	49	2.0	62.000596302921885	0.012531064614397947	1.5852751827449132e-19	depleted	3.9314824532073847e-17	depleted
Pseudomonadota	Rhodocyclaceae	147	99.3	62.000596302921885	92.700722651383	2.1509228395311866e-29	enriched	5.3342886420373425e-27	enriched
Pseudomonadota	SG8-39	21	90.5	62.000596302921885	5.844565217391304	0.005937409851464057	enriched	1.0	ns
Pseudomonadota	Thiobacillaceae	32	12.5	62.000596302921885	0.0866769812618188	9.184551800082917e-09	depleted	2.277768846420563e-06	depleted
Pseudomonadota	Chromatiaceae	20	95.0	62.000596302921885	11.693719806763285	0.0017712221740004952	enriched	0.4392630991521228	ns
Pseudomonadota	Sedimenticolaceae	38	55.3	62.000596302921885	0.7558638728570211	0.4052999317345912	ns	1.0	ns
Pseudomonadota	Competibacteraceae	19	100.0	62.000596302921885	inf	0.00015946102028830815	enriched	0.03954633303150042	enriched
Pseudomonadota	Coxiellaceae	11	0.0	62.000596302921885	0.0	2.3535509493857972e-05	depleted	0.005836806354476777	depleted
Pseudomonadota	Thioalkalivibrionaceae	14	21.4	62.000596302921885	0.16655000437483594	0.0036251408056093286	depleted	0.8990349197911135	ns
Pseudomonadota	Enterobacteriaceae	472	2.3	62.000596302921885	0.012011120012885493	7.277888953866775e-187	depleted	1.8049164605589603e-184	depleted
Pseudomonadota	Aeromonadaceae	32	71.9	62.000596302921885	1.5694175800558778	0.27831443793941324	ns	1.0	ns
Pseudomonadota	Alteromonadaceae	152	27.0	62.000596302921885	0.2186795829340754	9.502769252410638e-19	depleted	2.3566867745978385e-16	depleted
Pseudomonadota	Pasteurellaceae	95	3.2	62.000596302921885	0.01927804745365527	2.7187906374890173e-35	depleted	6.742600780972763e-33	depleted
Pseudomonadota	Shewanellaceae	66	10.6	62.000596302921885	0.0711521504849613	3.3074874895074742e-18	depleted	8.202568973978536e-16	depleted
Pseudomonadota	Succinivibrionaceae	43	0.0	62.000596302921885	0.0	6.827697078685012e-19	depleted	1.693268875513883e-16	depleted
Pseudomonadota	Vibrionaceae	173	82.1	62.000596302921885	2.8713130485758107	1.0466264404615725e-08	enriched	2.5956335723446996e-06	enriched
Pseudomonadota	Francisellaceae	21	14.3	62.000596302921885	0.10149983958934873	9.256187433463313e-06	depleted	0.0022955344834989016	depleted
Pseudomonadota	GCA-002716945	10	0.0	62.000596302921885	0.0	6.208776785736931e-05	depleted	0.01539776642862759	depleted
Pseudomonadota	Legionellaceae	64	95.3	62.000596302921885	12.632666341304702	7.824282889734279e-10	enriched	1.9404221566541013e-07	enriched
Pseudomonadota	Methylococcaceae	13	38.5	62.000596302921885	0.38231222917669716	0.09144485206657728	ns	1.0	ns
Pseudomonadota	Methylomonadaceae	69	0.0	62.000596302921885	0.0	5.6710968633514134e-30	depleted	1.4064320221111506e-27	depleted
Pseudomonadota	Methylophagaceae	13	0.0	62.000596302921885	0.0	3.3794026893820183e-06	depleted	0.0008380918669667406	depleted
Pseudomonadota	Thioglobaceae	39	5.1	62.000596302921885	0.032663888329031464	7.146552562460383e-14	depleted	1.772345035490175e-11	depleted
Pseudomonadota	Alcanivoracaceae	17	100.0	62.000596302921885	inf	0.0005281297360864548	enriched	0.1309761745494408	ns
Pseudomonadota	Cellvibrionaceae	23	26.1	62.000596302921885	0.21518108808657102	0.0007497992209370987	depleted	0.18595020679240049	ns
Pseudomonadota	DSM-6294	19	78.9	62.000596302921885	2.303028474903475	0.15813581905855018	ns	1.0	ns
Pseudomonadota	HTCC2089	61	36.1	62.000596302921885	0.34225222042480924	4.900087368327786e-05	depleted	0.01215221667345291	depleted
Pseudomonadota	Halieaceae	42	19.0	62.000596302921885	0.14255955333229414	1.568311324043177e-08	depleted	3.889412083627079e-06	depleted
Pseudomonadota	Halomonadaceae	95	87.4	62.000596302921885	4.305098953222113	4.8423020946526406e-08	enriched	1.2008909194738549e-05	enriched
Pseudomonadota	Marinomonadaceae	15	6.7	62.000596302921885	0.04354772211915069	1.2414562417317747e-05	depleted	0.0030788114794948014	depleted
