orgId	locusId	min_rank	max_rank	mean_rank	rank_range	n_configs_top50	n_configs_top100	in_top50_all	in_top100_all	original	equal	neighbor_dominant	conservation_dominant	drop_tractability	drop_neighbor
pseudo1_N1B4	Pf1N1B4_523	148	346	205.0	198	0	0	False	False	148	176	242	161	346	157
psRCH2	GFF1231	133	346	201.33333333333334	213	0	0	False	False	149	196	133	180	204	346
acidovorax_3H11	Ac3H11_2422	47	220	121.66666666666667	173	1	2	False	False	150	106	220	95	47	112
BFirm	BPHYT_RS29390	47	220	121.66666666666667	173	1	2	False	False	150	106	220	95	47	112
Btheta	350155	47	220	121.66666666666667	173	1	2	False	False	150	106	220	95	47	112
Putida	PP_5172	141	467	268.1666666666667	326	0	0	False	False	153	193	141	340	467	315
psRCH2	GFF219	99	360	190.83333333333334	261	0	1	False	False	154	168	99	152	212	360
SyringaeB728a	Psyr_0381	51	386	176.83333333333334	335	0	2	False	False	155	149	71	249	51	386
SyringaeB728a_mexBdelta	Psyr_0381	51	386	176.83333333333334	335	0	2	False	False	155	149	71	249	51	386
BFirm	BPHYT_RS14870	51	383	157.0	332	0	2	False	False	155	149	71	133	51	383
MR1	203042	15	539	236.83333333333334	524	1	1	False	False	159	121	539	110	477	15
pseudo1_N1B4	Pf1N1B4_4639	79	362	213.66666666666666	283	0	1	False	False	158	174	351	158	362	79
RalstoniaGMI1000	RS_RS12690	54	388	184.5	334	0	1	False	False	159	208	110	188	54	388
pseudo1_N1B4	Pf1N1B4_570	128	366	226.66666666666666	238	0	0	False	False	159	131	253	323	366	128
RalstoniaUW163	UW163_RS09075	54	388	184.5	334	0	1	False	False	159	208	110	188	54	388
HerbieS	HSERO_RS05870	54	388	184.5	334	0	1	False	False	159	208	110	188	54	388
pseudo6_N2E2	Pf6N2E2_3771	54	388	184.5	334	0	1	False	False	159	208	110	188	54	388
pseudo3_N2E3	AO353_01445	54	388	184.5	334	0	1	False	False	159	208	110	188	54	388
Smeli	SMc00984	66	303	162.66666666666666	237	0	3	False	False	159	97	303	89	262	66
RalstoniaBSBF1503	RALBFv3_RS04595	54	388	184.5	334	0	1	False	False	159	208	110	188	54	388
SyringaeB728a	Psyr_1643	54	388	184.5	334	0	1	False	False	159	208	110	188	54	388
RalstoniaPSI07	RPSI07_RS12780	54	388	184.5	334	0	1	False	False	159	208	110	188	54	388
ANA3	7025408	54	388	184.5	334	0	1	False	False	159	208	110	188	54	388
Cup4G11	RR42_RS03455	54	388	184.5	334	0	1	False	False	159	208	110	188	54	388
RalstoniaGMI1000	RS_RS12165	54	388	184.5	334	0	1	False	False	159	208	110	188	54	388
PV4	5209445	54	274	165.33333333333334	220	0	1	False	False	159	181	158	166	54	274
pseudo5_N2C3_1	AO356_21800	110	718	333.0	608	0	0	False	False	159	205	110	718	418	388
PV4	5209120	54	388	184.5	334	0	1	False	False	159	208	110	188	54	388
RalstoniaPSI07	RPSI07_RS12215	54	388	184.5	334	0	1	False	False	159	208	110	188	54	388
Putida	PP_2578	72	488	241.33333333333334	416	0	1	False	False	177	171	385	155	488	72
Marino	GFF3126	156	235	183.66666666666666	79	0	0	False	False	177	171	235	156	185	178
Putida	PP_3629	101	486	215.16666666666666	385	0	0	False	False	177	130	281	116	486	101
MR1	200952	144	490	231.5	346	0	0	False	False	180	169	254	152	490	144
Putida	PP_2346	73	496	238.5	423	0	1	False	False	181	125	335	221	496	73
SyringaeB728a	Psyr_2120	75	338	176.83333333333334	263	0	1	False	False	182	175	132	159	75	338
pseudo1_N1B4	Pf1N1B4_1728	129	482	299.8333333333333	353	0	0	False	False	183	238	129	383	384	482
psRCH2	GFF3871	139	373	229.66666666666666	234	0	0	False	False	184	232	139	214	236	373
pseudo1_N1B4	Pf1N1B4_4498	181	393	255.33333333333334	212	0	0	False	False	184	185	181	333	393	256
HerbieS	HSERO_RS19375	76	215	161.83333333333334	139	0	1	False	False	186	162	215	145	76	187
Smeli	SMc01271	134	312	212.16666666666666	178	0	0	False	False	187	187	312	170	283	134
MR1	201521	88	511	219.0	423	0	1	False	False	188	119	300	108	511	88
Marino	GFF352	143	358	210.66666666666666	215	0	0	False	False	189	193	143	178	203	358
Keio	15775	33	653	250.83333333333334	620	1	1	False	False	190	110	418	101	653	33
Koxy	BWI76_RS13255	191	346	239.5	155	0	0	False	False	191	223	202	207	346	268
WCS417	GFF3189	78	388	213.66666666666666	310	0	1	False	False	192	254	145	225	78	388
RalstoniaUW163	UW163_RS12275	78	388	213.66666666666666	310	0	1	False	False	192	254	145	225	78	388
PV4	5210507	78	388	213.66666666666666	310	0	1	False	False	192	254	145	225	78	388
RalstoniaGMI1000	RS_RS00265	78	388	213.66666666666666	310	0	1	False	False	192	254	145	225	78	388
Cup4G11	RR42_RS01675	78	388	213.66666666666666	310	0	1	False	False	192	254	145	225	78	388
Dino	3607736	78	388	213.66666666666666	310	0	1	False	False	192	254	145	225	78	388
RalstoniaBSBF1503	RALBFv3_RS14805	78	388	213.66666666666666	310	0	1	False	False	192	254	145	225	78	388
ANA3	7023761	78	388	213.66666666666666	310	0	1	False	False	192	254	145	225	78	388
PS	Dsui_1985	78	388	213.66666666666666	310	0	1	False	False	192	254	145	225	78	388
psRCH2	GFF3705	166	298	214.66666666666666	132	0	0	False	False	201	196	298	179	248	166
pseudo5_N2C3_1	AO356_06945	166	455	249.33333333333334	289	0	0	False	False	201	196	298	180	455	166
pseudo1_N1B4	Pf1N1B4_3694	101	410	222.83333333333334	309	0	0	False	False	203	155	331	137	410	101
Putida	PP_0983	144	540	256.6666666666667	396	0	0	False	False	204	183	302	167	540	144
RalstoniaBSBF1503	RALBFv3_RS15800	95	472	210.16666666666666	377	0	1	False	False	204	189	128	173	95	472
Putida	PP_1359	206	543	288.8333333333333	337	0	0	False	False	206	240	213	222	543	309
Marino	GFF2267	201	279	220.5	78	0	0	False	False	207	208	279	201	217	211
pseudo1_N1B4	Pf1N1B4_4312	148	544	294.1666666666667	396	0	0	False	False	207	163	285	544	418	148
Smeli	SMc02818	10	611	220.66666666666666	601	1	3	False	False	207	97	611	89	310	10
pseudo1_N1B4	Pf1N1B4_4796	138	508	307.0	370	0	0	False	False	207	275	138	296	418	508
Koxy	BWI76_RS10240	47	438	247.16666666666666	391	1	1	False	False	207	113	438	312	366	47
pseudo1_N1B4	Pf1N1B4_1073	10	611	238.66666666666666	601	1	3	False	False	207	97	611	89	418	10
Phaeo	GFF3482	98	517	234.83333333333334	419	0	1	False	False	213	235	129	217	98	517
Dino	3610053	98	517	234.83333333333334	419	0	1	False	False	213	235	129	217	98	517
PV4	5209710	103	318	167.5	215	0	0	False	False	215	137	318	120	103	112
Korea	Ga0059261_2150	104	358	215.5	254	0	0	False	False	216	224	182	209	104	358
BFirm	BPHYT_RS31660	106	495	257.8333333333333	389	0	0	False	False	217	296	169	264	106	495
DdiaME23	DZA65_RS10190	107	388	239.5	281	0	0	False	False	218	286	184	254	107	388
Dda3937	DDA3937_RS09850	107	388	239.5	281	0	0	False	False	218	286	184	254	107	388
Ddia6719	HGI48_RS09860	107	388	239.5	281	0	0	False	False	218	286	184	254	107	388
PV4	5210036	107	388	239.5	281	0	0	False	False	218	286	184	254	107	388
PV4	5209162	107	388	239.5	281	0	0	False	False	218	286	184	254	107	388
SyringaeB728a	Psyr_4360	107	388	239.5	281	0	0	False	False	218	286	184	254	107	388
Korea	Ga0059261_1045	107	388	239.5	281	0	0	False	False	218	286	184	254	107	388
PV4	5208529	107	388	239.5	281	0	0	False	False	218	286	184	254	107	388
acidovorax_3H11	Ac3H11_4762	107	543	233.5	436	0	0	False	False	218	208	124	201	107	543
acidovorax_3H11	Ac3H11_1994	107	388	239.5	281	0	0	False	False	218	286	184	254	107	388
Cup4G11	RR42_RS15780	107	502	256.3333333333333	395	0	0	False	False	228	181	158	502	107	362
pseudo5_N2C3_1	AO356_17980	211	522	303.6666666666667	311	0	0	False	False	229	246	324	290	522	211
Marino	GFF277	211	324	247.16666666666666	113	0	0	False	False	229	246	324	225	248	211
Marino	GFF794	211	324	247.16666666666666	113	0	0	False	False	229	246	324	225	248	211
pseudo1_N1B4	Pf1N1B4_2118	211	455	281.6666666666667	244	0	0	False	False	229	246	324	225	455	211
ANA3	7023363	121	517	257.6666666666667	396	0	0	False	False	233	270	162	243	121	517
Smeli	SMc02768	183	360	265.6666666666667	177	0	0	False	False	233	241	354	223	360	183
HerbieS	HSERO_RS03710	121	517	257.6666666666667	396	0	0	False	False	233	270	162	243	121	517
Putida	PP_2374	183	599	342.5	416	0	0	False	False	233	241	354	445	599	183
PV4	5208050	121	517	257.6666666666667	396	0	0	False	False	233	270	162	243	121	517
WCS417	GFF4829	125	565	299.1666666666667	440	0	0	False	False	238	319	165	383	125	565
pseudo13_GW456_L13	PfGW456L13_5007	20	660	262.1666666666667	640	1	1	False	False	238	125	660	112	418	20
HerbieS	HSERO_RS03155	127	488	227.66666666666666	361	0	0	False	False	240	193	141	177	127	488
Putida	PP_2202	127	614	320.5	487	0	0	False	False	240	238	487	217	614	127
MR1	200375	51	614	281.8333333333333	563	0	1	False	False	240	139	524	123	614	51
pseudo1_N1B4	Pf1N1B4_3560	162	486	264.1666666666667	324	0	0	False	False	243	186	339	169	486	162
Putida	PP_1642	141	622	288.8333333333333	481	0	0	False	False	244	184	374	168	622	141
RalstoniaUW163	UW163_RS07790	129	581	265.1666666666667	452	0	0	False	False	245	263	135	238	129	581
RalstoniaBSBF1503	RALBFv3_RS05835	129	581	265.1666666666667	452	0	0	False	False	245	263	135	238	129	581
RalstoniaGMI1000	RS_RS13725	129	581	265.1666666666667	452	0	0	False	False	245	263	135	238	129	581
pseudo13_GW456_L13	PfGW456L13_1907	58	624	286.8333333333333	566	0	1	False	False	248	187	624	170	434	58
Putida	PP_1424	34	714	335.1666666666667	680	1	1	False	False	248	203	714	185	627	34
SyringaeB728a	Psyr_1906	133	324	213.66666666666666	191	0	0	False	False	250	190	211	174	133	324
SyringaeB728a_mexBdelta	Psyr_1906	133	324	213.66666666666666	191	0	0	False	False	250	190	211	174	133	324
pseudo1_N1B4	Pf1N1B4_4469	230	501	314.5	271	0	0	False	False	252	296	344	264	501	230
Btheta	353364	137	279	222.16666666666666	142	0	0	False	False	253	204	279	201	137	259
pseudo5_N2C3_1	AO356_12695	61	676	333.3333333333333	615	0	1	False	False	254	229	676	211	569	61
Smeli	SMc01118	150	404	252.66666666666666	254	0	0	False	False	255	178	366	163	404	150
PV4	5210622	138	557	298.1666666666667	419	0	0	False	False	256	270	161	407	138	557
WCS417	GFF1839	141	606	303.1666666666667	465	0	0	False	False	257	346	174	295	141	606
Putida	PP_4554	157	652	382.1666666666667	495	0	0	False	False	257	281	476	470	652	157
BFirm	BPHYT_RS03180	139	559	257.1666666666667	420	0	0	False	False	257	232	139	214	142	559
Koxy	BWI76_RS16155	260	452	316.0	192	0	0	False	False	260	310	329	277	452	268
Dino	3607606	143	528	294.1666666666667	385	0	0	False	False	261	227	168	438	143	528
SynE	Synpcc7942_0222	143	369	224.5	226	0	0	False	False	261	202	369	185	143	187
pseudo1_N1B4	Pf1N1B4_3933	79	646	330.1666666666667	567	0	1	False	False	263	246	646	225	522	79
pseudo13_GW456_L13	PfGW456L13_298	264	455	311.0	191	0	0	False	False	264	275	303	296	455	273
Cup4G11	RR42_RS14005	145	303	251.5	158	0	0	False	False	264	277	303	246	145	274
pseudo1_N1B4	Pf1N1B4_4383	264	532	331.5	268	0	0	False	False	264	277	303	339	532	274
PS	Dsui_2468	145	303	251.5	158	0	0	False	False	264	277	303	246	145	274
Cup4G11	RR42_RS04905	145	303	251.5	158	0	0	False	False	264	277	303	246	145	274
Smeli	SMc00688	162	410	271.6666666666667	248	0	0	False	False	269	199	407	183	410	162
Koxy	BWI76_RS24145	223	467	321.3333333333333	244	0	0	False	False	270	304	397	267	467	223
Btheta	352935	149	488	253.5	339	0	0	False	False	270	224	182	208	149	488
PV4	5210319	150	495	299.3333333333333	345	0	0	False	False	272	342	244	293	150	495
MR1	200047	198	668	342.8333333333333	470	0	0	False	False	273	268	409	241	668	198
Smeli	SMc03809	227	614	350.6666666666667	387	0	0	False	False	274	229	342	614	418	227
azobra	AZOBR_RS27035	145	739	356.5	594	0	0	False	False	274	244	145	739	151	586
SyringaeB728a	Psyr_1243	155	593	306.0	438	0	0	False	False	276	332	193	287	155	593
PV4	5209858	155	593	306.0	438	0	0	False	False	276	332	193	287	155	593
pseudo1_N1B4	Pf1N1B4_2876	211	554	348.6666666666667	343	0	0	False	False	278	312	459	278	554	211
PV4	5211250	157	368	263.5	211	0	0	False	False	278	274	255	249	157	368
pseudo5_N2C3_1	AO356_26865	181	695	394.1666666666667	514	0	0	False	False	278	192	392	695	627	181
ANA3	7023445	157	554	337.6666666666667	397	0	0	False	False	278	328	204	505	157	554
RalstoniaPSI07	RPSI07_RS17150	157	328	264.5	171	0	0	False	False	278	244	321	328	157	259
Koxy	BWI76_RS08935	246	496	332.5	250	0	0	False	False	283	246	321	391	496	258
psRCH2	GFF3505	246	632	354.0	386	0	0	False	False	283	246	324	632	380	259
BFirm	BPHYT_RS22705	163	666	333.1666666666667	503	0	0	False	False	285	375	195	315	163	666
Putida	PP_0097	186	710	391.8333333333333	524	0	0	False	False	286	281	477	411	710	186
pseudo13_GW456_L13	PfGW456L13_3548	268	501	342.1666666666667	233	0	0	False	False	286	332	379	287	501	268
Burk376	H281DRAFT_00833	166	359	277.5	193	0	0	False	False	288	306	359	272	166	274
ANA3	7024885	166	565	322.5	399	0	0	False	False	288	371	237	308	166	565
acidovorax_3H11	Ac3H11_472	166	359	277.5	193	0	0	False	False	288	306	359	272	166	274
RalstoniaUW163	UW163_RS11745	165	725	390.5	560	0	0	False	False	288	316	165	725	166	683
WCS417	GFF1665	166	359	277.5	193	0	0	False	False	288	306	359	272	166	274
RalstoniaBSBF1503	RALBFv3_RS14280	165	725	390.5	560	0	0	False	False	288	316	165	725	166	683
pseudo6_N2E2	Pf6N2E2_2462	166	359	277.5	193	0	0	False	False	288	306	359	272	166	274
