org	genus	phylum	tractability	is_fb	n_new	sum_importance	objective_value	cumulative_genes	cumulative_importance	pct_covered	n_kingdom	n_phylum_tier	n_knowledge_gap	n_weak_lead
pseudo5_N2C3_1	Pseudomonas	Pseudomonadota	0.75	True	84	815.5826171559432	38.23043517918484	11376	164869.3536059377	96.61967046033634	10	2	48	35
Chromobacterium violaceum ATCC 12472	Chromobacterium	Pseudomonadota	0.3	False	7	123.09829669713302	36.92948900913991	11383	164992.45190263484	96.67912349244098	2	2	6	1
RalstoniaUW163	Ralstonia	Pseudomonadota	0.3	True	19	216.97293795952342	32.545940693928515	11402	165209.42484059438	96.84049600815355	3	2	16	3
Yersinia pseudotuberculosis IP32953	Yersinia	Pseudomonadota	0.4	False	5	71.47394399389853	28.589577597559412	11407	165280.89878458827	96.88296245965688	1	0	4	1
Corynebacterium glutamicum ATCC 13032	Corynebacterium	Actinomycetota	0.6	False	2	44.429085086907605	26.657451052144562	11409	165325.32786967518	96.89994904025819	2	0	2	0
Keio	Escherichia	Pseudomonadota	0.9	True	2	26.004998090340134	23.40449828130612	11411	165351.3328677655	96.91693562085952	0	0	2	0
Neisseria meningitidis MC58	Neisseria	Pseudomonadota	0.5	False	2	35.160124636695336	17.580062318347668	11413	165386.4929924022	96.93392220146085	1	0	2	0
Serratia marcescens DB10	Serratia	Pseudomonadota	0.4	False	3	37.664430506465045	15.065772202586018	11416	165424.15742290867	96.95940207236283	1	0	2	1
SyringaeB728a	Pseudomonas	Pseudomonadota	0.3	True	186	1529.2795110619866	14.336995416206124	11602	166953.43693397066	98.53915406828605	9	1	131	52
Legionella pneumophila Philadelphia-1	Legionella	Pseudomonadota	0.4	False	2	35.1246505940833	14.04986023763332	11604	166988.56158456474	98.55614064888738	1	0	2	0
Ddia6719	Dickeya	Pseudomonadota	0.3	True	9	83.34141769264188	12.501212653896282	11613	167071.90300225737	98.63258026159333	0	1	6	2
Salmonella enterica Typhimurium 14028s	Salmonella	Pseudomonadota	0.7	False	1	10.911822884306645	7.638276019014651	11614	167082.8148251417	98.641073551894	0	0	0	1
Campylobacter jejuni NCTC 11168	Campylobacter	Campylobacterota	0.5	False	1	9.076434618068914	6.807325963551685	11615	167091.89125975975	98.64956684219467	0	0	0	1
Francisella tularensis Schu S4	Francisella	Pseudomonadota	0.4	False	1	14.776294693914885	5.910517877565955	11616	167106.66755445366	98.65806013249532	1	0	0	1
RalstoniaPSI07	Ralstonia	Pseudomonadota	0.3	True	7	73.31995569179293	5.498996676884469	11623	167179.98751014544	98.71751316459996	0	0	6	1
