gene_cluster_id	genome_id
JAIJSG010000220.1_3	RS_GCF_019733615.1
CAKWXL010000006.1_69	RS_GCF_015668615.1
CAKUTT010000023.1_28	RS_GCF_016103195.1
NZ_VEWO01000007.1_269	RS_GCF_021409505.1
NZ_KE159459.1_2489	RS_GCF_021409565.1
NZ_JADPBB010000046.1_14	RS_GCF_020313335.1
NC_004663.1_683	RS_GCF_020313375.1
NZ_JAGURG010000036.1_27	GB_GCA_019412665.1
JAIJSG010000385.1_6	GB_GCA_022719635.1
NZ_JAGURG010000036.1_27	GB_GCA_024791965.1
CAKUSZ010000036.1_24	GB_GCA_024794045.1
NZ_VEWO01000007.1_269	RS_GCF_018291825.1
JAIIKX010000064.1_8	RS_GCF_024758865.1
NZ_JADPFV010000010.1_28	RS_GCF_001049555.1
CAKUTT010000023.1_28	RS_GCF_015554035.1
JAIJSG010000220.1_3	RS_GCF_015555485.1
NZ_JAHOOK010000030.1_44	RS_GCF_015556665.1
NZ_JAHONN010000024.1_68	RS_GCF_021532175.1
NZ_KE159459.1_2489	RS_GCF_021409505.1
NZ_SATO01000007.1_48	GB_GCA_022797575.1
JAIJSG010000220.1_3	GB_GCA_022721855.1
JAEWFO010000024.1_130	GB_GCA_022726415.1
NZ_WQQQ01000001.1_13	GB_GCA_022734275.1
NZ_JADPBB010000439.1_5	RS_GCF_014131755.1
JAIJSG010000066.1_6	RS_GCF_024759205.1
NZ_SATO01000007.1_48	RS_GCF_900108155.1
NZ_KE159459.1_2489	RS_GCF_019733695.1
JAIJSG010000066.1_6	RS_GCF_015554205.1
NZ_JAHOOK010000030.1_44	RS_GCF_021532175.1
NZ_JAHONN010000024.1_68	RS_GCF_016103195.1
NZ_JAASIP010000008.1_151	GB_GCA_934691595.1
NZ_JAHOAQ010000019.1_20	GB_GCA_934718395.1
NZ_JADPBB010000046.1_14	GB_GCA_934882005.1
NZ_SATO01000007.1_48	GB_GCA_023406085.1
NZ_SATO01000007.1_48	GB_GCA_023402805.1
NZ_JANULM010000001.1_2445	RS_GCF_022453665.1
CAKUTT010000023.1_28	RS_GCF_024760065.1
JANUKQ010000001.1_1645	RS_GCF_019733615.1
CAKUSZ010000036.1_24	RS_GCF_019733625.1
JANUKQ010000001.1_1645	RS_GCF_015548485.1
NZ_JAHYRF010000038.1_68	RS_GCF_015670025.1
JALEJR010000043.1_38	RS_GCF_020313315.1
NZ_JADPFV010000010.1_28	GB_GCA_024799865.1
JAIIKX010000064.1_8	GB_GCA_023406085.1
JAIIKX010000064.1_8	GB_GCA_022719635.1
NZ_JAGURG010000036.1_27	GB_GCA_022734275.1
NZ_JAJCIB010000006.1_119	GB_GCA_024793145.1
NZ_WQQQ01000001.1_13	RS_GCF_022835255.1
NZ_VEWO01000007.1_269	RS_GCF_022835255.1
NZ_JANULP010000003.1_4178	RS_GCF_001314975.1
NZ_SATO01000007.1_48	RS_GCF_020313475.1
NZ_SATO01000007.1_48	RS_GCF_020313395.1
NZ_JAHYON010000020.1_43	GB_GCA_934842225.1
NZ_WQQQ01000001.1_13	GB_GCA_022742605.1
JAIIKX010000064.1_8	GB_GCA_022721855.1
NZ_JAHOOK010000030.1_44	RS_GCF_000011065.1
NZ_PUEO01000011.1_151	RS_GCF_000011065.1
JANUKQ010000001.1_1645	RS_GCF_000011065.1
NZ_JAIHBC010000003.1_184	RS_GCF_014131755.1
NZ_CP040530.1_2787	RS_GCF_024758405.1
NZ_JAHYQH010000001.1_570	RS_GCF_001405895.1
NZ_JADPFV010000010.1_28	RS_GCF_900108155.1
NZ_JAHOAQ010000019.1_20	RS_GCF_019733615.1
NZ_JADPBB010000046.1_14	RS_GCF_015553025.1
NZ_QRKS01000025.1_26	RS_GCF_015555485.1
NZ_JAHONN010000024.1_68	RS_GCF_016888545.1
CAKUSZ010000036.1_24	RS_GCF_019125275.1
JAIJSG010000066.1_6	GB_GCA_023406085.1
NZ_JAJCIB010000006.1_119	GB_GCA_018368095.1
NZ_JAASIP010000008.1_151	RS_GCF_024799845.1
NC_004663.1_683	RS_GCF_015547465.1
NZ_SATO01000007.1_48	RS_GCF_015548265.1
JAIIKX010000064.1_8	RS_GCF_015548485.1
JAEWFO010000024.1_130	RS_GCF_015670455.1
JAIJSG010000385.1_6	RS_GCF_021532175.1
NZ_CP040530.1_2787	RS_GCF_016103195.1
NZ_JAHYON010000020.1_43	RS_GCF_020313475.1
NZ_SATO01000007.1_48	GB_GCA_934882335.1
NZ_JAGYXC010000032.1_43	GB_GCA_934883065.1
NZ_JANULP010000003.1_4178	GB_GCA_023452355.1
NZ_PUEO01000014.1_1096	RS_GCF_022453665.1
CAKUTT010000023.1_28	RS_GCF_020313395.1
NZ_JAJCIB010000006.1_119	GB_GCA_934691595.1
NC_004663.1_2091	GB_GCA_934718395.1
NZ_JAHYNO010000009.1_9	GB_GCA_000162515.1
JANUKQ010000001.1_1645	GB_GCA_022733615.1
NZ_JADPBB010000439.1_5	RS_GCF_001314975.1
JAIIKX010000064.1_8	RS_GCF_014131755.1
NZ_JADPFV010000010.1_28	RS_GCF_014131755.1
NC_004663.1_2091	RS_GCF_022453665.1
JALEJR010000043.1_38	RS_GCF_015831785.1
NZ_JADPBB010000439.1_5	RS_GCF_015554035.1
NZ_JADPBB010000046.1_14	RS_GCF_015670015.1
JANUKQ010000001.1_1645	RS_GCF_016888545.1
NZ_SATO01000007.1_48	RS_GCF_021409595.1
CAKUTT010000023.1_28	GB_GCA_018368095.1
NZ_WQQQ01000001.1_13	GB_GCA_022726415.1
NC_004663.1_683	RS_GCF_022453665.1
NZ_JANULP010000003.1_4178	RS_GCF_015560505.1
NZ_JANULP010000003.1_4178	RS_GCF_015668615.1
JAIIKX010000064.1_8	RS_GCF_021532175.1
NZ_SATO01000007.1_48	RS_GCF_021409565.1
NZ_KE159459.1_2489	RS_GCF_020313315.1
NZ_JAHOAQ010000019.1_20	RS_GCF_020313475.1
NZ_JAJCIB010000006.1_119	RS_GCF_014131755.1
NZ_JANULP010000003.1_4178	RS_GCF_001049555.1
NZ_JAGURG010000036.1_27	RS_GCF_015554205.1
NZ_JANULP010000003.1_4178	RS_GCF_015555485.1
NZ_JANULP010000003.1_4178	RS_GCF_021531575.1
JANUKQ010000001.1_1645	RS_GCF_021532175.1
NZ_JAJCIB010000006.1_119	RS_GCF_020313375.1
JAIJSG010000220.1_3	RS_GCF_020313405.1
JAEWFO010000024.1_130	GB_GCA_934718395.1
NC_004663.1_683	GB_GCA_023452355.1
NZ_JAGURG010000036.1_27	RS_GCF_018289275.1
NZ_JAASIP010000008.1_151	RS_GCF_018289275.1
JAIJSG010000385.1_6	RS_GCF_001049555.1
NZ_KE159459.1_2489	RS_GCF_015551985.1
NZ_JAHYON010000020.1_43	RS_GCF_015553025.1
NZ_JAJCIB010000006.1_119	RS_GCF_015556535.1
CAKWXL010000006.1_69	RS_GCF_015670025.1
JAIJSG010000220.1_3	RS_GCF_015668615.1
NZ_JAIHBF010000016.1_67	RS_GCF_016888545.1
NZ_JAJCIB010000006.1_119	GB_GCA_934692335.1
NZ_JAASIP010000008.1_151	GB_GCA_934842225.1
NZ_KE159459.1_2489	GB_GCA_024792065.1
NZ_SATO01000007.1_48	RS_GCF_024758405.1
NZ_JAHYNO010000009.1_9	RS_GCF_900109385.1
NZ_JAJCIB010000006.1_119	RS_GCF_015831845.1
JANUNA010000006.1_1921	RS_GCF_015547465.1
NZ_VEWO01000007.1_269	RS_GCF_021531575.1
JAIJSG010000385.1_6	RS_GCF_016103195.1
JALEJR010000043.1_38	RS_GCF_021409505.1
NZ_JAGYXC010000032.1_43	RS_GCF_021409565.1
CAKWXL010000006.1_69	RS_GCF_020313145.1
NZ_JAHOOK010000030.1_44	RS_GCF_020313475.1
JAIJSG010000220.1_3	GB_GCA_934882005.1
NZ_JAGURG010000036.1_27	GB_GCA_022726415.1
JALEJR010000043.1_38	GB_GCA_022769515.1
NZ_JAHYNO010000009.1_9	GB_GCA_024794045.1
NZ_JAKNEU010000042.1_4	RS_GCF_016103195.1
NZ_JAJCIB010000006.1_119	RS_GCF_020313275.1
NC_004663.1_2091	GB_GCA_934691595.1
JALEJR010000043.1_38	GB_GCA_934842225.1
NZ_VEWO01000007.1_269	GB_GCA_022733615.1
JAEWFO010000024.1_130	RS_GCF_000011065.1
NC_004663.1_2091	RS_GCF_020091305.1
NZ_JAHYON010000020.1_43	RS_GCF_024759205.1
NC_004663.1_683	RS_GCF_001406075.1
NZ_JADPBB010000439.1_5	RS_GCF_019733695.1
NZ_JAGYXC010000032.1_43	RS_GCF_021409505.1
NZ_VEWO01000007.1_269	RS_GCF_020313275.1
NZ_JAGYXC010000032.1_43	GB_GCA_934860445.1
NZ_WQQQ01000001.1_13	GB_GCA_945867675.1
NZ_VEWO01000007.1_269	GB_GCA_019412825.1
NZ_WQQQ01000001.1_13	GB_GCA_000437995.1
NZ_JAHOAQ010000019.1_20	GB_GCA_022716695.1
CAKUSZ010000036.1_24	RS_GCF_024759965.1
NZ_JAHYNO010000009.1_9	RS_GCF_024759965.1
NZ_SATO01000007.1_48	RS_GCF_024760065.1
NZ_JAHYON010000020.1_43	RS_GCF_019733695.1
NZ_JAHOAQ010000019.1_20	RS_GCF_015831785.1
NZ_SATO01000007.1_48	RS_GCF_015555485.1
NZ_JAASIP010000008.1_151	RS_GCF_020313295.1
NZ_WQQQ01000001.1_13	RS_GCF_020313475.1
NC_004663.1_683	GB_GCA_022726415.1
NZ_JAHYNO010000009.1_9	GB_GCA_024792065.1
NZ_JAJCIB010000006.1_119	RS_GCF_024758405.1
JAIICI010000041.1_17	RS_GCF_001405895.1
NZ_JAHYON010000020.1_43	RS_GCF_015546775.1
NZ_JADPBB010000046.1_14	RS_GCF_015554035.1
NZ_JADPBB010000439.1_5	RS_GCF_015668615.1
JAIJSG010000066.1_6	RS_GCF_021532175.1
NZ_JADPBB010000046.1_14	RS_GCF_019125275.1
NZ_WQQQ01000001.1_13	GB_GCA_934718395.1
NZ_JADPBB010000439.1_5	GB_GCA_934882005.1
NZ_JADPFV010000010.1_28	GB_GCA_024787385.1
JAIJSG010000220.1_3	GB_GCA_024794045.1
NC_004663.1_2091	RS_GCF_015670025.1
NZ_JADPBB010000046.1_14	RS_GCF_016103195.1
NZ_JANULM010000001.1_2445	RS_GCF_020313295.1
NZ_JAHOAQ010000019.1_20	RS_GCF_020313325.1
JAEWFO010000024.1_130	RS_GCF_019125395.1
NZ_JAHONP010000083.1_7	GB_GCA_000437995.1
NZ_JAHYON010000020.1_43	GB_GCA_022726415.1
NZ_JAHOOK010000030.1_44	RS_GCF_019896115.1
NZ_JAJCIB010000006.1_119	RS_GCF_019733615.1
CAKUTT010000023.1_28	RS_GCF_015551275.1
JAIJSG010000066.1_6	RS_GCF_016888545.1
NZ_JANULP010000003.1_4178	RS_GCF_020313275.1
CAKUTT010000023.1_28	RS_GCF_020313315.1
NZ_SATO01000007.1_48	RS_GCF_020313375.1
NZ_JAHOAQ010000019.1_20	RS_GCF_020313175.1
NZ_JAHOOK010000030.1_44	GB_GCA_024758825.1
NZ_QRKS01000025.1_26	GB_GCA_018368465.1
NZ_JAGYXC010000032.1_43	RS_GCF_902364285.1
JAIJSG010000066.1_6	RS_GCF_014131755.1
JANUKQ010000001.1_1645	RS_GCF_022453665.1
NZ_JAHYNO010000009.1_9	RS_GCF_001405255.1
NZ_JAHOAQ010000019.1_20	RS_GCF_015547465.1
NZ_WQQQ01000001.1_13	RS_GCF_015670025.1
NZ_JAHOAQ010000019.1_20	RS_GCF_016103195.1
NZ_VEWO01000007.1_269	RS_GCF_020313435.1
NZ_JAASIP010000008.1_151	GB_GCA_024799865.1
JAIJSG010000066.1_6	GB_GCA_023388795.1
JANUKQ010000001.1_1645	GB_GCA_023452355.1
CAKUSZ010000036.1_24	GB_GCA_022734275.1
NZ_WQQQ01000001.1_13	GB_GCA_022733615.1
NZ_QRKS01000025.1_26	GB_GCA_024794045.1
NZ_JAHONP010000083.1_7	RS_GCF_000011065.1
NZ_JAHOAQ010000019.1_20	RS_GCF_024760245.1
NZ_JAJCIB010000006.1_119	RS_GCF_015831785.1
NZ_JAHYON010000020.1_43	RS_GCF_015551275.1
NZ_JAEDZY010000010.1_1294	RS_GCF_016103195.1
NZ_SATO01000007.1_48	RS_GCF_021409585.1
NZ_JANULP010000003.1_4178	RS_GCF_020313395.1
NZ_WQQQ01000001.1_13	GB_GCA_022719635.1
NZ_JAJCIB010000006.1_119	RS_GCF_022835035.1
JALEJR010000043.1_38	RS_GCF_024758405.1
NZ_VEWO01000007.1_269	RS_GCF_024759205.1
NC_004663.1_2091	RS_GCF_001049555.1
NC_004663.1_2091	RS_GCF_015553025.1
NC_004663.1_683	RS_GCF_021409505.1
NZ_JAHYON010000020.1_43	RS_GCF_021409585.1
NZ_JAHOAQ010000019.1_20	RS_GCF_020313225.1
JAIIKX010000064.1_8	RS_GCF_020313255.1
NZ_VEWO01000007.1_269	GB_GCA_934882335.1
NZ_JAJCIB010000006.1_119	GB_GCA_019412735.1
NZ_JAASIP010000008.1_151	GB_GCA_019412665.1
CAKWXL010000006.1_69	RS_GCF_000011065.1
NZ_QRKS01000025.1_26	RS_GCF_019857385.1
NZ_JAHONN010000024.1_68	RS_GCF_015553025.1
NZ_VEWO01000007.1_269	RS_GCF_020313225.1
NZ_JAEDZY010000010.1_1294	RS_GCF_020313475.1
NZ_JAGURG010000036.1_27	RS_GCF_020313195.1
NZ_JADPBB010000046.1_14	GB_GCA_934860445.1
NZ_JANULP010000003.1_4178	GB_GCA_000162515.1
NZ_JAHONP010000083.1_7	RS_GCF_902364285.1
NZ_JADMVD010000040.1_45	RS_GCF_024758405.1
NZ_JADPBB010000046.1_14	RS_GCF_024760065.1
NZ_VEWO01000005.1_46	RS_GCF_900108155.1
CAKWXL010000006.1_69	RS_GCF_019733695.1
JALEJR010000043.1_38	RS_GCF_015547465.1
NZ_WQQQ01000001.1_13	RS_GCF_015548485.1
JAIIKX010000064.1_8	RS_GCF_021531575.1
CAKWXL010000006.1_69	GB_GCA_024793145.1
JANUNA010000006.1_1921	GB_GCA_024793145.1
NZ_JANULM010000001.1_2445	RS_GCF_902364285.1
NZ_KE159459.1_2489	RS_GCF_019896115.1
JAIJSG010000385.1_6	RS_GCF_015548485.1
JAIIKX010000064.1_8	RS_GCF_015670025.1
JAIICI010000041.1_17	RS_GCF_016888545.1
JAIJSG010000385.1_6	RS_GCF_021409505.1
JAEWFO010000024.1_130	RS_GCF_020313145.1
NZ_JANULP010000003.1_4178	RS_GCF_020313225.1
CAKUTT010000023.1_28	GB_GCA_934691595.1
NZ_JAGURG010000036.1_27	GB_GCA_024787385.1
JAIJSG010000385.1_6	RS_GCF_018291825.1
NZ_JAIHBF010000016.1_67	RS_GCF_022453665.1
NZ_PUEO01000014.1_1095	RS_GCF_022453665.1
NZ_JAHOAQ010000019.1_20	RS_GCF_001405895.1
NZ_VEWO01000007.1_269	RS_GCF_015551275.1
NZ_JAJCIB010000006.1_119	GB_GCA_019412665.1
JALEJR010000043.1_38	GB_GCA_000162515.1
NZ_JADPFV010000010.1_28	GB_GCA_022733615.1
NZ_JAHOAQ010000019.1_20	RS_GCF_000011065.1
NZ_SATO01000007.1_48	RS_GCF_014131755.1
CAKWXL010000006.1_69	RS_GCF_022453665.1
JAIJSG010000385.1_6	RS_GCF_024758905.1
JAIJSG010000385.1_6	RS_GCF_900109965.1
NZ_WQQQ01000001.1_13	RS_GCF_019733625.1
NZ_SATO01000007.1_48	RS_GCF_015831785.1
NZ_JAGURG010000036.1_27	RS_GCF_015547765.1
JAIJSG010000385.1_6	RS_GCF_015556465.1
NZ_JAJCIB010000006.1_119	RS_GCF_015670025.1
NZ_JAHYRF010000038.1_68	RS_GCF_016888545.1
NZ_VEWO01000007.1_269	RS_GCF_021409585.1
NZ_WQQQ01000001.1_13	RS_GCF_020313445.1
JALEJR010000043.1_38	RS_GCF_020313475.1
NZ_JAHYNO010000009.1_9	GB_GCA_019412735.1
JAIJSG010000066.1_6	GB_GCA_023452355.1
JAIIKX010000064.1_8	GB_GCA_023452355.1
NZ_WQQQ01000001.1_13	GB_GCA_022714445.1
NZ_JANULP010000003.1_4178	GB_GCA_022721855.1
NZ_KE159459.1_2489	GB_GCA_024787385.1
NZ_JAIHBE010000002.1_241	RS_GCF_014131755.1
JAIJSG010000220.1_3	RS_GCF_001406075.1
JALEJR010000043.1_38	RS_GCF_015553025.1
CAKWXL010000006.1_69	RS_GCF_015554035.1
JALEJR010000043.1_38	RS_GCF_016888545.1
CAKWXL010000006.1_69	RS_GCF_019125275.1
NZ_JAIHBE010000002.1_241	GB_GCA_024758825.1
NZ_JANUNN010000004.1_8	GB_GCA_024799865.1
NZ_JAHOOK010000030.1_44	GB_GCA_022719635.1
NZ_JAHONP010000083.1_7	GB_GCA_022719635.1
JALEJR010000043.1_38	GB_GCA_022716695.1
JAIJSG010000385.1_6	GB_GCA_022734275.1
CAKWXL010000006.1_69	GB_GCA_022733615.1
NZ_KE159459.1_2489	RS_GCF_016117715.1
JAIICI010000041.1_17	RS_GCF_900108155.1
NZ_JAIHBE010000002.1_241	RS_GCF_015554035.1
NZ_JADPBB010000439.1_5	RS_GCF_015670015.1
NZ_JAHOOK010000030.1_44	RS_GCF_020313145.1
CAKWXL010000006.1_69	RS_GCF_020313475.1
NC_004663.1_2091	RS_GCF_020313475.1
NZ_JAHYON010000020.1_43	RS_GCF_019125335.1
NZ_VEWO01000007.1_269	GB_GCA_934883065.1
NZ_CP040530.1_2787	GB_GCA_024758825.1
NZ_SATO01000007.1_48	GB_GCA_000162515.1
NZ_JAGURG010000036.1_27	GB_GCA_023452355.1
CAKWXL010000006.1_69	GB_GCA_024794045.1
NZ_CP040530.1_2787	RS_GCF_012151035.1
NZ_VEWO01000005.1_46	RS_GCF_022453665.1
JAIJSG010000385.1_6	RS_GCF_020313315.1
NZ_KE159459.1_2489	RS_GCF_020313475.1
NZ_JAHYNO010000009.1_9	RS_GCF_020313195.1
JAIJSG010000220.1_3	GB_GCA_023388795.1
NZ_JADPFV010000010.1_28	RS_GCF_902364285.1
NZ_JAGURG010000036.1_27	RS_GCF_024799845.1
JAEWFO010000024.1_130	RS_GCF_900109385.1
NZ_JAHYNO010000009.1_9	RS_GCF_020313295.1
NZ_KE159459.1_2489	RS_GCF_020313405.1
CAKWXL010000006.1_69	GB_GCA_934883065.1
NZ_JAGURG010000036.1_27	GB_GCA_022742605.1
JAIJSG010000385.1_6	GB_GCA_022726415.1
NZ_JADPBB010000439.1_5	GB_GCA_022734275.1
NZ_JAHOAQ010000019.1_20	GB_GCA_024793145.1
NZ_JAFEKI010000006.1_2756	RS_GCF_000011065.1
NZ_JAEDZY010000010.1_1294	RS_GCF_014131755.1
CAKUTT010000023.1_28	RS_GCF_024759965.1
NC_004663.1_2091	RS_GCF_024799845.1
NZ_JAJCIB010000006.1_119	RS_GCF_019733695.1
NZ_VEWO01000007.1_269	RS_GCF_015548265.1
NC_004663.1_2091	RS_GCF_015556665.1
JAIJSG010000385.1_6	RS_GCF_015668615.1
NZ_CP040530.1_2787	RS_GCF_016888545.1
NZ_KE159459.1_2489	RS_GCF_020313335.1
NZ_WQQQ01000001.1_13	RS_GCF_020313375.1
NZ_JAHYON010000020.1_43	GB_GCA_934882335.1
NZ_WQQQ01000001.1_13	GB_GCA_019412665.1
NZ_JAGURG010000036.1_27	GB_GCA_023446115.1
JAIJSG010000066.1_6	GB_GCA_022769515.1
NZ_JAHYNO010000009.1_9	RS_GCF_018291825.1
NZ_JANULP010000003.1_4178	RS_GCF_020091305.1
NZ_JAHYON010000020.1_43	RS_GCF_022453665.1
NZ_JAIHBE010000002.1_241	RS_GCF_022453665.1
NZ_JADPBB010000046.1_14	RS_GCF_024758865.1
NZ_JAHOAQ010000019.1_20	RS_GCF_024758405.1
JAIJSG010000385.1_6	RS_GCF_015547765.1
NZ_JAHOAQ010000019.1_20	RS_GCF_015551985.1
NZ_WQQQ01000001.1_13	RS_GCF_015553025.1
NZ_JAHYQH010000001.1_570	RS_GCF_021532175.1
CAKUSZ010000036.1_24	RS_GCF_016888545.1
JAEWFO010000024.1_130	GB_GCA_934692335.1
JAIJSG010000220.1_3	GB_GCA_024787385.1
NZ_JAHOAQ010000019.1_20	RS_GCF_012151035.1
NZ_CP040530.1_2787	RS_GCF_014131755.1
NZ_JAHYON010000020.1_43	RS_GCF_018289275.1
NZ_JAASIP010000008.1_151	RS_GCF_001049555.1
NZ_JADPBB010000046.1_14	RS_GCF_015546775.1
NZ_JAHYNO010000009.1_9	RS_GCF_015548265.1
NZ_JADPBB010000046.1_14	RS_GCF_015670025.1
NZ_JAHYON010000020.1_43	RS_GCF_016103195.1
JAIJSG010000385.1_6	RS_GCF_021409595.1
NZ_JANULP010000003.1_4178	RS_GCF_020313295.1
JAEWFO010000024.1_130	GB_GCA_018368465.1
JAIJSG010000220.1_3	GB_GCA_018368095.1
JANUKQ010000001.1_1645	GB_GCA_022719635.1
NZ_JADPBB010000046.1_14	GB_GCA_022734275.1
JANUKQ010000001.1_1645	RS_GCF_018289275.1
NZ_CP040530.1_2787	RS_GCF_022453665.1
NZ_JAJCIB010000006.1_119	RS_GCF_024758905.1
NZ_JAHOAQ010000019.1_20	RS_GCF_001049535.1
NZ_JAHYON010000020.1_43	RS_GCF_015670015.1
JAIIKX010000064.1_8	RS_GCF_016103195.1
JAIJSG010000220.1_3	RS_GCF_016888545.1
JANUKQ010000001.1_1645	RS_GCF_021409595.1
NZ_WQQQ01000001.1_13	GB_GCA_934882005.1
JAIJSG010000385.1_6	GB_GCA_019412825.1
NC_004663.1_2091	GB_GCA_018368465.1
NZ_SATO01000007.1_48	GB_GCA_024787385.1
NZ_JANULP010000003.1_4178	GB_GCA_024787385.1
NZ_JAGYXC010000032.1_43	GB_GCA_024787025.1
NZ_JAHYON010000020.1_43	RS_GCF_000011065.1
JAIJSG010000385.1_6	RS_GCF_902364285.1
NZ_JADPBB010000439.1_5	RS_GCF_015551275.1
NZ_JAHOOK010000030.1_44	RS_GCF_020313255.1
NZ_SATO01000007.1_48	RS_GCF_020313335.1
NZ_SATO01000007.1_48	RS_GCF_019125275.1
JAIJSG010000066.1_6	GB_GCA_024758825.1
NZ_JAGURG010000036.1_27	GB_GCA_022797575.1
NZ_VEWO01000007.1_269	GB_GCA_022797575.1
NZ_JAHOAQ010000019.1_20	GB_GCA_023426605.1
NZ_JAGURG010000036.1_27	GB_GCA_024789945.1
NZ_WQQQ01000001.1_13	GB_GCA_024789945.1
JAEWFO010000024.1_130	GB_GCA_024794045.1
NZ_JAHOAQ010000019.1_20	RS_GCF_022835255.1
NZ_JADPBB010000046.1_14	RS_GCF_016117715.1
NZ_JAJCIB010000006.1_119	RS_GCF_022453665.1
NZ_WQQQ01000001.1_13	RS_GCF_024758865.1
JAIIKX010000064.1_8	RS_GCF_015551985.1
NZ_JADPBB010000439.1_5	RS_GCF_015553025.1
NZ_JADPBB010000046.1_14	RS_GCF_015555485.1
JANUNA010000006.1_1921	RS_GCF_015670455.1
JALEJR010000043.1_38	RS_GCF_020313145.1
NZ_JAGURG010000036.1_27	RS_GCF_020313375.1
JAEWFO010000024.1_130	GB_GCA_934882335.1
NZ_JAHONP010000048.1_10	GB_GCA_023388795.1
NZ_JAHYON010000020.1_43	GB_GCA_023388795.1
JAIJSG010000066.1_6	GB_GCA_024789945.1
NZ_JAHONP010000083.1_7	GB_GCA_024787025.1
NZ_JAHYNO010000009.1_9	RS_GCF_015831785.1
NZ_JADPFV010000010.1_28	RS_GCF_015548485.1
JAIIKX010000064.1_8	RS_GCF_015556535.1
NZ_KE159459.1_2489	RS_GCF_021409595.1
NZ_JAJCIB010000006.1_119	RS_GCF_020313225.1
NZ_SATO01000007.1_48	RS_GCF_020313255.1
NZ_JAHOOK010000030.1_44	RS_GCF_020313435.1
NZ_PUEO01000011.1_151	RS_GCF_020313395.1
NZ_JAJCIB010000006.1_119	RS_GCF_019125395.1
NC_004663.1_683	GB_GCA_934718395.1
CAKUTT010000023.1_28	GB_GCA_022734275.1
NZ_QRKS01000025.1_26	GB_GCA_024791965.1
CAKWXL010000006.1_69	RS_GCF_014131755.1
NZ_JANULP010000003.1_4178	RS_GCF_015548485.1
JALEJR010000043.1_38	RS_GCF_015556535.1
NZ_JADPFV010000010.1_28	GB_GCA_023388795.1
CAKUTT010000023.1_28	RS_GCF_020091305.1
JAIJSG010000385.1_6	RS_GCF_024758865.1
NZ_KE159459.1_2489	RS_GCF_024760245.1
NZ_JAHOAQ010000019.1_20	RS_GCF_001405255.1
NZ_SATO01000007.1_48	RS_GCF_001406075.1
NZ_VEWO01000005.1_46	RS_GCF_016103195.1
NZ_PUEO01000014.1_1096	RS_GCF_016888545.1
JAIJSG010000385.1_6	RS_GCF_020313405.1
CAKUSZ010000036.1_24	RS_GCF_020313395.1
NZ_WQQQ01000001.1_13	GB_GCA_023426605.1
NZ_VEWO01000007.1_269	GB_GCA_018368095.1
NZ_JADPBB010000439.1_5	GB_GCA_024794045.1
JALEJR010000043.1_38	GB_GCA_024787025.1
NZ_JAHYNO010000009.1_9	RS_GCF_001314975.1
NZ_JAHYNO010000009.1_9	RS_GCF_022453665.1
NZ_JAHONN010000024.1_68	RS_GCF_015547465.1
