OG_id	propagated_root_og
OG00213	COG3206
OG00216	COG0676
OG00217	2Z7PK
OG00218	COG1132
OG00219	COG2391
OG00220	COG0428
OG00222	COG1984
OG00224	COG1167
OG00225	COG2206
OG00226	2ZWZJ
OG00227	COG2518
OG00228	COG4679
OG00229	32R9I
OG00230	COG0456
OG00231	COG4771
OG00236	COG0654
OG00239	COG0421
OG00242	COG3344
OG00244	COG0617
OG00247	COG0312
OG00249	COG2303
OG00250	COG1018
OG00252	COG1806
OG00255	COG0477
OG00256	COG3027
OG00257	COG0501
OG00258	COG2070
OG00265	COG1846
OG00267	COG0670
OG00273	COG1569
OG00275	COG1451
OG00276	COG0792
OG00285	COG3336
OG00286	COG4253
OG00287	COG2885
OG00288	COG2962
OG00291	COG3497
OG00293	COG4786
OG00294	COG0684
OG00299	COG1960
OG00304	COG2938
OG00310	COG1942
OG00311	32RG4
OG00315	COG3040
OG00316	COG0790
OG00318	COG0657
OG00321	COG3237
OG00322	COG2128
OG00323	34BWZ
OG00325	COG5474
OG00328	COG2607
OG00331	COG2824
OG00333	COG4544
OG00335	32YI0
OG00336	COG1346
OG00337	COG0685
OG00339	COG1733
OG00343	COG2049
OG00347	COG0845
OG00350	COG1835
OG00351	3331B
OG00353	COG0657
OG00355	COG2271
OG00357	33A7D
OG00361	COG3845
OG00363	COG0451
OG00364	COG3748
OG00366	COG0183
OG00368	COG0745
OG00370	COG4675
OG00371	COG0697
OG00373	COG1764
OG00374	COG0816
OG00375	COG1974
OG00376	COG1273
OG00378	COG2608
OG00380	COG2259
OG00381	COG0526
OG00384	COG4726
OG00388	COG0577
OG00390	COG4313
OG00391	COG0436
OG00397	COG0517
OG00398	COG0154
OG00401	COG0697
OG00402	COG0451
OG00406	COG2872
OG00408	COG3807
OG00410	COG3653
OG00411	COG2423
OG00417	COG4174
OG00422	COG0589
OG00426	COG4948
OG00427	COG2081
OG00428	COG0640
OG00429	COG5616
OG00431	COG0835
OG00433	315C6
OG00435	COG0614
OG00439	32RUG
OG00443	COG4771
OG00445	COG1600
OG00449	COG5615
OG00450	2Z897
OG00453	COG1490
OG00457	COG0702
OG00459	2Z7HQ
OG00461	COG2030
OG00463	COG2912
OG00464	31WRS
OG00466	32S46
OG00469	COG3455
OG00470	333YR
OG00472	COG2334
OG00473	COG0665
OG00474	COG1024
OG00476	COG1611
OG00479	COG0500
OG00482	COG2084
OG00483	COG4942
OG00488	COG0586
OG00493	COG4553
OG00494	324B7
OG00497	COG2963
OG00498	COG2831
OG00501	COG0399
OG00502	COG1335
OG00504	COG1502
OG00505	COG3360
OG00507	COG1380
OG00508	32Z6F
OG00509	COG1418
OG00513	COG1858
OG00514	COG4104
OG00516	COG0456
OG00518	3360X
OG00519	COG0842
OG00520	COG0654
OG00521	COG4392
OG00524	COG2873
OG00527	COG3346
OG00528	COG3735
OG00529	COG2928
OG00531	COG1502
OG00533	COG3395
OG00534	COG3203
OG00535	COG2199
OG00539	COG2846
OG00540	COG0491
OG00543	COG1452
OG00544	COG3520
OG00547	COG0457
OG00549	COG3450
OG00550	COG2834
OG00555	COG1879
OG00556	COG0715
OG00559	COG0735
OG00560	COG1376
OG00562	COG2257
OG00565	COG0179
OG00568	COG0602
OG00569	COG3246
OG00572	COG2860
OG00573	COG2021
OG00575	COG0346
OG00577	COG2732
OG00580	COG3568
OG00581	COG0406
OG00582	COG1280
OG00584	COG3181
OG00585	COG0693
OG00586	COG5570
OG00589	COG1610
OG00591	COG1289
OG00593	COG0451
OG00596	COG2913
OG00597	COG0474
OG00598	COG4447
OG00604	312WH
OG00605	COG0845
OG00607	COG0136
OG00612	COG2091
OG00621	32YDA
OG00623	COG3090
OG00626	COG4177
OG00627	COG1694
OG00628	33MYU
OG00630	2ZV1D
OG00633	COG1619
OG00634	COG1666
OG00635	COG3523
OG00637	COG0537
OG00641	COG2907
OG00642	COG3516
OG00645	COG3777
OG00647	32TA0
OG00649	COG2976
OG00650	COG0664
OG00655	COG2049
OG00656	COG2827
OG00658	2ZBN7
OG00659	COG1073
OG00660	COG2194
OG00662	COG3193
OG00663	COG4575
OG00665	COG2207
OG00667	COG1893
OG00672	COG2350
OG00676	COG0706
OG00677	COG5490
OG00678	2ZZV8
OG00679	COG2141
OG00682	COG2222
OG00685	COG0684
OG00687	COG2863
OG00691	COG0243
OG00694	COG0613
OG00697	COG2919
OG00700	COG3868
OG00702	COG3182
OG00703	COG0520
OG00704	COG1562
OG00706	COG3631
OG00711	COG0697
OG00713	COG3133
OG00714	COG3858
OG00716	COG2128
OG00720	COG0204
OG00725	COG0524
OG00726	COG3685
OG00727	COG0235
OG00732	COG0304
OG00739	2Z8KI
OG00740	COG5635
OG00741	COG0009
OG00743	COG0316
OG00750	COG2138
OG00751	30T19
OG00752	COG2223
OG00753	COG0806
OG00754	COG4188
OG00755	COG1413
OG00756	COG4395
OG00759	COG3616
OG00762	COG1609
OG00764	COG1741
OG00766	COG2867
OG00767	COG3819
OG00768	COG4783
OG00770	COG1335
OG00773	COG0671
OG00774	COG1040
OG00779	COG4166
OG00784	COG1950
OG00788	COG0457
OG00795	COG4323
OG00799	COG1284
OG00801	COG0738
OG00812	COG3576
OG00814	2Z9JN
OG00817	COG0037
OG00818	COG3308
OG00823	COG2823
OG00824	COG1296
OG00825	COG1739
OG00826	COG2200
OG00828	COG0061
OG00829	COG2128
OG00831	COG0313
OG00836	32YG3
OG00838	COG3182
OG00839	COG4728
OG00842	COG3892
OG00843	COG1253
OG00844	COG2406
OG00845	COG1734
OG00847	COG1835
OG00848	COG2148
OG00850	COG1738
OG00851	30S9A
OG00854	3300Q
OG00856	COG3536
OG00860	COG1574
OG00862	2Z7Z3
OG00863	COG0607
OG00865	COG4196
OG00869	COG0053
OG00870	2Z7IA
OG00873	COG0621
OG00874	COG1145
OG00876	COG5581
OG00880	COG1959
OG00881	COG1561
OG00885	COG1670
OG00889	COG2835
OG00891	COG3203
OG00892	COG1285
OG00893	COG1251
OG00894	COG3008
OG00898	COG4974
OG00901	COG0697
OG00902	COG3501
OG00903	31DNS
OG00908	COG0274
OG00913	COG3313
OG00916	COG1113
OG00918	COG0537
OG00923	COG0467
OG00926	COG4315
OG00927	COG1322
OG00928	COG1677
OG00930	COG2244
OG00932	COG3518
OG00933	COG2197
OG00937	COG1633
OG00941	COG5394
OG00943	COG1487
OG00947	COG0501
OG00948	COG4681
OG00949	COG0810
OG00951	4QGHN
OG00954	COG4589
OG00960	COG3386
OG00961	COG0628
OG00962	COG3519
OG00963	314NC
OG00964	COG1607
OG00965	COG0591
OG00967	COG1585
OG00969	COG1232
OG00971	COG1466
OG00972	32ZWH
OG00975	COG0161
OG00977	COG3508
OG00978	COG0598
OG00979	COG0012
OG00980	COG0746
OG00982	COG2995
OG00984	COG4239
OG00985	COG2307
OG00990	COG1136
OG00996	COG1286
OG01003	COG2974
OG01004	COG1680
OG01007	COG2137
OG01008	COG0603
OG01011	COG2885
OG01012	COG0795
OG01014	COG4105
OG01015	COG3749
OG01016	COG0009
OG01020	33BMZ
OG01022	COG4638
OG01023	COG0546
OG01024	COG1269
OG01025	COG1653
OG01026	COG3243
OG01029	COG0271
OG01030	COG0633
OG01031	COG3164
OG01034	COG3636
OG01035	COG5285
OG01039	COG1522
OG01040	337N8
OG01043	COG0388
OG01044	COG1981
OG01045	COG1773
OG01046	COG2183
OG01047	COG3812
OG01052	COG3618
OG01053	COG2068
OG01057	COG2353
OG01065	COG1252
OG01069	COG1565
OG01070	COG2764
OG01074	COG2904
OG01075	COG1741
OG01076	COG0714
OG01077	COG0454
OG01080	COG0730
OG01086	COG3565
OG01088	313B9
OG01090	COG1881
OG01091	COG1559
OG01094	COG1162
OG01095	COG3712
OG01096	COG1409
OG01099	COG1408
OG01102	COG2271
OG01108	COG5499
OG01109	COG1975
OG01110	COG2346
OG01112	COG1196
OG01113	COG2913
OG01115	COG3034
OG01117	33GCI
OG01120	COG2236
OG01122	COG2208
OG01123	COG1917
OG01124	COG0063
OG01125	30APC
OG01128	31HDH
OG01130	COG4487
OG01132	COG2908
OG01134	COG3572
OG01136	COG1674
OG01137	COG3637
OG01142	COG1073
OG01143	COG1315
OG01145	COG2177
OG01148	COG2206
OG01151	COG2945
OG01153	COG0385
OG01154	COG2062
OG01155	COG2733
OG01156	32RP9
OG01158	COG2333
OG01159	2ZADM
OG01160	COG3450
OG01161	COG3024
OG01162	COG0695
OG01163	COG3725
OG01165	COG5473
OG01169	COG2941
OG01172	COG0251
OG01177	COG2329
OG01178	COG3188
OG01182	2Z9Y7
OG01184	COG0624
OG01185	COG3782
OG01189	COG1214
OG01190	COG2188
OG01191	2Z7SY
OG01194	COG4336
OG01199	COG1070
OG01200	COG0663
OG01202	COG0348
OG01205	COG1695
OG01212	COG2924
OG01214	32WM4
OG01215	COG3737
OG01221	COG3685
OG01223	COG3915
OG01224	COG1082
OG01225	COG2900
OG01230	COG4253
OG01231	COG1744
OG01232	COG3500
OG01236	331CV
OG01237	COG2127
OG01238	COG0457
OG01240	COG1840
OG01243	COG5004
OG01245	COG3550
OG01248	COG2001
OG01252	COG0414
OG01254	COG2828
OG01256	COG4117
OG01258	COG0664
OG01259	COG3038
OG01260	COG0397
OG01263	COG0456
OG01264	COG1651
OG01265	COG0820
OG01266	COG3558
OG01267	COG0693
OG01269	COG0606
OG01271	COG4313
OG01272	COG1704
OG01273	COG2249
OG01274	COG2960
OG01276	COG0668
OG01277	COG0565
OG01283	COG3665
OG01284	COG1485
OG01286	COG4803
OG01290	COG1929
OG01291	COG3470
OG01292	COG1011
OG01293	COG2326
OG01294	COG0633
OG01297	32T58
OG01298	COG2964
OG01303	COG0659
OG01304	COG2153
OG01305	COG1434
OG01306	COG3391
OG01308	COG4341
OG01309	COG5416
OG01314	COG2141
OG01315	COG1562
OG01319	COG2980
OG01323	COG3713
OG01328	COG1960
OG01330	COG1814
OG01333	COG1765
OG01335	COG1555
OG01336	COG3135
OG01339	2Z8KG
OG01341	COG3431
OG01342	COG4680
OG01348	COG0196
OG01349	COG4255
OG01352	31TYQ
OG01356	COG1573
OG01360	COG5592
OG01362	COG3128
OG01363	COG0511
OG01372	COG1853
OG01374	COG3064
OG01375	COG1366
OG01382	COG3545
OG01383	COG0217
OG01385	COG3803
OG01386	COG4114
OG01388	COG0859
OG01391	COG1429
OG01393	COG1801
OG01394	COG3540
OG01395	COG3706
OG01397	COG4727
OG01399	COG2971
OG01401	COG0433
OG01402	COG3093
OG01405	COG3631
OG01406	COG2879
OG01408	330T3
OG01410	COG4291
OG01418	COG2814
OG01422	COG3324
OG01423	COG4531
OG01425	COG0523
OG01428	COG2982
OG01429	33H9E
OG01430	COG2840
OG01439	COG0589
OG01440	COG3706
OG01443	COG4966
OG01445	COG2606
OG01446	COG2267
OG01449	COG0344
OG01451	COG0312
OG01452	COG1304
OG01453	COG4949
OG01455	COG3165
OG01456	COG3011
OG01457	COG3938
OG01458	COG4261
OG01463	COG1261
OG01464	COG3221
OG01469	COG4319
OG01471	COG5662
OG01473	COG3133
OG01476	COG0429
OG01478	COG0523
OG01479	COG1639
OG01482	COG2124
OG01486	COG1647
OG01488	337PW
OG01491	COG3522
OG01495	COG3794
OG01496	COG0715
OG01497	COG1853
OG01500	COG3332
OG01506	COG1262
OG01511	COG3515
OG01512	COG3665
OG01516	COG0278
OG01517	33AQ3
OG01518	COG0469
OG01520	COG0424
OG01522	COG1309
OG01524	COG4251
OG01526	COG4258
OG01527	COG2268
OG01528	COG1520
OG01529	33FCG
OG01530	COG2350
OG01532	COG2199
OG01533	COG1752
OG01535	COG5476
OG01536	COG1611
OG01537	COG4582
OG01540	COG3517
OG01541	COG0402
OG01545	COG0607
OG01546	COG1934
OG01547	COG3123
OG01551	COG0123
OG01552	COG3090
OG01555	COG2719
OG01558	COG0560
OG01563	COG0593
OG01564	COG0191
OG01568	32V75
OG01571	COG2080
OG01574	COG2095
OG01575	COG0319
OG01580	COG2096
OG01581	COG5581
OG01595	COG2732
OG01596	COG0802
OG01597	COG0220
OG01599	COG3496
OG01601	COG0330
OG01602	COG3047
OG01606	COG3254
OG01607	COG2834
OG01608	COG2261
OG01610	COG1054
OG01611	COG0626
OG01613	COG4775
OG01614	COG2003
OG01621	COG0728
OG01622	COG3802
OG01624	COG3499
OG01625	COG2825
OG01626	COG1215
OG01627	COG0679
OG01630	COG2207
OG01631	COG0384
OG01636	COG3178
OG01637	COG0726
OG01639	COG3619
OG01640	COG4154
OG01641	COG1359
OG01642	COG3631
OG01643	COG3652
OG01645	COG3148
OG01646	COG3046
OG01647	COG0079
OG01648	32U70
OG01651	COG1917
OG01658	COG1247
OG01660	COG0489
OG01662	COG3706
OG01664	COG0834
OG01670	2Z7V0
OG01673	COG0842
OG01676	COG4269
OG01679	COG0084
OG01683	COG1593
OG01687	COG1463
OG01689	COG5654
OG01690	307A0
OG01692	COG2200
OG01693	COG0791
OG01694	COG0491
OG01701	COG0584
OG01704	COG3959
OG01705	COG0282
OG01706	COG0366
OG01708	COG3176
OG01711	COG4380
OG01712	COG2005
OG01714	COG1192
OG01716	COG0517
OG01717	COG0346
OG01718	COG3169
OG01722	COG2956
OG01729	COG5420
OG01731	COG3318
OG01733	COG0438
OG01734	COG3913
OG01735	COG1496
OG01739	COG0547
OG01744	COG3498
OG01746	COG2175
OG01748	COG1238
OG01749	COG0715
OG01751	316NC
OG01752	COG4706
OG01755	COG2823
OG01760	33N3K
OG01763	COG5430
OG01764	COG1289
OG01768	COG4137
OG01772	2Z9B7
OG01773	COG2944
OG01775	COG1846
OG01781	2ZQ5C
OG01782	COG0491
OG01783	COG0729
OG01786	COG0726
OG01787	COG0701
OG01788	COG1999
OG01791	COG1807
OG01794	COG0550
OG01796	COG2226
OG01799	COG2967
OG01803	COG3284
OG01806	COG1886
OG01807	COG2010
OG01808	COG0304
OG01810	COG2363
OG01811	COG2041
OG01812	COG1392
OG01813	COG3217
OG01818	COG4787
OG01824	COG0759
OG01825	COG4648
OG01827	COG3832
OG01830	COG4731
OG01833	COG0778
OG01835	COG2921
OG01841	COG3150
OG01845	COG2833
OG01847	COG2308
OG01848	COG1742
OG01849	COG2832
OG01853	COG2267
OG01854	COG3045
OG01855	COG2823
OG01856	COG1349
OG01857	32ZX9
OG01858	COG0697
OG01859	COG2801
OG01860	COG1132
OG01864	COG1236
OG01866	COG2995
OG01868	COG5267
OG01869	COG0789
OG01870	COG1597
OG01871	COG3564
OG01872	COG0135
OG01878	COG4394
OG01880	333A9
OG01884	COG1285
OG01886	COG0558
OG01888	COG3555
OG01892	COG0433
OG01893	COG0454
OG01894	COG3762
OG01897	COG3618
OG01899	COG0115
OG01901	COG2377
OG01903	3310W
OG01904	COG3185
OG01905	COG1999
OG01906	COG1385
OG01909	COG0393
OG01912	COG2072
OG01917	COG1678
OG01919	COG0451
OG01920	COG1305
OG01921	COG2176
OG01922	COG3416
OG01924	COG2309
OG01927	COG0247
OG01930	COG5001
OG01931	COG0425
OG01933	COG4111
OG01937	COG0762
OG01939	2Z9I7
OG01940	33267
OG01942	32RT1
OG01945	COG0615
OG01956	2Z7KS
OG01962	COG0697
OG01964	COG3219
OG01965	COG4391
OG01967	COG0599
OG01970	COG3476
OG01975	30QWB
OG01976	COG1228
OG01978	COG1534
OG01980	COG2304
OG01983	2ZAXC
OG01984	33EIW
OG01987	COG0354
OG01991	COG3751
OG01992	32YUI
OG01994	COG1055
OG01997	COG0730
OG01998	COG2020
OG02001	COG0189
OG02003	COG1393
OG02004	COG3832
OG02008	COG3637
OG02011	330AE
OG02013	COG1664
OG02015	COG2050
OG02017	COG3784
OG02020	COG2370
OG02023	COG1525
OG02029	COG0534
OG02030	30717
OG02031	COG1253
OG02034	COG3159
OG02037	COG2234
OG02039	COG4067
OG02042	COG3087
OG02043	COG2234
OG02044	COG0612
OG02047	COG3272
OG02050	COG4969
OG02056	COG3883
OG02060	COG0168
OG02064	COG0478
OG02069	COG3667
OG02073	COG4665
OG02074	COG1073
OG02076	COG0494
OG02077	303WG
OG02081	COG4651
OG02082	COG0119
OG02086	31669
OG02090	COG5549
OG02091	COG3213
OG02094	COG1660
OG02095	2Z7VP
OG02096	COG1092
OG02099	COG0718
OG02102	COG3647
OG02108	32T40
OG02110	COG3155
OG02117	COG3963
OG02118	COG2353
OG02119	COG2259
OG02120	32TUN
OG02124	COG3228
OG02126	32RTJ
OG02127	COG0491
OG02129	COG5472
OG02133	COG4805
OG02135	COG1956
OG02136	COG5343
OG02137	COG2983
OG02138	COG4991
OG02140	COG0432
OG02146	32SH9
OG02147	COG3739
OG02148	COG1283
OG02150	COG1576
OG02152	COG0705
OG02153	COG3107
OG02154	COG1514
OG02156	31JXT
OG02158	COG2862
OG02161	COG1030
OG02164	COG2501
OG02167	COG0714
OG02172	COG3117
OG02173	2Z85G
OG02174	COG0037
OG02179	33AIZ
OG02182	COG2050
OG02183	COG1612
OG02186	COG1971
OG02188	COG1714
OG02189	COG2226
OG02190	COG4659
OG02191	COG3019
OG02192	32U7J
OG02194	COG2165
OG02196	COG0644
OG02197	COG3028
OG02198	COG3751
OG02200	32UZ7
OG02201	2Z7P1
OG02202	COG0730
OG02204	COG5607
OG02206	3303T
OG02207	COG1399
OG02208	COG0799
OG02209	COG4764
OG02210	COG5383
OG02212	COG0585
OG02213	COG1651
OG02214	COG0742
OG02216	COG2226
OG02218	COG3895
OG02220	COG2866
OG02227	COG3758
OG02231	COG0861
OG02233	COG2854
OG02244	COG2989
OG02245	COG0043
OG02246	COG1293
OG02248	COG3098
OG02251	COG0545
OG02252	COG0520
OG02254	COG1331
OG02257	COG5660
OG02261	331DQ
OG02264	COG3106
OG02267	COG0174
OG02268	COG2168
OG02271	2Z8PF
OG02274	COG3137
OG02281	COG0346
OG02282	COG2959
OG02285	COG3199
OG02288	COG0727
OG02289	COG1228
OG02291	COG2771
OG02295	COG2020
OG02299	COG1235
OG02303	2Z7YP
OG02304	COG1228
OG02305	COG1682
OG02308	COG3591
OG02310	COG1729
OG02313	COG3001
OG02317	COG2938
OG02318	COG1566
OG02323	COG3595
OG02324	COG0859
OG02329	COG3100
OG02333	COG1354
OG02334	334WS
OG02336	COG2229
OG02339	COG1813
OG02342	COG2816
OG02350	COG1253
OG02352	2ZYVF
OG02353	COG0661
OG02354	COG0497
OG02356	COG3088
OG02357	COG2915
OG02358	COG3213
OG02359	COG0346
OG02360	COG2827
OG02361	COG2933
OG02367	COG3461
OG02372	COG2378
OG02375	COG1748
OG02377	COG1943
OG02386	COG1887
OG02387	COG3813
OG02389	COG0568
OG02392	32YCZ
OG02393	COG2802
OG02395	COG0248
OG02396	COG1272
OG02397	32RJD
OG02399	COG1426
OG02401	COG3767
OG02402	COG2923
OG02403	COG3791
OG02404	COG4539
OG02406	COG0582
OG02408	COG3154
OG02410	COG2975
OG02412	COG2914
OG02421	COG0720
OG02422	33B9C
OG02423	32T4F
OG02424	COG3011
OG02426	3315X
OG02427	COG0822
OG02429	2ZSMJ
OG02430	COG1555
OG02434	COG3030
OG02435	COG0406
OG02436	COG2991
OG02437	COG1721
OG02440	COG3317
OG02442	COG3134
OG02444	COG1186
OG02445	339YA
OG02446	COG1368
OG02448	3388V
OG02449	COG1866
OG02455	2Z9E6
OG02456	330UM
OG02457	COG0217
OG02458	COG0275
OG02459	arCOG06587
OG02461	COG2957
OG02462	COG1090
OG02463	COG3816
OG02465	COG3768
OG02467	COG3637
OG02471	COG4775
OG02477	COG0530
OG02478	COG1633
OG02482	32YSV
OG02485	COG2226
OG02487	COG3000
OG02488	31U6H
OG02490	COG2132
OG02491	COG2270
OG02495	32YZ5
OG02496	COG1748
OG02499	COG0732
OG02500	COG3094
OG02501	COG4273
OG02502	COG2922
OG02504	COG3528
OG02505	COG3402
OG02506	COG2859
OG02507	COG2847
OG02508	COG3249
OG02511	32S5R
OG02512	COG3821
OG02514	COG0668
OG02515	COG4235
OG02518	COG3176
OG02521	COG1305
OG02524	COG4798
OG02525	COG1392
OG02527	COG2855
OG02529	COG0393
OG02532	COG1262
OG02540	COG1540
OG02543	COG1544
OG02544	COG2982
OG02545	COG3201
OG02546	COG2945
OG02548	31KIR
OG02550	COG1585
OG02551	COG2226
OG02552	COG2715
OG02553	COG1324
OG02555	COG1671
OG02557	COG1075
OG02558	33G87
OG02561	32RW4
OG02562	COG1432
OG02563	COG2885
OG02564	COG1611
OG02566	COG4121
OG02569	COG3419
OG02571	COG1073
OG02572	COG0793
OG02574	COG2947
OG02576	COG1327
OG02578	COG0823
OG02579	COG1188
OG02582	COG2311
OG02587	COG1721
OG02588	COG3832
OG02589	33FAI
OG02592	COG3384
OG02593	COG3151
OG02600	30HUD
OG02602	COG3530
OG02603	COG3182
OG02604	32RK9
OG02606	COG4757
OG02607	COG3571
OG02610	COG3079
OG02613	32TTG
OG02614	32ZS2
OG02620	COG1983
OG02622	COG5505
OG02625	331S4
OG02626	COG2091
OG02628	COG2984
OG02633	COG3147
OG02636	2ZA39
OG02637	COG4968
OG02638	COG4874
OG02640	COG1509
OG02641	COG2850
OG02646	COG2333
OG02647	COG2902
OG02648	COG0577
OG02651	COG3610
OG02652	COG3070
OG02653	COG3603
OG02655	COG3751
OG02658	COG1416
OG02659	COG2350
OG02660	COG1862
OG02661	33GYV
OG02662	COG1734
OG02664	COG1076
OG02665	COG1179
OG02666	COG2981
OG02669	COG5528
OG02672	COG3682
OG02673	COG1652
OG02675	COG3002
OG02677	COG5331
OG02679	COG2086
OG02683	COG0750
OG02684	COG2304
OG02685	COG2846
OG02688	33A19
OG02689	COG3746
OG02690	COG3220
OG02691	COG3297
OG02693	COG3202
OG02696	COG0390
OG02700	32Y6T
OG02701	COG5316
OG02706	COG0457
OG02707	COG2433
OG02710	COG1238
OG02711	COG1075
OG02713	332QM
OG02716	32YUN
OG02718	COG3007
OG02719	32XB1
OG02722	COG0318
OG02726	COG4590
OG02731	COG3304
OG02733	COG2018
OG02735	COG3428
OG02737	COG3422
OG02739	COG5345
OG02747	COG1961
OG02748	2ZC6I
OG02751	COG0042
OG02753	2Z9GA
OG02755	COG2834
OG02756	COG2067
OG02758	COG4591
OG02761	COG3788
OG02766	33A99
OG02767	COG3216
OG02768	COG2378
OG02770	COG0494
OG02775	COG2234
OG02781	COG1573
OG02784	COG3956
OG02786	COG0526
OG02790	COG2304
OG02791	COG2050
OG02794	COG2824
OG02796	COG0431
OG02797	COG3012
OG02798	COG4805
OG02800	COG1584
OG02801	COG1328
OG02802	COG1720
OG02806	COG1363
OG02810	COG1752
OG02811	COG1288
OG02820	COG1937
OG02824	COG5507
OG02827	COG3153
OG02828	COG3008
OG02829	32W92
OG02832	COG2813
OG02833	2Z7J1
OG02834	32UHS
OG02837	COG4811
OG02843	32TX0
OG02844	32ZJK
OG02845	COG3415
OG02847	2ZA26
OG02850	COG2200
OG02851	COG1652
OG02854	COG2315
OG02859	COG1957
OG02861	32T6W
OG02863	2Z7SR
OG02864	COG0726
OG02866	COG4682
OG02869	COG1275
OG02870	32ZKT
OG02871	COG2354
OG02874	COG2391
OG02875	COG0329
OG02878	COG2116
OG02880	2ZBVY
OG02881	COG2829
OG02887	COG3303
OG02889	COG1216
OG02891	COG1830
OG02895	COG5633
OG02896	COG0782
OG02898	COG3236
OG02905	COG3112
OG02907	COG2718
OG02910	32ZW5
OG02912	COG2888
OG02913	COG0110
OG02914	COG2979
OG02915	2Z8AH
OG02916	32ZVT
OG02920	COG1408
OG02925	COG5532
OG02934	COG3627
OG02935	COG3097
OG02938	COG3776
OG02939	COG1596
OG02940	331AY
OG02942	COG1680
OG02943	COG3381
OG02944	COG1289
OG02945	COG0457
OG02948	COG1741
OG02950	COG5463
OG02954	COG4676
OG02955	2Z82H
OG02958	COG3121
OG02960	COG1108
OG02963	COG1444
OG02965	2ZBV4
OG02967	30EE4
OG02968	COG3477
OG02978	30ZXQ
OG02979	COG3626
OG02980	2ZBKK
OG02984	COG3449
OG02985	COG3171
OG02995	2ZSY3
OG02996	COG3738
OG02997	COG2002
OG02998	COG1896
OG02999	318D9
OG03000	COG3081
OG03007	COG3769
OG03008	COG5339
OG03012	COG2271
OG03014	COG1940
OG03016	COG4126
OG03019	COG2707
OG03020	COG3691
OG03022	32W9M
OG03025	COG0668
OG03028	COG2166
OG03032	2ZPQP
OG03033	COG3381
OG03035	COG4807
OG03039	COG0327
OG03040	COG5487
OG03045	COG2211
OG03051	COG2200
OG03054	COG0719
OG03056	COG2220
OG03057	COG0392
OG03058	COG5445
OG03063	COG5383
OG03064	COG3539
OG03066	COG1896
OG03069	COG2268
OG03072	31IZZ
OG03073	COG3785
OG03079	COG2911
OG03080	COG3152
OG03081	COG2200
OG03084	COG0398
OG03086	COG4529
OG03087	COG1215
OG03088	COG3173
OG03090	COG3121
OG03091	COG2766
OG03098	COG1105
OG03099	COG0716
OG03103	COG2966
OG03104	COG1396
OG03106	COG2852
OG03108	COG0560
OG03110	COG2382
OG03112	COG2110
OG03117	COG5571
OG03124	COG1988
OG03125	COG3120
OG03127	COG1940
OG03129	337I4
OG03130	31BJ4
OG03131	COG5475
OG03134	COG0754
OG03136	32S2R
OG03143	32Z3X
OG03144	COG2135
OG03146	32YSK
OG03147	330IE
OG03148	32Z1J
OG03155	32Z93
OG03160	COG0823
OG03162	COG3180
OG03164	COG2161
OG03165	COG2184
OG03166	COG3311
OG03167	COG3729
OG03174	COG3418
OG03178	COG2071
OG03179	2ZZZI
OG03182	COG0814
OG03184	COG2067
OG03186	COG2091
OG03188	COG0732
