taxon_name	species_norm	genus_norm	gtdb_species_clade_id	GTDB_species	n_files	mean_abundance	mapping_tier	n_gtdb_clades_for_genus
Rhizobium phaseoli	rhizobium_phaseoli	rhizobium	s__Rhizobium_phaseoli--RS_GCF_003985125.1	s__Rhizobium_phaseoli	3572	6.8627066934557156e-06	species_exact	1
Burkholderia glumae	burkholderia_glumae	burkholderia	s__Burkholderia_glumae--RS_GCF_000960995.1	s__Burkholderia_glumae	3572	7.344888165986436e-05	species_exact	1
Nocardiopsis dassonvillei	nocardiopsis_dassonvillei	nocardiopsis	s__Nocardiopsis_dassonvillei--RS_GCF_000092985.1	s__Nocardiopsis_dassonvillei	3572	0.0013901346575558363	species_exact	1
Anaeromyxobacter dehalogenans	anaeromyxobacter_dehalogenans	anaeromyxobacter	s__Anaeromyxobacter_dehalogenans--RS_GCF_000022145.1	s__Anaeromyxobacter_dehalogenans	3572	0.0010982016303309372	species_exact	1
Rhizobium leguminosarum	rhizobium_leguminosarum	rhizobium	s__Rhizobium_leguminosarum--RS_GCF_002008365.1	s__Rhizobium_leguminosarum	3572	0.007355449078482569	species_exact	1
Burkholderia multivorans	burkholderia_multivorans	burkholderia	s__Burkholderia_multivorans--RS_GCF_000959525.1	s__Burkholderia_multivorans	3572	0.00021485744943232352	species_exact	1
Streptomyces parvulus	streptomyces_parvulus	streptomyces	s__Streptomyces_parvulus--RS_GCF_014648855.1	s__Streptomyces_parvulus	3572	0.00035681881234413967	species_exact	1
Pseudomonas aeruginosa	pseudomonas_aeruginosa	pseudomonas	s__Pseudomonas_aeruginosa--RS_GCF_001457615.1	s__Pseudomonas_aeruginosa	3572	0.00019776198242044837	species_exact	1
Paraburkholderia terrae	paraburkholderia_terrae	paraburkholderia	s__Paraburkholderia_terrae--RS_GCF_002902925.1	s__Paraburkholderia_terrae	3572	0.005893580649743769	species_exact	1
Chromobacterium vaccinii	chromobacterium_vaccinii	chromobacterium	s__Chromobacterium_vaccinii--RS_GCF_000971335.1	s__Chromobacterium_vaccinii	3572	0.00016563595806747547	species_exact	1
Myxococcus fulvus	myxococcus_fulvus	myxococcus	s__Myxococcus_fulvus--RS_GCF_900111765.1	s__Myxococcus_fulvus	3572	0.00013489263768797028	species_exact	1
Rhodococcus opacus	rhodococcus_opacus	rhodococcus	s__Rhodococcus_opacus--RS_GCF_012396235.1	s__Rhodococcus_opacus	3572	0.0026486625304771774	species_exact	1
Streptomyces griseochromogenes	streptomyces_griseochromogenes	streptomyces	s__Streptomyces_griseochromogenes--RS_GCF_001542625.1	s__Streptomyces_griseochromogenes	3572	0.0004483345294399173	species_exact	1
Tsukamurella tyrosinosolvens	tsukamurella_tyrosinosolvens	tsukamurella	s__Tsukamurella_tyrosinosolvens--RS_GCF_900104775.1	s__Tsukamurella_tyrosinosolvens	3572	9.557832775113572e-05	species_exact	1
Streptomyces scabiei	streptomyces_scabiei	streptomyces	s__Streptomyces_scabiei--RS_GCF_000091305.1	s__Streptomyces_scabiei	3572	0.00048367149493187513	species_exact	1
Mycobacterium colombiense	mycobacterium_colombiense	mycobacterium	s__Mycobacterium_colombiense--RS_GCF_002105755.1	s__Mycobacterium_colombiense	3572	0.0007794793168283523	species_exact	1
Stenotrophomonas acidaminiphila	stenotrophomonas_acidaminiphila	stenotrophomonas	s__Stenotrophomonas_acidaminiphila--RS_GCF_001431595.1	s__Stenotrophomonas_acidaminiphila	3571	5.533882165503683e-05	species_exact	1
Nocardiopsis alba	nocardiopsis_alba	nocardiopsis	s__Nocardiopsis_alba--RS_GCF_000341225.1	s__Nocardiopsis_alba	3571	0.00017036677796852446	species_exact	1
Lysobacter capsici	lysobacter_capsici	lysobacter	s__Lysobacter_capsici--RS_GCF_014779555.2	s__Lysobacter_capsici	3571	7.977717671959904e-05	species_exact	1
Methylosinus trichosporium	methylosinus_trichosporium	methylosinus	s__Methylosinus_trichosporium--RS_GCF_002752655.1	s__Methylosinus_trichosporium	3571	0.001079456479894697	species_exact	1
Clavibacter michiganensis	clavibacter_michiganensis	clavibacter	s__Clavibacter_michiganensis--RS_GCF_021216655.1	s__Clavibacter_michiganensis	3571	7.819099436109658e-05	species_exact	1
Afipia carboxidovorans	afipia_carboxidovorans	afipia	s__Afipia_carboxidovorans--RS_GCF_000218565.1	s__Afipia_carboxidovorans	3571	0.0004717153760219	species_exact	1
Variibacter gotjawalensis	variibacter_gotjawalensis	variibacter	s__Variibacter_gotjawalensis--RS_GCF_002355335.1	s__Variibacter_gotjawalensis	3571	0.0007867233229654463	species_exact	1
Streptomyces xiamenensis	streptomyces_xiamenensis	streptomyces	s__Streptomyces_xiamenensis--RS_GCF_000993785.3	s__Streptomyces_xiamenensis	3571	9.556527997759758e-05	species_exact	1
Cupriavidus necator	cupriavidus_necator	cupriavidus	s__Cupriavidus_necator--RS_GCF_000219215.1	s__Cupriavidus_necator	3571	0.004156132621246137	species_exact	1
Rhizobium etli	rhizobium_etli	rhizobium	s__Rhizobium_etli--RS_GCF_000092045.1	s__Rhizobium_etli	3571	0.002108930907929182	species_exact	1
Burkholderia plantarii	burkholderia_plantarii	burkholderia	s__Burkholderia_plantarii--RS_GCF_001411805.1	s__Burkholderia_plantarii	3571	2.406259905401685e-05	species_exact	1
Amycolatopsis orientalis	amycolatopsis_orientalis	amycolatopsis	s__Amycolatopsis_orientalis--RS_GCF_000478275.1	s__Amycolatopsis_orientalis	3571	0.0015908431222003627	species_exact	1
Pseudomonas citronellolis	pseudomonas_citronellolis	pseudomonas	s__Pseudomonas_citronellolis--RS_GCF_900112375.1	s__Pseudomonas_citronellolis	3571	2.853695132823231e-06	species_exact	1
Myxococcus xanthus	myxococcus_xanthus	myxococcus	s__Myxococcus_xanthus--RS_GCF_900106535.1	s__Myxococcus_xanthus	3571	0.0001839049394826441	species_exact	1
Mycobacterium marinum	mycobacterium_marinum	mycobacterium	s__Mycobacterium_marinum--RS_GCF_003391395.1	s__Mycobacterium_marinum	3571	0.00016517493044614713	species_exact	1
Streptomyces violaceusniger	streptomyces_violaceusniger	streptomyces	s__Streptomyces_violaceusniger--GB_GCA_005405945.1	s__Streptomyces_violaceusniger	3571	0.0002624842268836158	species_exact	1
Thermomonospora curvata	thermomonospora_curvata	thermomonospora	s__Thermomonospora_curvata--RS_GCF_000024385.1	s__Thermomonospora_curvata	3571	0.00045996547278988017	species_exact	1
Frankia alni	frankia_alni	frankia	s__Frankia_alni--RS_GCF_000058485.1	s__Frankia_alni	3571	0.0004042077241720739	species_exact	1
Burkholderia lata	burkholderia_lata	burkholderia	s__Burkholderia_lata--RS_GCF_000012945.1	s__Burkholderia_lata	3571	0.00027127338195161025	species_exact	1
Streptomyces globisporus	streptomyces_globisporus	streptomyces	s__Streptomyces_globisporus--GB_GCA_014649555.1	s__Streptomyces_globisporus	3571	0.00010864409510570208	species_exact	1
Rhodothermus marinus	rhodothermus_marinus	rhodothermus	s__Rhodothermus_marinus--RS_GCF_000024845.1	s__Rhodothermus_marinus	3571	4.09529188501137e-06	species_exact	1
Kibdelosporangium phytohabitans	kibdelosporangium_phytohabitans	kibdelosporangium	s__Kibdelosporangium_phytohabitans--RS_GCF_001302585.1	s__Kibdelosporangium_phytohabitans	3571	0.00037964376486545356	species_exact	1
Burkholderia contaminans	burkholderia_contaminans	burkholderia	s__Burkholderia_contaminans--RS_GCF_000987075.1	s__Burkholderia_contaminans	3571	0.0002960189191510628	species_exact	1
Burkholderia pseudomultivorans	burkholderia_pseudomultivorans	burkholderia	s__Burkholderia_pseudomultivorans--RS_GCF_902499075.1	s__Burkholderia_pseudomultivorans	3570	0.00017032871283222215	species_exact	1
Streptomyces avermitilis	streptomyces_avermitilis	streptomyces	s__Streptomyces_avermitilis--RS_GCF_000009765.2	s__Streptomyces_avermitilis	3570	0.000868559302030314	species_exact	1
Burkholderia thailandensis	burkholderia_thailandensis	burkholderia	s__Burkholderia_thailandensis--RS_GCF_000012365.1	s__Burkholderia_thailandensis	3570	5.0030685797229525e-05	species_exact	1
Chromobacterium violaceum	chromobacterium_violaceum	chromobacterium	s__Chromobacterium_violaceum--RS_GCF_000007705.1	s__Chromobacterium_violaceum	3570	0.0001383605055705171	species_exact	1
Streptomyces pristinaespiralis	streptomyces_pristinaespiralis	streptomyces	s__Streptomyces_pristinaespiralis--RS_GCF_001278075.1	s__Streptomyces_pristinaespiralis	3570	0.0011619100401902452	species_exact	1
Nitratidesulfovibrio vulgaris	nitratidesulfovibrio_vulgaris	nitratidesulfovibrio	s__Nitratidesulfovibrio_vulgaris--RS_GCF_000195755.1	s__Nitratidesulfovibrio_vulgaris	3570	2.9340575207505474e-05	species_exact	1
Sinorhizobium meliloti	sinorhizobium_meliloti	sinorhizobium	s__Sinorhizobium_meliloti--RS_GCF_017876815.1	s__Sinorhizobium_meliloti	3570	0.0005102002141441662	species_exact	1
Nocardia brasiliensis	nocardia_brasiliensis	nocardia	s__Nocardia_brasiliensis--RS_GCF_000308475.2	s__Nocardia_brasiliensis	3570	0.00024760411733882785	species_exact	1
Bordetella pertussis	bordetella_pertussis	bordetella	s__Bordetella_pertussis--RS_GCF_000306945.1	s__Bordetella_pertussis	3570	3.481282457539334e-10	species_exact	1
Burkholderia stabilis	burkholderia_stabilis	burkholderia	s__Burkholderia_stabilis--RS_GCF_001742165.1	s__Burkholderia_stabilis	3570	0.0002201129573827013	species_exact	1
Archangium gephyra	archangium_gephyra	archangium	s__Archangium_gephyra--RS_GCF_001027285.1	s__Archangium_gephyra	3570	0.0009070655594266357	species_exact	1
Achromobacter spanius	achromobacter_spanius	achromobacter	s__Achromobacter_spanius--RS_GCF_002812705.1	s__Achromobacter_spanius	3570	3.298687224178916e-05	species_exact	1
Corallococcus coralloides	corallococcus_coralloides	corallococcus	s__Corallococcus_coralloides--RS_GCF_000255295.1	s__Corallococcus_coralloides	3570	0.0002806074242493529	species_exact	1
Paraburkholderia caribensis	paraburkholderia_caribensis	paraburkholderia	s__Paraburkholderia_caribensis--RS_GCF_002902945.1	s__Paraburkholderia_caribensis	3570	0.0010406078973392323	species_exact	1
Rhodococcus aetherivorans	rhodococcus_aetherivorans	rhodococcus	s__Rhodococcus_aetherivorans--RS_GCF_011058165.1	s__Rhodococcus_aetherivorans	3570	0.0003128909346403057	species_exact	1
Cellulomonas fimi	cellulomonas_fimi	cellulomonas	s__Cellulomonas_fimi--RS_GCF_000212695.1	s__Cellulomonas_fimi	3570	0.0007493914694855718	species_exact	1
Neorhizobium galegae	neorhizobium_galegae	neorhizobium	s__Neorhizobium_galegae--RS_GCF_000731315.1	s__Neorhizobium_galegae	3570	0.0007239905961242768	species_exact	1
Streptomyces alboflavus	streptomyces_alboflavus	streptomyces	s__Streptomyces_alboflavus--RS_GCF_000716675.1	s__Streptomyces_alboflavus	3570	0.00013197609591757609	species_exact	1
Amycolatopsis japonica	amycolatopsis_japonica	amycolatopsis	s__Amycolatopsis_japonica--RS_GCF_000732925.1	s__Amycolatopsis_japonica	3570	0.00014955678983239888	species_exact	1
Xanthomonas campestris	xanthomonas_campestris	xanthomonas	s__Xanthomonas_campestris--RS_GCF_000007145.1	s__Xanthomonas_campestris	3570	3.3363445347255464e-05	species_exact	1
Cupriavidus malaysiensis	cupriavidus_malaysiensis	cupriavidus	s__Cupriavidus_malaysiensis--RS_GCF_001854325.1	s__Cupriavidus_malaysiensis	3570	7.981382735004558e-06	species_exact	1
Burkholderia vietnamiensis	burkholderia_vietnamiensis	burkholderia	s__Burkholderia_vietnamiensis--RS_GCF_000959445.1	s__Burkholderia_vietnamiensis	3570	2.6368066992283657e-05	species_exact	1
Agrobacterium tumefaciens	agrobacterium_tumefaciens	agrobacterium	s__Agrobacterium_tumefaciens--RS_GCF_001541315.1	s__Agrobacterium_tumefaciens	3570	0.0013424507666802148	species_exact	1
Singulisphaera acidiphila	singulisphaera_acidiphila	singulisphaera	s__Singulisphaera_acidiphila--RS_GCF_000242455.2	s__Singulisphaera_acidiphila	3570	0.0007270139791294841	species_exact	1
Streptomyces albireticuli	streptomyces_albireticuli	streptomyces	s__Streptomyces_albireticuli--RS_GCF_021228125.1	s__Streptomyces_albireticuli	3570	0.00013346364441688282	species_exact	1
Klebsiella pneumoniae	klebsiella_pneumoniae	klebsiella	s__Klebsiella_pneumoniae--RS_GCF_000742135.1	s__Klebsiella_pneumoniae	3570	3.518321375162725e-05	species_exact	1
Modestobacter marinus	modestobacter_marinus	modestobacter	s__Modestobacter_marinus--RS_GCF_011758655.1	s__Modestobacter_marinus	3570	0.00741523667428749	species_exact	1
Azospirillum thiophilum	azospirillum_thiophilum	azospirillum	s__Azospirillum_thiophilum--RS_GCF_001305595.1	s__Azospirillum_thiophilum	3570	0.00010070438818743978	species_exact	1
Streptomyces niveus	streptomyces_niveus	streptomyces	s__Streptomyces_niveus--RS_GCF_001723055.1	s__Streptomyces_niveus	3570	0.0003417655324630133	species_exact	1
Nocardia nova	nocardia_nova	nocardia	s__Nocardia_nova--RS_GCF_001613005.1	s__Nocardia_nova	3570	8.940077360419906e-05	species_exact	1
Paraburkholderia xenovorans	paraburkholderia_xenovorans	paraburkholderia	s__Paraburkholderia_xenovorans--RS_GCF_000013645.1	s__Paraburkholderia_xenovorans	3570	0.0003499772121166511	species_exact	1
Serratia marcescens	serratia_marcescens	serratia	s__Serratia_marcescens--RS_GCF_017299535.1	s__Serratia_marcescens	3570	0.0001743388422185488	species_exact	1
Lysobacter antibioticus	lysobacter_antibioticus	lysobacter	s__Lysobacter_antibioticus--RS_GCF_001442535.1	s__Lysobacter_antibioticus	3570	0.0004756553666972185	species_exact	1
Azorhizobium caulinodans	azorhizobium_caulinodans	azorhizobium	s__Azorhizobium_caulinodans--RS_GCF_000010525.1	s__Azorhizobium_caulinodans	3570	0.00012196721110348293	species_exact	1
Tistrella mobilis	tistrella_mobilis	tistrella	s__Tistrella_mobilis--RS_GCF_000264455.2	s__Tistrella_mobilis	3570	3.840118706818336e-05	species_exact	1
Variovorax boronicumulans	variovorax_boronicumulans	variovorax	s__Variovorax_boronicumulans--RS_GCF_001591345.1	s__Variovorax_boronicumulans	3570	0.00038039709888587256	species_exact	1
Intrasporangium calvum	intrasporangium_calvum	intrasporangium	s__Intrasporangium_calvum--RS_GCF_000184685.1	s__Intrasporangium_calvum	3570	0.0009965794159482546	species_exact	1
Streptomyces chartreusis	streptomyces_chartreusis	streptomyces	s__Streptomyces_chartreusis--RS_GCF_008704715.1	s__Streptomyces_chartreusis	3569	0.0006520209032955332	species_exact	1
Blastococcus saxobsidens	blastococcus_saxobsidens	blastococcus	s__Blastococcus_saxobsidens--RS_GCF_002938435.1	s__Blastococcus_saxobsidens	3569	0.005453969210550673	species_exact	1
Gordonia terrae	gordonia_terrae	gordonia	s__Gordonia_terrae--RS_GCF_001698225.1	s__Gordonia_terrae	3569	9.146711019061734e-05	species_exact	1
Paraburkholderia phytofirmans	paraburkholderia_phytofirmans	paraburkholderia	s__Paraburkholderia_phytofirmans--RS_GCF_000020125.1	s__Paraburkholderia_phytofirmans	3569	0.0015018733776628473	species_exact	1
Bordetella trematum	bordetella_trematum	bordetella	s__Bordetella_trematum--RS_GCF_900078335.1	s__Bordetella_trematum	3569	7.578992784990624e-05	species_exact	1
Rhizobium gallicum	rhizobium_gallicum	rhizobium	s__Rhizobium_gallicum--RS_GCF_000816845.1	s__Rhizobium_gallicum	3569	0.002598821790267641	species_exact	1
Stigmatella aurantiaca	stigmatella_aurantiaca	stigmatella	s__Stigmatella_aurantiaca--RS_GCF_900109545.1	s__Stigmatella_aurantiaca	3569	0.0003258200184834135	species_exact	1
Mycobacterium shigaense	mycobacterium_shigaense	mycobacterium	s__Mycobacterium_shigaense--RS_GCF_002356315.1	s__Mycobacterium_shigaense	3569	0.0016024577934291382	species_exact	1
Collimonas arenae	collimonas_arenae	collimonas	s__Collimonas_arenae--RS_GCF_001584165.1	s__Collimonas_arenae	3569	0.0002476601719724668	species_exact	1
Mycobacterium avium	mycobacterium_avium	mycobacterium	s__Mycobacterium_avium--RS_GCF_009741445.1	s__Mycobacterium_avium	3569	0.0007106677891479143	species_exact	1
Pseudomonas knackmussii	pseudomonas_knackmussii	pseudomonas	s__Pseudomonas_knackmussii--RS_GCF_000689415.1	s__Pseudomonas_knackmussii	3569	6.951609776787225e-05	species_exact	1
Sphingobium yanoikuyae	sphingobium_yanoikuyae	sphingobium	s__Sphingobium_yanoikuyae--RS_GCF_000315525.1	s__Sphingobium_yanoikuyae	3569	0.0005991920377916861	species_exact	1
Sphingobium chlorophenolicum	sphingobium_chlorophenolicum	sphingobium	s__Sphingobium_chlorophenolicum--RS_GCF_000722875.1	s__Sphingobium_chlorophenolicum	3569	6.933282173443816e-05	species_exact	1
Streptomyces collinus	streptomyces_collinus	streptomyces	s__Streptomyces_collinus--GB_GCA_014204745.1	s__Streptomyces_collinus	3569	0.00044524338398455374	species_exact	1
Mesorhizobium ciceri	mesorhizobium_ciceri	mesorhizobium	s__Mesorhizobium_ciceri--RS_GCF_000185905.1	s__Mesorhizobium_ciceri	3569	0.0007767951144476267	species_exact	1
Caulobacter segnis	caulobacter_segnis	caulobacter	s__Caulobacter_segnis--RS_GCF_000092285.1	s__Caulobacter_segnis	3569	0.0008458804527791839	species_exact	1
Streptomyces xinghaiensis	streptomyces_xinghaiensis	streptomyces	s__Streptomyces_xinghaiensis--RS_GCF_000220705.2	s__Streptomyces_xinghaiensis	3569	0.00020643413152154737	species_exact	1
Nocardia seriolae	nocardia_seriolae	nocardia	s__Nocardia_seriolae--RS_GCF_007990715.1	s__Nocardia_seriolae	3569	3.254367266684242e-05	species_exact	1
Tsukamurella paurometabola	tsukamurella_paurometabola	tsukamurella	s__Tsukamurella_paurometabola--RS_GCF_000092225.1	s__Tsukamurella_paurometabola	3569	5.706322829237608e-05	species_exact	1
Herbaspirillum frisingense	herbaspirillum_frisingense	herbaspirillum	s__Herbaspirillum_frisingense--RS_GCF_000300975.2	s__Herbaspirillum_frisingense	3569	0.00021173987090176982	species_exact	1
Paracoccus yeei	paracoccus_yeei	paracoccus	s__Paracoccus_yeei--RS_GCF_000622145.1	s__Paracoccus_yeei	3569	6.0105825908274654e-05	species_exact	1
Mesorhizobium japonicum	mesorhizobium_japonicum	mesorhizobium	s__Mesorhizobium_japonicum--RS_GCF_000009625.1	s__Mesorhizobium_japonicum	3569	0.0018162640283091631	species_exact	1
Streptomyces clavuligerus	streptomyces_clavuligerus	streptomyces	s__Streptomyces_clavuligerus--RS_GCF_005519465.1	s__Streptomyces_clavuligerus	3569	0.00010545041801799361	species_exact	1
Azoarcus olearius	azoarcus_olearius	azoarcus	s__Azoarcus_olearius--RS_GCF_001682385.1	s__Azoarcus_olearius	3569	6.673801744783567e-07	species_exact	1
Pseudorhodoplanes sinuspersici	pseudorhodoplanes_sinuspersici	pseudorhodoplanes	s__Pseudorhodoplanes_sinuspersici--RS_GCF_002119765.1	s__Pseudorhodoplanes_sinuspersici	3569	0.003245065873258793	species_exact	1
Mycobacterium intracellulare	mycobacterium_intracellulare	mycobacterium	s__Mycobacterium_intracellulare--RS_GCF_000277125.1	s__Mycobacterium_intracellulare	3569	0.0008245162821481969	species_exact	1
Sinorhizobium americanum	sinorhizobium_americanum	sinorhizobium	s__Sinorhizobium_americanum--RS_GCF_001651855.1	s__Sinorhizobium_americanum	3569	0.00025249298127169166	species_exact	1
Nocardia farcinica	nocardia_farcinica	nocardia	s__Nocardia_farcinica--RS_GCF_001182745.1	s__Nocardia_farcinica	3569	8.305767345363555e-05	species_exact	1
Phycisphaera mikurensis	phycisphaera_mikurensis	phycisphaera	s__Phycisphaera_mikurensis--RS_GCF_000284115.1	s__Phycisphaera_mikurensis	3569	8.705581254141058e-06	species_exact	1
Azotobacter vinelandii	azotobacter_vinelandii	azotobacter	s__Azotobacter_vinelandii--RS_GCF_000380335.1	s__Azotobacter_vinelandii	3569	2.8358960884330033e-06	species_exact	1
Ralstonia pickettii	ralstonia_pickettii	ralstonia	s__Ralstonia_pickettii--RS_GCF_016466415.2	s__Ralstonia_pickettii	3569	0.020744617098149853	species_exact	1
Sinorhizobium sojae	sinorhizobium_sojae	sinorhizobium	s__Sinorhizobium_sojae--RS_GCF_002288525.1	s__Sinorhizobium_sojae	3569	8.469141997733177e-05	species_exact	1
Mesorhizobium loti	mesorhizobium_loti	mesorhizobium	s__Mesorhizobium_loti--RS_GCF_003148495.1	s__Mesorhizobium_loti	3569	0.001043871246905358	species_exact	1
Cupriavidus basilensis	cupriavidus_basilensis	cupriavidus	s__Cupriavidus_basilensis--RS_GCF_008801925.2	s__Cupriavidus_basilensis	3569	4.5581861396730586e-05	species_exact	1
Aeromicrobium erythreum	aeromicrobium_erythreum	aeromicrobium	s__Aeromicrobium_erythreum--RS_GCF_001509405.1	s__Aeromicrobium_erythreum	3569	0.0007784236960516427	species_exact	1
Caulobacter vibrioides	caulobacter_vibrioides	caulobacter	s__Caulobacter_vibrioides--RS_GCF_002858865.1	s__Caulobacter_vibrioides	3569	0.00024368343926883823	species_exact	1
Sphingopyxis granuli	sphingopyxis_granuli	sphingopyxis	s__Sphingopyxis_granuli--RS_GCF_001591045.1	s__Sphingopyxis_granuli	3569	6.559022896978835e-05	species_exact	1
Streptomyces vietnamensis	streptomyces_vietnamensis	streptomyces	s__Streptomyces_vietnamensis--RS_GCF_000830005.1	s__Streptomyces_vietnamensis	3569	0.0001943466956237541	species_exact	1
Cellulosimicrobium cellulans	cellulosimicrobium_cellulans	cellulosimicrobium	s__Cellulosimicrobium_cellulans--RS_GCF_006539945.1	s__Cellulosimicrobium_cellulans	3569	0.0002035208348066091	species_exact	1
Streptomyces dengpaensis	streptomyces_dengpaensis	streptomyces	s__Streptomyces_dengpaensis--RS_GCF_002946835.1	s__Streptomyces_dengpaensis	3569	0.0009798182977773665	species_exact	1
Cupriavidus gilardii	cupriavidus_gilardii	cupriavidus	s__Cupriavidus_gilardii--RS_GCF_008801915.1	s__Cupriavidus_gilardii	3568	4.332016811126137e-05	species_exact	1
